date,open,high,low,close,volume,number of trades,Aeternity AE,sentiment
2018-04-01 00:00:00,0.00022850,0.00022970,0.00022490,0.00022560,11166.99000000,153,0.0,0.0
2018-04-01 01:00:00,0.00022560,0.00022610,0.00022310,0.00022380,12991.21000000,128,0.0,0.0
2018-04-01 02:00:00,0.00022410,0.00022500,0.00022280,0.00022420,11485.77000000,136,0.0,0.0
2018-04-01 03:00:00,0.00022450,0.00022560,0.00022010,0.00022310,33219.31000000,338,0.0,0.0
2018-04-01 04:00:00,0.00022310,0.00022440,0.00022020,0.00022250,34643.19000000,183,0.0,0.0
2018-04-01 05:00:00,0.00022180,0.00022430,0.00022180,0.00022310,10300.53000000,92,0.0,0.0
2018-04-01 06:00:00,0.00022310,0.00022380,0.00021650,0.00021900,51268.87000000,478,60.0,0.0
2018-04-01 07:00:00,0.00021900,0.00021990,0.00021300,0.00021340,37128.22000000,564,0.0,0.0
2018-04-01 08:00:00,0.00021280,0.00021970,0.00020260,0.00021130,304578.69000000,4490,52.0,0.0
2018-04-01 09:00:00,0.00021130,0.00021570,0.00020710,0.00021570,68356.91000000,1106,0.0,-0.19047619047619047
2018-04-01 10:00:00,0.00021660,0.00021740,0.00021290,0.00021420,20644.73000000,209,0.0,0.0
2018-04-01 11:00:00,0.00021410,0.00021620,0.00021270,0.00021310,17219.72000000,202,0.0,0.0
2018-04-01 12:00:00,0.00021390,0.00021600,0.00021200,0.00021390,18695.15000000,139,0.0,0.0
2018-04-01 13:00:00,0.00021400,0.00021770,0.00021200,0.00021310,26641.38000000,281,0.0,0.0
2018-04-01 14:00:00,0.00021300,0.00021710,0.00021000,0.00021680,36230.75000000,421,0.0,0.0
2018-04-01 15:00:00,0.00021680,0.00021740,0.00021280,0.00021600,27162.37000000,279,0.0,0.0
2018-04-01 16:00:00,0.00021600,0.00022000,0.00021480,0.00021620,26607.56000000,289,0.0,0.0
2018-04-01 17:00:00,0.00021740,0.00022020,0.00021620,0.00021830,9325.52000000,114,0.0,0.0
2018-04-01 18:00:00,0.00021830,0.00022010,0.00021740,0.00021880,5860.10000000,78,0.0,0.0
2018-04-01 19:00:00,0.00021990,0.00022000,0.00021580,0.00021740,5710.36000000,121,0.0,0.0
2018-04-01 20:00:00,0.00021770,0.00022010,0.00021580,0.00021580,7127.99000000,91,0.0,0.0
2018-04-01 21:00:00,0.00021660,0.00021660,0.00021510,0.00021520,1934.69000000,48,0.0,0.0
2018-04-01 22:00:00,0.00021520,0.00021740,0.00021520,0.00021730,9395.65000000,75,0.0,0.0
2018-04-01 23:00:00,0.00021730,0.00021900,0.00021650,0.00021680,4659.79000000,62,0.0,0.0
2018-04-02 00:00:00,0.00021680,0.00022020,0.00021300,0.00021330,17915.45000000,196,0.0,0.2866666666666667
2018-04-02 01:00:00,0.00021330,0.00021630,0.00021220,0.00021460,9211.22000000,157,0.0,0.0
2018-04-02 02:00:00,0.00021470,0.00021680,0.00021010,0.00021220,7678.83000000,134,0.0,0.0
2018-04-02 03:00:00,0.00021220,0.00021510,0.00021180,0.00021330,7004.64000000,180,0.0,0.0
2018-04-02 04:00:00,0.00021330,0.00021540,0.00021190,0.00021410,3948.18000000,92,0.0,0.0
2018-04-02 05:00:00,0.00021450,0.00021650,0.00021100,0.00021330,11028.09000000,107,0.0,0.0
2018-04-02 06:00:00,0.00021330,0.00021590,0.00021110,0.00021240,23009.15000000,137,0.0,0.0
