username,date,retweets,favorites,text
KyberNetwork,2018-05-29 15:40,38,116,"Aeternity (AE), AION (AION) & Bluzelle (BLZ) are now available on the Kyber DEX! Convert instantly below: https://kyber.network"
aeternity,2018-05-29 14:20,21,40,"Nikola presented # aeternity & # AE's # Starfleet # Incubator program during the KryptoConf event in Belgrade, Serbia today. æternity aims to nurture the # blockchain # ecosystem in the # Balkans and globally. @ ae_nikola @ N_Korbarpic.twitter.com/TgFC5isCnL"
_sbofficial,2018-05-25 16:45,0,1,"Ich mag das @ YouTube-Video: http://youtu.be/HbMDoL72MhQ?a  Money Guide #35:AETERNITY (AE) BLOCKCHAIN DEUTSCH ERKLÄRUNG"
mercadoforexnet,2018-05-24 13:15,0,2,"# ZCash # ZEC -12.26% # OmiseGO # OMG -4.57% # Icon # ICX -8.37% # Lisk # LSK -4.84% # Zilliqa # ZIL -9.08% # Ontology # ONT -1.13% # Bitcoin Gold # BTG -6.01% # Steem # STEEM -3.83% # Decred # DCR -6.90% # Aeternity # AE -3.55% # 0x # ZRX 18.74% # Verge # XVG -9% Datos ult. 24hhttps://foromonedas.com/t/criptomonedas-caen-analisis/31 …"
aeternity,2018-05-23 19:41,36,70,"# aeternity will speak at the European Parliament HQ in Brussels tomorrow! Julio Alejandro from the team will present # AE's technology during the `Welcome to the future of Blockchain, AI, and IoT’’ panel at the Intercontinental Blockchain Conference. http://bit.ly/2khiVa6"
cryptoSqueeze,2018-05-18 03:26,100,478,"Survive these 2 to 3 years in Crypto and you will get to enjoy wealth beyond your wildest imagination. $ BTC # Bitcoin # Cryptocurrency # Crypto $ ETH # Ethereum # Aeternity $ AE"
aeternity,2018-05-17 14:00,37,63,"The @ Steemit article on # aeternity's # SmartContracts was so well-received by the # community that we added it in the blog. It is an essential read for anyone who wants to understand the types & features of # AE's smart contracts. Read this (!): http://bit.ly/2k3pSLO"
aeternity,2018-05-16 14:17,26,42,"# aeternity just launched an # AEmbassador program! Learn more about how to become part of it -> http://bit.ly/2rHqASj  If you have any questions -> add them to the AEmbassadors-dedicated category in the Forum! -> http://bit.ly/2IiXjIO # global # AE # blockchain # ambassadors"
aeternity,2018-05-06 12:00,35,68,"Stoyan organized a great # aepps # workshop & gave an exclusive interview for the # Dutch # AE community at the Chainges event yesterday! More photos from the @ _chainges experience coming up! :) Huge `thank you` to the local # aeternity fans! We appreciate you all! pic.twitter.com/cAYIktJVX1"
CryptoStatsBot,2018-05-05 06:00,0,0,"Biggest Losers (1 hr) Bitcoin Private $ BTCP -3% Scry info $ DDD -2.49% GXChain $ GXS -1.8% Aeternity $ AE -1.71% DigiByte $ DGB -1.66%"
