date,open,high,low,close,volume,number of trades,BitConnect BCC
2018-04-01 00:00:00,682.08000000,693.24000000,682.08000000,687.10000000,113.24507000,604,31
2018-04-01 01:00:00,688.98000000,697.98000000,688.58000000,694.04000000,153.86466000,405,46
2018-04-01 02:00:00,694.21000000,696.43000000,687.10000000,691.03000000,88.75069000,396,47
2018-04-01 03:00:00,690.03000000,695.06000000,690.03000000,691.10000000,79.43602000,260,32
2018-04-01 04:00:00,691.17000000,696.78000000,689.48000000,692.73000000,200.30627000,486,17
2018-04-01 05:00:00,692.73000000,695.22000000,689.68000000,690.24000000,99.05151000,335,49
2018-04-01 06:00:00,690.07000000,691.37000000,681.27000000,684.62000000,236.84835000,1058,15
2018-04-01 07:00:00,683.31000000,685.51000000,652.82000000,657.22000000,763.59133000,2557,14
2018-04-01 08:00:00,655.93000000,660.32000000,650.02000000,650.11000000,357.93767000,1104,0
2018-04-01 09:00:00,650.26000000,651.10000000,633.81000000,650.60000000,603.50005000,1707,13
2018-04-01 10:00:00,650.00000000,650.54000000,631.66000000,637.05000000,721.23321000,1415,50
2018-04-01 11:00:00,636.73000000,639.50000000,628.04000000,635.85000000,306.29417000,1168,0
2018-04-01 12:00:00,636.59000000,642.89000000,633.39000000,641.13000000,298.94030000,1051,53
2018-04-01 13:00:00,641.01000000,643.20000000,627.04000000,637.05000000,574.13698000,1668,29
2018-04-01 14:00:00,637.05000000,637.05000000,621.28000000,629.13000000,774.80747000,2120,19
2018-04-01 15:00:00,629.13000000,635.37000000,624.75000000,625.11000000,193.72366000,816,18
2018-04-01 16:00:00,625.11000000,665.99000000,623.33000000,656.42000000,1497.23414000,3445,18
2018-04-01 17:00:00,657.42000000,662.52000000,648.15000000,652.98000000,521.97825000,1528,9
2018-04-01 18:00:00,652.98000000,654.92000000,640.08000000,652.80000000,322.04882000,1232,20
2018-04-01 19:00:00,653.85000000,665.27000000,647.46000000,654.83000000,452.96512000,1315,0
2018-04-01 20:00:00,655.27000000,664.42000000,647.22000000,649.50000000,321.16843000,1008,22
2018-04-01 21:00:00,650.66000000,653.88000000,644.00000000,645.80000000,152.27767000,463,12
2018-04-01 22:00:00,647.37000000,647.37000000,638.47000000,641.50000000,146.00686000,505,14
2018-04-01 23:00:00,642.57000000,644.00000000,636.32000000,642.80000000,244.58381000,517,15
2018-04-02 00:00:00,641.34000000,663.18000000,635.02000000,657.68000000,293.61676000,972,0
2018-04-02 01:00:00,655.94000000,658.00000000,641.82000000,649.99000000,344.66440000,936,14
2018-04-02 02:00:00,649.99000000,663.18000000,646.54000000,661.26000000,173.81482000,532,15
2018-04-02 03:00:00,661.43000000,665.21000000,658.44000000,661.98000000,254.71744000,530,0
2018-04-02 04:00:00,661.98000000,665.21000000,655.00000000,656.58000000,171.33686000,571,0
2018-04-02 05:00:00,657.13000000,660.00000000,651.65000000,657.03000000,102.45295000,395,15
2018-04-02 06:00:00,657.00000000,664.90000000,656.63000000,658.13000000,84.30992000,422,14
2018-04-02 07:00:00,658.79000000,677.28000000,656.05000000,674.31000000,296.16292000,851,0
2018-04-02 08:00:00,674.25000000,677.99000000,667.75000000,676.89000000,278.77422000,827,12
2018-04-02 09:00:00,676.79000000,677.65000000,671.10000000,676.95000000,136.90226000,409,23
2018-04-02 10:00:00,675.00000000,678.37000000,668.01000000,676.17000000,199.53303000,550,33
2018-04-02 11:00:00,677.91000000,685.33000000,673.86000000,679.22000000,280.80661000,872,30
2018-04-02 12:00:00,679.78000000,681.74000000,662.57000000,666.92000000,265.89355000,792,9
2018-04-02 13:00:00,668.74000000,673.00000000,664.00000000,668.90000000,238.60113000,688,17
2018-04-02 14:00:00,668.98000000,668.98000000,654.52000000,657.61000000,246.84069000,821,16
2018-04-02 15:00:00,657.73000000,672.68000000,657.69000000,667.28000000,287.70907000,863,16
2018-04-02 16:00:00,668.43000000,671.50000000,658.22000000,667.02000000,260.68334000,519,8
2018-04-02 17:00:00,667.02000000,667.02000000,656.96000000,661.58000000,92.98933000,442,8
