date,open,high,low,close,volume,number of trades,Bitcoin Gold BTG,sentiment
2018-04-01 00:00:00,0.00627900,0.00630600,0.00626800,0.00626900,854.82000000,324,58.0,0.0
2018-04-01 01:00:00,0.00626900,0.00628200,0.00620900,0.00623400,849.06000000,283,39.0,0.0625
2018-04-01 02:00:00,0.00625000,0.00628200,0.00623800,0.00625000,737.26000000,307,0.0,0.0
2018-04-01 03:00:00,0.00624700,0.00629900,0.00622000,0.00626500,1091.37000000,364,0.0,0.0
2018-04-01 04:00:00,0.00627800,0.00630400,0.00625500,0.00628000,1016.10000000,351,63.0,0.0
2018-04-01 05:00:00,0.00628900,0.00630900,0.00625300,0.00629800,1986.95000000,361,0.0,0.0
2018-04-01 06:00:00,0.00629800,0.00630800,0.00624200,0.00626900,1067.63000000,368,0.0,0.4714285714285714
2018-04-01 07:00:00,0.00626800,0.00630000,0.00624800,0.00626000,1420.09000000,368,17.0,0.0
2018-04-01 08:00:00,0.00625500,0.00626400,0.00616800,0.00616800,1230.64000000,478,65.0,0.0
2018-04-01 09:00:00,0.00617000,0.00619700,0.00614400,0.00614400,1624.94000000,463,63.0,0.0
2018-04-01 10:00:00,0.00614400,0.00616100,0.00612000,0.00614600,2244.07000000,405,0.0,-0.09999999999999999
2018-04-01 11:00:00,0.00613700,0.00621600,0.00613000,0.00613000,2075.32000000,366,29.0,0.0
2018-04-01 12:00:00,0.00613000,0.00618500,0.00606000,0.00610500,1785.03000000,519,0.0,0.0
2018-04-01 13:00:00,0.00609100,0.00610600,0.00598700,0.00598800,1913.07000000,663,12.0,0.0
2018-04-01 14:00:00,0.00600100,0.00600600,0.00590400,0.00600200,2118.31000000,646,12.0,0.0
2018-04-01 15:00:00,0.00600000,0.00603500,0.00589500,0.00595200,4057.24000000,762,23.0,0.0
2018-04-01 16:00:00,0.00595100,0.00607700,0.00590300,0.00595000,3257.51000000,741,23.0,0.0
2018-04-01 17:00:00,0.00595600,0.00613500,0.00593100,0.00601700,3030.53000000,764,36.0,0.0
2018-04-01 18:00:00,0.00601800,0.00603100,0.00595800,0.00598400,1733.91000000,439,0.0,0.0
2018-04-01 19:00:00,0.00598500,0.00605600,0.00598000,0.00599400,1232.73000000,389,13.0,0.0
2018-04-01 20:00:00,0.00598800,0.00602600,0.00598000,0.00598100,1377.40000000,382,0.0,0.0
2018-04-01 21:00:00,0.00598100,0.00602200,0.00596100,0.00597600,2094.69000000,267,15.0,0.0
2018-04-01 22:00:00,0.00596100,0.00602700,0.00591700,0.00595600,2157.62000000,489,69.0,0.0
2018-04-01 23:00:00,0.00595700,0.00602000,0.00594600,0.00596900,649.91000000,323,37.0,0.0
2018-04-02 00:00:00,0.00596400,0.00604100,0.00590800,0.00595700,931.35000000,393,56.0,0.0
2018-04-02 01:00:00,0.00591500,0.00604000,0.00590800,0.00597100,1179.53000000,437,18.0,0.0
2018-04-02 02:00:00,0.00594500,0.00597000,0.00590100,0.00594700,926.19000000,363,19.0,0.0
2018-04-02 03:00:00,0.00594700,0.00594700,0.00587300,0.00587400,2114.13000000,425,0.0,0.0
2018-04-02 04:00:00,0.00587300,0.00594100,0.00587300,0.00590500,1543.27000000,420,20.0,0.18
2018-04-02 05:00:00,0.00590900,0.00594800,0.00587400,0.00591600,1076.31000000,378,0.0,-0.40625
2018-04-02 06:00:00,0.00591600,0.00594600,0.00589100,0.00590100,792.53000000,405,52.0,0.0
2018-04-02 07:00:00,0.00590600,0.00598100,0.00590000,0.00598000,1621.95000000,362,0.0,0.0
2018-04-02 08:00:00,0.00598000,0.00601700,0.00591500,0.00595900,1312.67000000,515,15.0,0.0
2018-04-02 09:00:00,0.00595400,0.00601000,0.00592200,0.00595500,1530.34000000,452,14.0,0.0
2018-04-02 10:00:00,0.00595600,0.00605400,0.00591000,0.00601900,2559.44000000,592,14.0,0.0
2018-04-02 11:00:00,0.00601600,0.00608300,0.00599300,0.00600800,1669.05000000,542,25.0,0.0
2018-04-02 12:00:00,0.00600800,0.00604000,0.00595900,0.00601200,1586.96000000,400,12.0,0.0
2018-04-02 13:00:00,0.00601900,0.00602500,0.00592200,0.00598100,1583.88000000,464,0.0,0.0
2018-04-02 14:00:00,0.00599000,0.00603900,0.00593300,0.00595000,1972.14000000,451,40.0,0.0
2018-04-02 15:00:00,0.00594900,0.00600100,0.00592000,0.00597000,1443.62000000,428,20.0,0.17045454545454544
2018-04-02 16:00:00,0.00597000,0.00603700,0.00594300,0.00599200,1687.20000000,497,20.0,0.0
2018-04-02 17:00:00,0.00600700,0.00601800,0.00597100,0.00597200,1405.77000000,367,20.0,0.0
2018-04-02 18:00:00,0.00597100,0.00606300,0.00595800,0.00605800,3307.42000000,729,31.0,0.0
2018-04-02 19:00:00,0.00605700,0.00606000,0.00602000,0.00603900,1672.10000000,447,33.0,0.0
2018-04-02 20:00:00,0.00603300,0.00605000,0.00599000,0.00601800,1417.69000000,373,12.0,0.0
2018-04-02 21:00:00,0.00601300,0.00601900,0.00597800,0.00598100,1595.49000000,331,0.0,0.0
2018-04-02 22:00:00,0.00598700,0.00603300,0.00596300,0.00600300,934.90000000,412,32.0,0.0
2018-04-02 23:00:00,0.00600100,0.00602400,0.00598000,0.00598600,597.04000000,314,17.0,0.0
2018-04-03 00:00:00,0.00599400,0.00604500,0.00598100,0.00601500,982.21000000,384,0.0,0.0
