username,date,retweets,favorites,text
bitcoingold,2018-05-28 18:55,32,87,"Do you like writing about crypto & blockchain? 2.5 BTG can be yours - 4 more days to go for POTM May Edition. Learn more: https://forum.bitcoingold.org/t/post-of-the-month-may-edition/1391 … # btg # bitcoingold # btc # bitcoin # contest # blockchain # 1cpu1votepic.twitter.com/DuP3Tsgpv1"
bitcoingold,2018-05-28 12:04,41,115,"# Bitcoingold is proud to be an official Media partner of The Asia Blockchain Applications & Economics Forum that has started today in Manila Philippines! There are 55+ guest speakers from # UNIONBANK, # MICROSOFT, # CANTILANBANK, # IBM and many more. https://goo.gl/vuhsbf # btg pic.twitter.com/tPCxxcoMXR"
Techmeme,2018-05-27 16:20,36,35,"Bitcoin fork Bitcoin Gold suffers 51% attack; attacker with more than half of network's hash rate double spent BTG coins on exchanges and may have stolen $18M ( @ y3llowb1ackbird / CCN) http://www.ccn.com/bitcoin-gold-responds-to-recent-double-spend-attack/ …http://www.techmeme.com/180527/p5#a180527p5 …"
matthieugarin,2018-05-27 06:20,25,19,"Securité # Blockchain : # BitcoinGold et # Verge subissent une attaque 51% https://buff.ly/2xj46gC  -> sur BTG, $18.6M détournés le 18 mai, retour arrière sur 22 blocs. Preuve que cette attaque n'est pas que théorique.."
bitcoingold,2018-05-26 17:05,23,92,"Join the Bitcoin Gold Official Social Media channels. Find out more about the project, chat in real time with our community managers and other community members around the world. https://forum.bitcoingold.org/t/bitcoin-gold-social-media-channels/1182 … # btg # bitcoingold # bitcoin # blockchain # cryptocurrenciespic.twitter.com/TIgk9Pshbi"
SatoshisWorId,2018-05-26 15:37,8,16,"Verge and Bitcoin Gold attacks open the door for Digibyte. # crypto $ XVG $ BTG $ DGBhttps://satoshisworld.com/article/135053868?title=Verge+%28XVG%29%2C+and+Bitcoin+Gold+%28BTG%29+attacks+are+opportunities+for+Digibyte+%28DGB%29+to+shine%21 …"
cryptorecorder,2018-05-26 06:26,25,49,"$ VERGE $ XVG $ BTG $ DGB Verge (XVG), and Bitcoin Gold (BTG) attacks are opportunities for Digibyte (DGB) to shine! @ vergecurrency @ bitcoingold @ DigiByteCoin # Vergecurrency # verge # XVG # xvgfam # BitcoinGold # BTG # BTGUSD # digibyte # DGB # Digi https://cryptorecorder.com/2018/05/25/verge-xvg-and-bitcoin-gold-btg-attacks-are-opportunities-for-digibyte-dgb-to-shine/ … via @ cryptorecorder"
GuidoLange,2018-05-25 09:48,0,0,"Bitter was da bei Bitcoin Gold ($BTG) passiert ist. Trotzdem ist BTG noch knapp 780 Mio. USD Wert. https://kryptoszene.de/bitcoin-gold-wird-opfer-einer-51-attacke/ …"
SatoshiLite,2018-05-24 15:59,362,1229,"Bitcoin Gold got 51% attacked. Miners have no issue with attacking BTG because if it dies, they could easily switch to mine another coin that also uses Equihash POW. This is not the case for Bitcoin/Litecoin where they are the dominant coin for their respective mining algorithms. https://twitter.com/el33th4xor/status/999453788955074562 …"
mercadoforexnet,2018-05-24 13:15,0,2,"# ZCash # ZEC -12.26% # OmiseGO # OMG -4.57% # Icon # ICX -8.37% # Lisk # LSK -4.84% # Zilliqa # ZIL -9.08% # Ontology # ONT -1.13% # Bitcoin Gold # BTG -6.01% # Steem # STEEM -3.83% # Decred # DCR -6.90% # Aeternity # AE -3.55% # 0x # ZRX 18.74% # Verge # XVG -9% Datos ult. 24hhttps://foromonedas.com/t/criptomonedas-caen-analisis/31 …"
KryptoWiki,2018-05-24 08:58,0,0,"Erneut wird ein Angriff auf eine Blockchain bekannt! Letzte Woche fand eine double Spending Attacke auf Bitcoin Gold statt, die dem Angreifer bis zu 18 Millionen USD eingebracht hat! # bitcoingold # btg https://buff.ly/2s57tTo"
UpsUpsAndDowns,2018-05-24 01:40,27,75,"`A malicious miner successfully executed a double spend attack on the Bitcoin Gold network last week, making BTG at least the third altcoin to succumb to a network attack during that timespan.` https://www.ccn.com/bitcoin-gold-hit-by-double-spend-attack-exchanges-lose-millions/ … Who you take investment advice from has its consequences.https://twitter.com/adam3us/status/922569768770478080 …"
Blockcampio,2018-05-23 09:52,13,69,"Great meeting the founder of Bitcoin Gold - Jack Liao @ bitcoingold # BitcoinGold # btg pic.twitter.com/bgdQUdFdNu"
SalihSarikaya,2018-05-23 00:58,57,160,"Bitcoin Private (BTCP) or # BitcoinGold ( # BTG)? What Caused # BitcoinPrivate ( # BTCP) # MarketCap Growth? https://theoofy.com/12177/bitcoin-private-btcp-vs-bitcoin-gold-btg-what-are-the-latest-developments-in-bitcoin-forks/ … @ TheOofy"
SalihSarikaya,2018-05-21 22:00,19,82,"Bitcoin Gold (BTG) Predictions: Will Bitcoin Gold rise to newer highs in 2018? http://dlvr.it/QTdQbT pic.twitter.com/ZpGpwE52st"
SalihSarikaya,2018-05-21 22:00,17,72,"What should you know about Bitcoin Gold (BTG) and Bitcoin Private (BTCP) before investing? – Cryptocurrency News Today http://dlvr.it/QTdQZJ pic.twitter.com/hXxWepGeNg"
litecoinhodler,2018-05-13 18:14,29,102,"In my opinion Bitcoin(BTC) is the real bitcoin. Bitcoin Cash(BCH) is not bitcoin. Bitcoin Gold(BTG) is not bitcoin. Bitcoin Dark(BTCD) is not bitcoin. Bitcoin Plus(XBC) is not bitcoin. Bitcoin Diamond(BCD) is not bitcoin. Bitcoin Private(BTCP) is not bitcoin."
Mag1cmax,2018-04-24 00:37,5,20,"SegwitCoin(Bitcoin Core)の最大のライバルはBitcoinGold ①既にGoldという名付けができており、安心してデジタルゴールドを名乗れる ②SegwitCoinより大容量&高性能 ③ASIC耐性のあるGPU採掘化 実はSegwitCoinerの夢が実現してる唯一のbitcoinとしか思えないwww 後はBTG+LNで完成だな"
koinexindia,2018-05-31 10:06,4,26,"Reminder: All Bitcoin Gold (BTG) wallets on Koinex will be terminated on 20:00, 1st June 2018 (IST). The BTG wallets would be visible only to selected Koinex users who had Bitcoin (BTC) on Koinex during the hard fork of Bitcoin Gold (BTG) in October 2017. https://medium.com/koinex-crunch/bitcoin-gold-updated-statement-32d10094426a …"
koinexindia,2018-05-30 14:21,9,35,"Bitcoin Gold (BTG) wallet service will not be available on Koinex after 20:00, June 1st 2018 (IST). Kindly withdraw your $ BTG (if any) before the termination date."
BTG_Man,2018-05-29 02:03,18,54,"Buy # BTG # Bitcoingold today. Great price at $40 but was $500 and will do it again. # XRP # ripple # Bitcoin # Ethereum # Ripple # BitcoinCash # EOS # Litecoin # Stellar # Cardano # TRON # IOTA # NEO # Dash # Monero # Tether # NEM # VeChain # EthereumClassic # BinanceCoin # Bytecoin # Qtum # Zcashpic.twitter.com/j9wG9dzjU7"
BlockfolioApp,2018-05-27 01:55,10,12,"What is Double Spend? The value in transaction confirmations and more. # BTG # BitcoinGold # BTChttps://youtu.be/cOc7V64HUDQ"
LastCryptoJedi,2018-05-26 18:59,15,33,"It’s funny how we keep hearing of # cryptocurrencies like # Verge # XVG or # Ethereum # ETH or # BitcoinGold # BTG getting hacked all the time yet # DigiByte remains untouchable. # DGB is rock solid. HARDCORE!"
CheapHotAlts,2018-05-26 05:58,0,2,"Verge (XVG), and Bitcoin Gold (BTG) attacks are opportunities for Digibyte (DGB) to shine! $ DGB https://ift.tt/2xgQane"
tradingroomapp,2018-05-26 02:06,5,65,"Why do you get shocked when I say 90% of the coins may lose 95% of their value in case of Meltdown? Look at $ BTG # BitcoinGold down 90% already from its peak Look at $ QTUM down 85% already There are 1600 coins & I can bet, you have never heard of more than 80. So be in the know"
CryptoD0N,2018-05-25 19:26,5,30,"Bitcoin Gold devs should give their pre mined BTG to the exchanges that were affected by the attack. This whole story is another proof, that selling “asic resistent“ coins as being “more decentralized“ is just bullshit. At least they should be honest."
LukeDashjr,2018-05-25 11:44,9,40,"I need to learn to use Twitter hashtags... # Bitcoin # Bitmain # BitcoinCash # BitcoinGold @ BITMAINtech $ BTC $ BCH $ BTG # BTChttps://twitter.com/LukeDashjr/status/999974330191753216 …"
dbndude1,2018-05-25 03:57,19,38,"This can never happen with # DigiByte. @ facebook @ PayPal @ coinbase @ cz_binance u can't ignore the fastest most secure longest utxo with the cheapest tx fees much longer. We even have # DigiID to protect YOU # bitcoin @ Bitcoin @ bitcoingold # btg https://twitter.com/CryptoCurrent/status/999764456048504832 …"
hkunimitsu,2018-05-24 22:22,5,6,"モナコインに続いてBTGも。マイナーが少ないコインは同じリスクを孕む。特にASIC系はBTC以外キツいんじゃないか >仮想通貨Bitcoin Goldが「51％攻撃」で取引を乗っ取られ取引所が多額の損失を負う事件が発生 https://gigazine.net/news/20180524-bitcoin-gold-double-spend-attack/ …"
MasafumiNegishi,2018-05-24 09:30,7,13,"一方、5/17〜5/19頃に発生した Bitcoin Gold ($BTG) への攻撃は、その少し前に起きた Monacoin への攻撃とほぼ同じ。Reorg によって取引所での二重利用を狙ったもの。これらの攻撃と Verge への攻撃は少し内容が異なる。大量のハッシュパワーを使って攻撃したという点は同じ。 https://forum.bitcoingold.org/t/double-spend-attack-on-exchanges/1362 …"
mindstatex,2018-05-24 08:05,2,15,"Coins that reject ASIC mining are BS. They might as well say they are throwing security of the network and users' money out the window. Don't be the clueless investor that gets scammed by mumbojumbo buzzwords from # BitcoinGold # BTG https://twitter.com/proffaustus/status/999463664326467584 …"
