username,date,retweets,favorites,text
DocVersable,2018-05-26 18:57,28,56,"What Is BTS? Introduction to BitShares @ crypto_briefinghttps://cryptobriefing.com/what-is-bts-introduction-to-bitshares/ …"
AI_Autonio,2018-05-15 15:07,120,174,"$ NIO $ BTS # Autonio # Bitshares # MarketMakerpic.twitter.com/V6FjoW7aQb"
kevinmesserly,2018-05-12 17:09,25,58,"China's Ministry of Industry and Information Technology (MITT) will be analyzing 28 blockchain projects for a new rating system called the 'Global Public Chain Assessment Index'. # Bitshares is included in the list of 28. I predict a top 3 spot for $ BTS https://www.chepicap.com/en/news/364/china-s-new-rating-system-these-28-blockchain-projects-will-be-assessed.html …"
rabia3497,2018-05-12 16:03,48,81,"Sadece bitcoin ile al-sat yapanlar daha çok kazanıyor gibi 48 saat %11 gayet iyi # hilbetveriyor # Wanchain # WAN $ WAN # Siacoin # SC $ SC # Neblio # NEBL $ NEBL # Elastos # ELA $ ELA # OceanChain # OC $ OC # POA $ POA # Stratis # STRAT $ STRAT # BitShares # BTS $ BTS # Dogecoin # DOGE $ DOGE $ ARK $ YOYOpic.twitter.com/F0B1poyUz5"
AI_Autonio,2018-05-06 00:54,110,162,"We’re having a great time at the 2018 Graphene Developers Conference! # Autonio $ NIO # BTS $ BTS # Bitshares $ EOS # EOS $ STEEM # STEEMpic.twitter.com/50SHah6MSo"
cmcal_bot,2018-05-03 21:45,1,0,"New BitShares $ BTS, DECENT $ DCT, GXChain $ GXS, GXShares $ GXS event! 05 May 2018 Graphene DEVCON Source: https://coinmarketcal.com/?form[coin][]=BitShares%20(BTS)&form[coin][]=DECENT%20(DCT)&form[coin][]=GXChain%20(GXS)&form[coin][]=GXShares%20(GXS)&form[sort_by]=created_desc …pic.twitter.com/yqnwsSUGUQ"
kevinmesserly,2018-04-30 06:05,51,171,"You don't see this every day, but when you do it makes for a good day. # Bitshares $ BTS is the top gainer for the past 24 hours for the entire crypto market. pic.twitter.com/z6dEiYS2cK"
AI_Autonio,2018-04-25 21:51,93,129,"We're excited to be mentioned in the latest # Bitshares state of the network report. Read the full report below. More exciting news to come... https://steemit.com/bitshares/@steempower/bitshares-state-of-the-network-25th-april-2018 … … $ NIO # Autonio # BTSDEX # BTS $ BTS pic.twitter.com/DRzEHvwquF"
cryptobitcoinfo,2018-04-23 03:24,0,0,"【BTS】BitShares part0.0002【DEX DAC DPOS】 http://bitcoin-oshiete.com/?p=72830"
kevinmesserly,2018-04-02 07:10,16,60,"# BitShares $ BTS is the third highest gainer today on coinmarketcap. pic.twitter.com/Axhokfz7yT"
kevinmesserly,2018-04-02 06:47,55,114,"Huobi Pro, second largest crypto exchange, is listing $ BTS # BitShares today. This is pretty amazing news. @ Huobi_Pro @ bitshares https://www.huobipro.com/notice_detail/?id=1264 …pic.twitter.com/cv9zQupgVh"
newsbitshares,2018-05-27 16:38,20,28,"# BitShares # NewsTicker #2 https://steemit.com/bitshares/@patrickjh/bitshares-newsticker-2-jam-packed-news-for-bitshares-sunday-newsticker-day … @ CryptoKong123 @ EasyDexOfficial @ CloudCoinGlobal @ kevinmesserly @ bitsfarmcrypt # bts $ bts pic.twitter.com/qRJQ3064fI"
BitsparkLtd,2018-05-24 04:00,10,29,"You've waited and here it is! SENDY is now available for closed BETA testing. Read our blog for info for access. https://buff.ly/2s2Bbbt # Bitshares # Bitcoin # bts # btc # cryptocurrency # crypto # launch # beta # blockchain # bitshares # testing # app # technology # business # zeph # zephyrpic.twitter.com/16rs5jk0EM"
newsbitshares,2018-05-22 10:15,15,28,"BitShares Newsticker #1 May22 ‘18 Check: https://steemit.com/cryptocurrency/@patrickjh/extra-extra-bitshares-news-see-all-about-it … # bitshares # bts $ bts # news # crypto # cryptocurrency # bitsharesnews # btsnewspic.twitter.com/aXbzrrWqmp"
