date,open,high,low,close,volume,number of trades,Dash DASH,sentiment
2018-04-01 00:00:00,0.04393100,0.04403900,0.04385400,0.04389600,626.83900000,416,100.0,-0.03505434782608696
2018-04-01 01:00:00,0.04399500,0.04401700,0.04383900,0.04392100,629.04100000,362,100.0,0.09333333333333334
2018-04-01 02:00:00,0.04392500,0.04408700,0.04391500,0.04394400,824.39200000,472,95.0,0.0
2018-04-01 03:00:00,0.04394400,0.04398800,0.04372100,0.04376300,640.69600000,347,91.0,0.06731481481481481
2018-04-01 04:00:00,0.04376400,0.04404400,0.04373100,0.04383500,746.91600000,405,79.0,0.04375
2018-04-01 05:00:00,0.04383500,0.04401500,0.04367200,0.04395900,574.63500000,362,66.0,0.045578231292517
2018-04-01 06:00:00,0.04405400,0.04425300,0.04378900,0.04399200,640.76900000,412,57.0,0.02
2018-04-01 07:00:00,0.04390400,0.04407300,0.04357000,0.04368000,765.93400000,565,51.0,0.03333333333333333
2018-04-01 08:00:00,0.04368100,0.04372400,0.04334300,0.04337200,572.36700000,460,50.0,0.03125
2018-04-01 09:00:00,0.04337200,0.04373600,0.04317100,0.04320300,513.63700000,519,47.0,0.08454545454545455
2018-04-01 10:00:00,0.04320200,0.04349700,0.04281000,0.04300200,705.36400000,603,52.0,0.03937710437710438
2018-04-01 11:00:00,0.04300100,0.04321800,0.04293600,0.04313400,667.36300000,449,53.0,0.09166666666666667
2018-04-01 12:00:00,0.04317600,0.04323300,0.04313400,0.04323300,887.99100000,470,57.0,0.12239583333333333
2018-04-01 13:00:00,0.04328000,0.04406900,0.04323100,0.04397500,891.67500000,844,58.0,0.0
2018-04-01 14:00:00,0.04398700,0.04474000,0.04386400,0.04436900,1108.71900000,982,60.0,0.0
2018-04-01 15:00:00,0.04428000,0.04436700,0.04373200,0.04393800,739.75200000,515,65.0,0.0
2018-04-01 16:00:00,0.04393100,0.04396600,0.04329200,0.04346200,755.63400000,755,63.0,0.1111111111111111
2018-04-01 17:00:00,0.04346200,0.04477000,0.04333100,0.04458600,896.36000000,823,66.0,0.075
2018-04-01 18:00:00,0.04445700,0.04479800,0.04445400,0.04457800,541.28700000,442,69.0,0.0
2018-04-01 19:00:00,0.04468300,0.04479500,0.04451100,0.04465300,474.79800000,407,72.0,0.14294642857142856
2018-04-01 20:00:00,0.04456500,0.04475800,0.04449000,0.04455400,583.68500000,409,74.0,0.1261904761904762
2018-04-01 21:00:00,0.04457800,0.04486900,0.04437900,0.04441800,701.78600000,477,79.0,0.0
2018-04-01 22:00:00,0.04445300,0.04449300,0.04178000,0.04219500,1624.06900000,1871,87.0,0.11315972222222222
2018-04-01 23:00:00,0.04219500,0.04278400,0.04215600,0.04266400,910.11400000,828,90.0,0.0
2018-04-02 00:00:00,0.04263600,0.04282200,0.04200000,0.04216900,827.90200000,633,94.0,-0.03888888888888889
2018-04-02 01:00:00,0.04213200,0.04245400,0.04198300,0.04236000,643.22100000,470,89.0,0.04539141414141414
2018-04-02 02:00:00,0.04235200,0.04256900,0.04235200,0.04243300,567.64800000,353,84.0,0.0
2018-04-02 03:00:00,0.04251800,0.04251800,0.04208600,0.04234700,674.45500000,430,75.0,-0.020833333333333336
2018-04-02 04:00:00,0.04223900,0.04255700,0.04223800,0.04249700,529.38900000,432,69.0,0.3
2018-04-02 05:00:00,0.04252600,0.04270900,0.04240000,0.04255400,670.08300000,460,57.0,0.0
2018-04-02 06:00:00,0.04255400,0.04268000,0.04243900,0.04251100,434.31500000,358,50.0,0.017361111111111112
2018-04-02 07:00:00,0.04247200,0.04271100,0.04247200,0.04267300,594.34700000,369,47.0,0.005833333333333324
2018-04-02 08:00:00,0.04271100,0.04285900,0.04267000,0.04270400,595.72200000,501,46.0,0.0
2018-04-02 09:00:00,0.04270600,0.04295000,0.04267000,0.04283700,850.37500000,521,46.0,0.08169191919191919
2018-04-02 10:00:00,0.04284000,0.04287000,0.04234300,0.04277000,701.54800000,636,48.0,0.17857142857142858
