date,open,high,low,close,volume,number of trades,EOS EOS,sentiment
2018-04-01 00:00:00,0.00085502,0.00085502,0.00084700,0.00085105,208233.00000000,1577,75.0,0.055647382920110185
2018-04-01 01:00:00,0.00085102,0.00085286,0.00084716,0.00085136,140409.00000000,1381,74.0,0.05972222222222223
2018-04-01 02:00:00,0.00085136,0.00085550,0.00085003,0.00085325,153583.00000000,1529,69.0,0.0
2018-04-01 03:00:00,0.00085325,0.00085600,0.00085096,0.00085408,115990.00000000,847,68.0,0.0
2018-04-01 04:00:00,0.00085408,0.00085519,0.00085108,0.00085410,136434.00000000,921,76.0,0.0
2018-04-01 05:00:00,0.00085395,0.00085500,0.00084767,0.00085416,148188.00000000,1330,80.0,0.1367099567099567
2018-04-01 06:00:00,0.00085500,0.00085735,0.00085179,0.00085598,161135.00000000,2135,83.0,0.0
2018-04-01 07:00:00,0.00085547,0.00085735,0.00084560,0.00084686,165502.00000000,2399,86.0,0.04739583333333333
2018-04-01 08:00:00,0.00084684,0.00085163,0.00084298,0.00084650,239877.00000000,2708,90.0,0.0
2018-04-01 09:00:00,0.00084651,0.00084666,0.00082840,0.00083405,426325.00000000,3804,100.0,0.0
2018-04-01 10:00:00,0.00083405,0.00083515,0.00082900,0.00083177,162570.00000000,1740,93.0,0.0
2018-04-01 11:00:00,0.00083176,0.00083401,0.00081700,0.00081909,214103.00000000,2370,88.0,0.0
2018-04-01 12:00:00,0.00081904,0.00082665,0.00081640,0.00082488,214915.00000000,2297,87.0,0.075
2018-04-01 13:00:00,0.00082401,0.00082516,0.00080700,0.00080837,289874.00000000,3174,89.0,0.16174242424242424
2018-04-01 14:00:00,0.00080842,0.00081148,0.00079344,0.00080852,464460.00000000,5981,85.0,0.13666666666666666
2018-04-01 15:00:00,0.00080803,0.00081763,0.00080495,0.00081400,243035.00000000,1950,82.0,0.0
2018-04-01 16:00:00,0.00081400,0.00082851,0.00081400,0.00082414,266866.00000000,3394,83.0,-0.03916666666666667
2018-04-01 17:00:00,0.00082414,0.00082590,0.00081910,0.00082399,144963.00000000,1476,80.0,0.0
2018-04-01 18:00:00,0.00082399,0.00083000,0.00081900,0.00082668,120297.00000000,1280,85.0,0.0
2018-04-01 19:00:00,0.00082754,0.00083026,0.00082100,0.00082317,151051.00000000,1503,87.0,0.0
2018-04-01 20:00:00,0.00082245,0.00082381,0.00081511,0.00081519,179684.00000000,1248,88.0,0.13333333333333333
2018-04-01 21:00:00,0.00081636,0.00082099,0.00081000,0.00081923,211648.00000000,2416,84.0,0.03125
2018-04-01 22:00:00,0.00081921,0.00082436,0.00081765,0.00082180,136498.00000000,1595,82.0,0.0
2018-04-01 23:00:00,0.00082201,0.00082500,0.00082025,0.00082210,94940.00000000,1109,77.0,0.0
2018-04-02 00:00:00,0.00082210,0.00082500,0.00080846,0.00081140,183307.00000000,1993,73.0,0.0
2018-04-02 01:00:00,0.00081243,0.00082052,0.00081243,0.00081531,196353.00000000,1451,72.0,-0.06666666666666667
2018-04-02 02:00:00,0.00081408,0.00081711,0.00081072,0.00081101,167591.00000000,1294,73.0,0.0
2018-04-02 03:00:00,0.00081101,0.00081301,0.00080769,0.00081139,184015.00000000,2038,76.0,0.39999999999999997
2018-04-02 04:00:00,0.00081141,0.00081396,0.00080900,0.00081163,143770.00000000,1189,79.0,0.0
2018-04-02 05:00:00,0.00081163,0.00081600,0.00081000,0.00081274,145876.00000000,1280,79.0,0.0
2018-04-02 06:00:00,0.00081271,0.00081401,0.00080595,0.00080920,211908.00000000,3072,83.0,0.15625
2018-04-02 07:00:00,0.00080868,0.00081394,0.00080134,0.00080350,184300.00000000,2506,87.0,-0.08928571428571427
2018-04-02 08:00:00,0.00080350,0.00080623,0.00079944,0.00080302,214123.00000000,2725,93.0,0.0
2018-04-02 09:00:00,0.00080286,0.00080706,0.00080175,0.00080451,197358.00000000,3601,94.0,0.0
2018-04-02 10:00:00,0.00080451,0.00082800,0.00080400,0.00082222,300461.00000000,4036,89.0,0.3375
2018-04-02 11:00:00,0.00082222,0.00083100,0.00081765,0.00081966,350296.00000000,4260,85.0,0.0
2018-04-02 12:00:00,0.00081966,0.00082869,0.00081417,0.00081455,317078.00000000,3552,82.0,0.0
2018-04-02 13:00:00,0.00081447,0.00082268,0.00081391,0.00081931,189143.00000000,2612,79.0,0.0
2018-04-02 14:00:00,0.00081936,0.00082378,0.00081000,0.00081820,333938.00000000,4057,84.0,0.25
2018-04-02 15:00:00,0.00081900,0.00082600,0.00081677,0.00081845,213056.00000000,2004,82.0,0.0
2018-04-02 16:00:00,0.00081844,0.00082180,0.00081500,0.00081699,181198.00000000,1539,76.0,0.2671875
2018-04-02 17:00:00,0.00081675,0.00082175,0.00081389,0.00081782,182871.00000000,1588,78.0,0.015000000000000003
2018-04-02 18:00:00,0.00081896,0.00082200,0.00081571,0.00081908,159403.00000000,1262,78.0,0.25
2018-04-02 19:00:00,0.00081901,0.00081950,0.00081521,0.00081691,176411.00000000,1441,81.0,0.0
2018-04-02 20:00:00,0.00081691,0.00082200,0.00081021,0.00081799,201223.00000000,1673,81.0,0.3527777777777778
2018-04-02 21:00:00,0.00081799,0.00082499,0.00081550,0.00081900,168385.00000000,1661,76.0,0.0
2018-04-02 22:00:00,0.00081932,0.00082510,0.00081746,0.00082348,135989.00000000,1313,74.0,0.1
2018-04-02 23:00:00,0.00082344,0.00082598,0.00081973,0.00082251,170277.00000000,1490,72.0,0.0
2018-04-03 00:00:00,0.00082250,0.00082403,0.00081750,0.00081794,168759.00000000,1256,69.0,0.0
2018-04-03 01:00:00,0.00081794,0.00081972,0.00081501,0.00081709,153654.00000000,1133,71.0,0.35
2018-04-03 02:00:00,0.00081708,0.00082000,0.00081301,0.00081529,162858.00000000,1480,74.0,0.15660714285714286
2018-04-03 03:00:00,0.00081410,0.00081700,0.00081314,0.00081688,163634.00000000,1841,77.0,0.03125
2018-04-03 04:00:00,0.00081688,0.00081800,0.00080942,0.00081166,284987.00000000,3371,76.0,0.0
2018-04-03 05:00:00,0.00081167,0.00081400,0.00080838,0.00081085,201752.00000000,2082,82.0,-0.025883838383838387
2018-04-03 06:00:00,0.00081064,0.00081085,0.00080303,0.00080339,217691.00000000,2654,83.0,0.02175925925925926
2018-04-03 07:00:00,0.00080339,0.00081056,0.00080200,0.00080441,362736.00000000,4716,85.0,0.0
2018-04-03 08:00:00,0.00080558,0.00081000,0.00079950,0.00080104,260419.00000000,2891,90.0,0.0
2018-04-03 09:00:00,0.00080001,0.00080251,0.00079744,0.00080201,201152.00000000,2008,84.0,0.0
2018-04-03 10:00:00,0.00080218,0.00080800,0.00079927,0.00080331,174576.00000000,1771,82.0,0.011250000000000001
2018-04-03 11:00:00,0.00080344,0.00080582,0.00080042,0.00080265,174911.00000000,1479,79.0,0.0
2018-04-03 12:00:00,0.00080260,0.00080881,0.00079840,0.00079840,239086.00000000,2887,79.0,0.0
