date,open,high,low,close,volume,number of trades,Ethereum ETH
2018-04-01 00:00:00,393.93000000,399.91000000,393.00000000,395.20000000,3216.30009000,2631,66
2018-04-01 01:00:00,395.20000000,398.70000000,394.00000000,396.66000000,1758.54493000,1548,61
2018-04-01 02:00:00,396.65000000,397.13000000,391.78000000,393.17000000,2818.05694000,2923,62
2018-04-01 03:00:00,393.17000000,395.49000000,392.01000000,392.81000000,1648.67530000,1867,84
2018-04-01 04:00:00,393.33000000,395.19000000,392.80000000,393.62000000,1713.40651000,1575,60
2018-04-01 05:00:00,393.31000000,395.00000000,393.00000000,394.24000000,1446.90130000,1788,64
2018-04-01 06:00:00,394.01000000,394.50000000,385.30000000,385.78000000,6005.14606000,5351,59
2018-04-01 07:00:00,385.78000000,386.33000000,374.01000000,377.29000000,9440.25565000,8375,54
2018-04-01 08:00:00,377.28000000,379.89000000,374.90000000,377.52000000,6257.45580000,4254,56
2018-04-01 09:00:00,377.53000000,383.00000000,371.70000000,382.50000000,7671.97204000,5753,58
2018-04-01 10:00:00,382.50000000,383.00000000,375.84000000,378.00000000,4438.95609000,3743,65
2018-04-01 11:00:00,378.00000000,378.25000000,373.45000000,374.65000000,3822.31600000,3647,54
2018-04-01 12:00:00,374.97000000,377.72000000,374.00000000,375.51000000,3343.12353000,2666,61
2018-04-01 13:00:00,375.51000000,375.53000000,366.00000000,367.53000000,10462.31257000,7443,76
2018-04-01 14:00:00,367.07000000,367.54000000,356.90000000,363.48000000,19005.44849000,11721,71
2018-04-01 15:00:00,363.49000000,366.60000000,360.01000000,360.40000000,7663.45361000,6112,76
2018-04-01 16:00:00,360.15000000,381.63000000,358.89000000,374.84000000,21779.73704000,15339,63
2018-04-01 17:00:00,374.82000000,381.78000000,373.02000000,379.54000000,9190.39248000,6337,67
2018-04-01 18:00:00,379.53000000,382.99000000,376.08000000,379.12000000,6979.56381000,5703,67
2018-04-01 19:00:00,379.19000000,388.00000000,378.84000000,383.43000000,7589.10861000,7028,63
2018-04-01 20:00:00,383.43000000,386.63000000,377.56000000,382.01000000,4973.20979000,4462,60
2018-04-01 21:00:00,382.40000000,382.99000000,375.77000000,377.92000000,3413.11464000,3149,64
2018-04-01 22:00:00,377.85000000,379.21000000,374.87000000,376.73000000,3047.20615000,2938,57
2018-04-01 23:00:00,377.08000000,380.74000000,375.15000000,378.58000000,2809.33679000,2976,72
2018-04-02 00:00:00,378.58000000,386.58000000,375.05000000,383.56000000,6686.68283000,5174,50
2018-04-02 01:00:00,383.56000000,385.89000000,378.00000000,379.72000000,4479.56001000,3965,67
