date,open,high,low,close,volume,number of trades,Gifto GTO,sentiment
2018-04-01 00:00:00,0.00002681,0.00002691,0.00002672,0.00002672,23865.00000000,49,0.0,0.0
2018-04-01 01:00:00,0.00002672,0.00002688,0.00002662,0.00002684,32882.00000000,39,0.0,0.0
2018-04-01 02:00:00,0.00002673,0.00002685,0.00002668,0.00002682,14590.00000000,27,51.0,0.0
2018-04-01 03:00:00,0.00002681,0.00002686,0.00002662,0.00002682,44976.00000000,40,0.0,0.0
2018-04-01 04:00:00,0.00002684,0.00002684,0.00002660,0.00002662,85027.00000000,50,54.0,0.0
2018-04-01 05:00:00,0.00002661,0.00002677,0.00002658,0.00002668,50541.00000000,67,0.0,0.0
2018-04-01 06:00:00,0.00002674,0.00002693,0.00002631,0.00002634,229379.00000000,185,48.0,0.3
2018-04-01 07:00:00,0.00002637,0.00002647,0.00002600,0.00002605,168866.00000000,195,45.0,0.0
2018-04-01 08:00:00,0.00002604,0.00002624,0.00002600,0.00002610,113723.00000000,101,42.0,0.0
2018-04-01 09:00:00,0.00002611,0.00002621,0.00002575,0.00002621,215110.00000000,256,0.0,0.0
2018-04-01 10:00:00,0.00002625,0.00002668,0.00002595,0.00002623,173876.00000000,211,0.0,0.0
2018-04-01 11:00:00,0.00002632,0.00002632,0.00002583,0.00002586,43874.00000000,68,0.0,0.15704545454545454
2018-04-01 12:00:00,0.00002585,0.00002600,0.00002569,0.00002597,75747.00000000,116,35.0,0.0
2018-04-01 13:00:00,0.00002597,0.00002608,0.00002577,0.00002583,70997.00000000,126,0.0,0.0
2018-04-01 14:00:00,0.00002583,0.00002596,0.00002575,0.00002575,214356.00000000,126,61.0,0.0
2018-04-01 15:00:00,0.00002580,0.00002625,0.00002574,0.00002585,238721.00000000,188,30.0,0.0
2018-04-01 16:00:00,0.00002587,0.00002621,0.00002559,0.00002569,263658.00000000,319,0.0,0.0
2018-04-01 17:00:00,0.00002569,0.00002587,0.00002532,0.00002558,275463.00000000,320,0.0,0.0
2018-04-01 18:00:00,0.00002569,0.00002570,0.00002550,0.00002555,61743.00000000,50,0.0,0.0
2018-04-01 19:00:00,0.00002555,0.00002605,0.00002551,0.00002602,74757.00000000,148,33.0,0.0
2018-04-01 20:00:00,0.00002601,0.00002601,0.00002560,0.00002570,78660.00000000,96,36.0,0.0
2018-04-01 21:00:00,0.00002570,0.00002597,0.00002565,0.00002585,27226.00000000,37,0.0,0.4
2018-04-01 22:00:00,0.00002585,0.00002588,0.00002553,0.00002553,10893.00000000,33,0.0,0.0
2018-04-01 23:00:00,0.00002558,0.00002558,0.00002535,0.00002541,87438.00000000,51,0.0,-0.010606060606060619
2018-04-02 00:00:00,0.00002548,0.00002550,0.00002510,0.00002534,132567.00000000,161,96.0,0.0
2018-04-02 01:00:00,0.00002518,0.00002547,0.00002509,0.00002534,111976.00000000,101,0.0,0.25
2018-04-02 02:00:00,0.00002535,0.00002548,0.00002533,0.00002548,33744.00000000,40,0.0,0.0
2018-04-02 03:00:00,0.00002549,0.00002549,0.00002525,0.00002535,48142.00000000,42,0.0,0.0
2018-04-02 04:00:00,0.00002535,0.00002550,0.00002530,0.00002548,100119.00000000,85,0.0,0.0
2018-04-02 05:00:00,0.00002548,0.00002548,0.00002532,0.00002540,14730.00000000,36,100.0,0.0
2018-04-02 06:00:00,0.00002533,0.00002537,0.00002511,0.00002535,65532.00000000,94,0.0,0.0
2018-04-02 07:00:00,0.00002522,0.00002571,0.00002480,0.00002482,399728.00000000,301,0.0,0.0
2018-04-02 08:00:00,0.00002480,0.00002534,0.00002480,0.00002521,113212.00000000,138,0.0,0.4
2018-04-02 09:00:00,0.00002531,0.00002575,0.00002481,0.00002529,139375.00000000,279,0.0,0.0
2018-04-02 10:00:00,0.00002530,0.00002557,0.00002529,0.00002530,157178.00000000,170,0.0,0.0
2018-04-02 11:00:00,0.00002529,0.00002554,0.00002502,0.00002543,145225.00000000,209,32.0,0.09577922077922077
2018-04-02 12:00:00,0.00002551,0.00002584,0.00002544,0.00002570,176252.00000000,203,0.0,0.0
2018-04-02 13:00:00,0.00002570,0.00002584,0.00002548,0.00002548,219269.00000000,192,0.0,0.0
2018-04-02 14:00:00,0.00002548,0.00002600,0.00002493,0.00002552,717829.00000000,589,26.0,0.0
2018-04-02 15:00:00,0.00002553,0.00002561,0.00002525,0.00002547,149880.00000000,168,0.0,0.0
2018-04-02 16:00:00,0.00002547,0.00002589,0.00002546,0.00002563,154297.00000000,182,0.0,0.0
2018-04-02 17:00:00,0.00002551,0.00002571,0.00002523,0.00002534,114888.00000000,97,52.0,0.0
2018-04-02 18:00:00,0.00002534,0.00002558,0.00002512,0.00002555,72726.00000000,150,53.0,0.0
