date,open,high,low,close,volume,number of trades,ICON ICX,sentiment
2018-04-01 00:00:00,0.00031460,0.00031470,0.00031020,0.00031130,257789.10000000,1039,67.0,0.25
2018-04-01 01:00:00,0.00031070,0.00031320,0.00030980,0.00031190,226568.46000000,978,42.0,0.2125
2018-04-01 02:00:00,0.00031170,0.00031470,0.00030780,0.00030910,303188.45000000,1516,17.0,0.0
2018-04-01 03:00:00,0.00030910,0.00031070,0.00030760,0.00030970,235026.54000000,902,26.0,0.0
2018-04-01 04:00:00,0.00030970,0.00031080,0.00030730,0.00030810,219013.54000000,959,45.0,0.0
2018-04-01 05:00:00,0.00030820,0.00031280,0.00030690,0.00030790,217459.42000000,998,53.0,0.06818181818181818
2018-04-01 06:00:00,0.00030790,0.00030810,0.00030200,0.00030440,389696.08000000,2026,81.0,0.0
2018-04-01 07:00:00,0.00030430,0.00030450,0.00029680,0.00030160,533738.36000000,2689,23.0,0.0
2018-04-01 08:00:00,0.00030160,0.00030640,0.00029780,0.00030530,342328.68000000,1423,57.0,0.0
2018-04-01 09:00:00,0.00030540,0.00030660,0.00030220,0.00030610,322982.78000000,1246,48.0,0.0
2018-04-01 10:00:00,0.00030600,0.00030690,0.00030290,0.00030530,241145.58000000,959,54.0,0.0
2018-04-01 11:00:00,0.00030510,0.00030560,0.00030030,0.00030120,249138.65000000,913,57.0,0.75
2018-04-01 12:00:00,0.00030090,0.00030140,0.00029610,0.00030060,390852.71000000,1682,41.0,-0.032638888888888884
2018-04-01 13:00:00,0.00030070,0.00030350,0.00029680,0.00029780,484321.18000000,1552,59.0,0.0
2018-04-01 14:00:00,0.00029760,0.00029790,0.00029010,0.00029730,579782.72000000,2683,36.0,0.08522727272727272
2018-04-01 15:00:00,0.00029720,0.00029880,0.00028790,0.00028880,616443.69000000,2725,55.0,0.0
2018-04-01 16:00:00,0.00028910,0.00031640,0.00028850,0.00030310,1116662.64000000,7268,45.0,0.0
2018-04-01 17:00:00,0.00030310,0.00030620,0.00029900,0.00030610,463054.88000000,2230,31.0,0.0
2018-04-01 18:00:00,0.00030540,0.00030640,0.00029790,0.00030370,358603.48000000,1789,37.0,0.0
2018-04-01 19:00:00,0.00030320,0.00030600,0.00030030,0.00030440,317979.75000000,1438,34.0,0.13052286255411258
2018-04-01 20:00:00,0.00030430,0.00031240,0.00030150,0.00031050,344545.11000000,1575,12.0,0.2
2018-04-01 21:00:00,0.00031040,0.00031230,0.00030450,0.00030790,329735.75000000,1617,33.0,0.0
2018-04-01 22:00:00,0.00030780,0.00030780,0.00030330,0.00030580,243675.72000000,1052,67.0,0.0
2018-04-01 23:00:00,0.00030570,0.00030960,0.00030470,0.00030590,272250.54000000,988,16.0,0.15357142857142855
2018-04-02 00:00:00,0.00030590,0.00030730,0.00029660,0.00029990,364555.03000000,1678,64.0,0.0
2018-04-02 01:00:00,0.00029900,0.00030140,0.00029630,0.00029790,324763.25000000,1395,31.0,0.0
2018-04-02 02:00:00,0.00029800,0.00030500,0.00029730,0.00030500,346119.92000000,1337,48.0,0.0
2018-04-02 03:00:00,0.00030420,0.00030530,0.00029880,0.00030150,255500.32000000,1138,33.0,0.0
2018-04-02 04:00:00,0.00030150,0.00030230,0.00029400,0.00029590,327085.04000000,1582,70.0,0.0
2018-04-02 05:00:00,0.00029570,0.00029780,0.00029410,0.00029750,251435.78000000,1009,17.0,0.0
2018-04-02 06:00:00,0.00029750,0.00029920,0.00029200,0.00029620,357206.10000000,1629,60.0,0.0
2018-04-02 07:00:00,0.00029600,0.00029720,0.00028440,0.00029130,659529.97000000,3445,34.0,0.0
2018-04-02 08:00:00,0.00029100,0.00029820,0.00028930,0.00029590,388629.46000000,1946,45.0,0.0
2018-04-02 09:00:00,0.00029590,0.00029950,0.00029510,0.00029750,274887.21000000,1244,68.0,0.0
2018-04-02 10:00:00,0.00029760,0.00030880,0.00029670,0.00030640,427489.21000000,2372,24.0,0.0
2018-04-02 11:00:00,0.00030630,0.00031300,0.00030150,0.00030760,555546.06000000,2447,43.0,0.0
2018-04-02 12:00:00,0.00030760,0.00030910,0.00030110,0.00030290,359835.98000000,1624,45.0,0.0
2018-04-02 13:00:00,0.00030290,0.00030680,0.00030170,0.00030460,283099.43000000,1249,36.0,0.0
2018-04-02 14:00:00,0.00030450,0.00030610,0.00030010,0.00030200,445582.45000000,1760,26.0,0.0
2018-04-02 15:00:00,0.00030200,0.00031400,0.00030000,0.00030610,880588.45000000,3765,30.0,0.0
2018-04-02 16:00:00,0.00030590,0.00030780,0.00030280,0.00030660,284992.33000000,1410,34.0,0.0
2018-04-02 17:00:00,0.00030650,0.00030700,0.00029900,0.00029910,338308.41000000,1451,74.0,0.0
2018-04-02 18:00:00,0.00029910,0.00030210,0.00029850,0.00030030,282242.43000000,1276,27.0,0.0
2018-04-02 19:00:00,0.00030030,0.00030220,0.00029930,0.00030060,250331.81000000,1106,28.0,0.25
2018-04-02 20:00:00,0.00030050,0.00030310,0.00029960,0.00030160,385073.96000000,1266,58.0,0.0
2018-04-02 21:00:00,0.00030180,0.00030290,0.00029810,0.00030050,302517.60000000,1168,66.0,0.0
2018-04-02 22:00:00,0.00030050,0.00030590,0.00029850,0.00030340,380451.05000000,1360,48.0,0.0
2018-04-02 23:00:00,0.00030340,0.00030580,0.00030200,0.00030320,284361.55000000,1154,52.0,0.0
2018-04-03 00:00:00,0.00030340,0.00030650,0.00030130,0.00030180,359223.54000000,1414,74.0,0.0
2018-04-03 01:00:00,0.00030180,0.00030410,0.00030010,0.00030080,321506.04000000,1103,50.0,0.0
