date,open,high,low,close,volume,number of trades,ChainLink LINK,sentiment
2018-04-01 00:00:00,0.00004037,0.00004050,0.00004004,0.00004029,936319.00000000,509,24.0,0.0
2018-04-01 01:00:00,0.00004030,0.00004055,0.00004025,0.00004044,1200123.00000000,428,49.0,0.0
2018-04-01 02:00:00,0.00004044,0.00004044,0.00003952,0.00003966,920402.00000000,666,33.0,0.0
2018-04-01 03:00:00,0.00003968,0.00003992,0.00003955,0.00003987,758133.00000000,450,17.0,0.0
2018-04-01 04:00:00,0.00003987,0.00004011,0.00003983,0.00003998,658036.00000000,293,26.0,0.0
2018-04-01 05:00:00,0.00003998,0.00004027,0.00003985,0.00004003,897880.00000000,372,26.0,0.0
2018-04-01 06:00:00,0.00004003,0.00004013,0.00003955,0.00003964,752044.00000000,333,24.0,0.0
2018-04-01 07:00:00,0.00003968,0.00003973,0.00003881,0.00003893,678209.00000000,637,15.0,0.0
2018-04-01 08:00:00,0.00003892,0.00003917,0.00003867,0.00003869,866715.00000000,405,21.0,0.0
2018-04-01 09:00:00,0.00003867,0.00003888,0.00003850,0.00003860,943699.00000000,466,7.0,0.0
2018-04-01 10:00:00,0.00003863,0.00003882,0.00003850,0.00003866,782930.00000000,343,7.0,0.0
2018-04-01 11:00:00,0.00003867,0.00003888,0.00003865,0.00003879,1121267.00000000,421,6.0,0.0
2018-04-01 12:00:00,0.00003879,0.00003893,0.00003867,0.00003884,934036.00000000,392,34.0,0.0
2018-04-01 13:00:00,0.00003881,0.00003890,0.00003867,0.00003877,1205686.00000000,398,42.0,0.0
2018-04-01 14:00:00,0.00003870,0.00003881,0.00003822,0.00003875,1060935.00000000,516,35.0,0.0
2018-04-01 15:00:00,0.00003875,0.00003877,0.00003751,0.00003769,933941.00000000,668,24.0,-0.024999999999999994
2018-04-01 16:00:00,0.00003779,0.00003840,0.00003779,0.00003838,1044020.00000000,540,29.0,0.0
2018-04-01 17:00:00,0.00003828,0.00003840,0.00003796,0.00003838,781517.00000000,411,25.0,-1.0
2018-04-01 18:00:00,0.00003833,0.00003890,0.00003810,0.00003832,731327.00000000,441,36.0,0.0
2018-04-01 19:00:00,0.00003823,0.00003910,0.00003812,0.00003887,599034.00000000,377,38.0,0.0
2018-04-01 20:00:00,0.00003885,0.00003910,0.00003869,0.00003877,713062.00000000,354,12.0,0.0
2018-04-01 21:00:00,0.00003877,0.00003882,0.00003840,0.00003859,670572.00000000,292,45.0,0.0
2018-04-01 22:00:00,0.00003855,0.00003868,0.00003845,0.00003854,805278.00000000,303,58.0,0.0
2018-04-01 23:00:00,0.00003858,0.00003875,0.00003823,0.00003846,811178.00000000,325,78.0,0.0
2018-04-02 00:00:00,0.00003846,0.00003848,0.00003805,0.00003819,706431.00000000,325,54.0,0.0
2018-04-02 01:00:00,0.00003820,0.00003842,0.00003809,0.00003823,932584.00000000,361,45.0,0.0
2018-04-02 02:00:00,0.00003823,0.00003877,0.00003820,0.00003863,915590.00000000,362,23.0,0.0
2018-04-02 03:00:00,0.00003870,0.00003909,0.00003842,0.00003865,781167.00000000,435,8.0,0.0
2018-04-02 04:00:00,0.00003874,0.00003902,0.00003851,0.00003857,487185.00000000,229,8.0,0.0
2018-04-02 05:00:00,0.00003871,0.00003875,0.00003840,0.00003850,514978.00000000,247,8.0,0.0
2018-04-02 06:00:00,0.00003854,0.00003874,0.00003815,0.00003849,745515.00000000,411,29.0,0.0
2018-04-02 07:00:00,0.00003842,0.00003860,0.00003819,0.00003844,951112.00000000,432,13.0,0.0
2018-04-02 08:00:00,0.00003844,0.00003860,0.00003844,0.00003847,1101847.00000000,444,13.0,0.0
