date,open,high,low,close,volume,number of trades,Litecoin LTC
2018-04-01 00:00:00,116.05000000,118.38000000,116.05000000,116.72000000,2632.71272000,996,100
2018-04-01 01:00:00,116.68000000,118.05000000,116.54000000,117.34000000,1981.47635000,676,54
2018-04-01 02:00:00,117.37000000,117.66000000,115.50000000,116.32000000,2383.69477000,933,62
2018-04-01 03:00:00,116.13000000,116.67000000,115.74000000,116.34000000,1139.95224000,625,56
2018-04-01 04:00:00,116.13000000,117.14000000,116.09000000,116.38000000,2021.92421000,619,25
2018-04-01 05:00:00,116.53000000,116.75000000,113.68000000,115.40000000,2734.26360000,1060,24
2018-04-01 06:00:00,115.57000000,115.57000000,113.27000000,114.04000000,3086.68765000,1172,45
2018-04-01 07:00:00,113.97000000,114.21000000,111.69000000,113.10000000,6127.49021000,2006,48
2018-04-01 08:00:00,113.00000000,113.50000000,112.21000000,112.43000000,2979.91378000,1064,45
2018-04-01 09:00:00,112.44000000,114.20000000,110.71000000,113.51000000,5317.88386000,1741,25
2018-04-01 10:00:00,113.51000000,113.77000000,111.99000000,112.55000000,2580.23168000,825,31
2018-04-01 11:00:00,112.78000000,112.88000000,111.60000000,112.05000000,3574.33181000,995,35
2018-04-01 12:00:00,112.02000000,113.20000000,111.72000000,112.41000000,2505.40523000,855,42
2018-04-01 13:00:00,112.37000000,112.77000000,110.29000000,110.70000000,6210.80567000,1546,29
2018-04-01 14:00:00,110.70000000,111.48000000,109.03000000,109.94000000,8908.14086000,2957,37
2018-04-01 15:00:00,109.94000000,111.30000000,109.51000000,109.94000000,4067.63284000,1495,41
2018-04-01 16:00:00,109.94000000,117.00000000,109.70000000,115.00000000,21034.39664000,5994,46
2018-04-01 17:00:00,114.94000000,116.00000000,114.40000000,115.65000000,5837.45482000,1960,52
2018-04-01 18:00:00,115.65000000,115.99000000,113.45000000,114.51000000,6028.45901000,1818,49
2018-04-01 19:00:00,114.26000000,116.39000000,113.78000000,115.27000000,5694.80256000,1821,41
2018-04-01 20:00:00,115.13000000,116.75000000,114.02000000,115.00000000,7338.90975000,1601,55
2018-04-01 21:00:00,115.00000000,115.86000000,114.11000000,115.70000000,4003.48596000,1290,43
2018-04-01 22:00:00,115.71000000,115.90000000,113.95000000,114.28000000,2675.99356000,825,82
2018-04-01 23:00:00,114.30000000,115.12000000,113.71000000,114.74000000,2343.83430000,874,59
2018-04-02 00:00:00,114.97000000,117.40000000,113.54000000,116.50000000,6940.94710000,1734,66
2018-04-02 01:00:00,116.50000000,117.30000000,115.26000000,115.90000000,3975.06459000,1137,50
2018-04-02 02:00:00,115.89000000,118.72000000,115.85000000,118.41000000,3382.66260000,1033,51
2018-04-02 03:00:00,118.41000000,119.55000000,118.04000000,118.98000000,6357.50198000,1684,91
2018-04-02 04:00:00,118.83000000,119.38000000,115.90000000,117.33000000,4881.18273000,1623,48
2018-04-02 05:00:00,117.33000000,118.05000000,116.06000000,117.52000000,2446.89818000,846,54
2018-04-02 06:00:00,117.77000000,118.49000000,117.05000000,117.52000000,2401.40801000,698,41
2018-04-02 07:00:00,117.56000000,120.26000000,117.31000000,119.50000000,5116.39275000,1531,44
2018-04-02 08:00:00,119.50000000,120.40000000,119.01000000,120.15000000,2679.75388000,895,53
2018-04-02 09:00:00,120.19000000,120.50000000,119.51000000,119.88000000,1954.97138000,691,62
2018-04-02 10:00:00,119.88000000,120.54000000,118.61000000,120.28000000,2736.15144000,1024,65
2018-04-02 11:00:00,120.28000000,121.71000000,119.31000000,119.84000000,5089.44844000,1662,60
2018-04-02 12:00:00,119.82000000,120.50000000,118.49000000,119.44000000,4345.29958000,1336,50
2018-04-02 13:00:00,119.24000000,120.03000000,118.68000000,119.47000000,1755.23173000,642,33
2018-04-02 14:00:00,119.31000000,119.50000000,117.02000000,117.88000000,4617.71200000,1458,28
2018-04-02 15:00:00,117.89000000,120.50000000,117.61000000,119.67000000,4517.20017000,1141,59
2018-04-02 16:00:00,119.50000000,120.14000000,119.06000000,119.86000000,3250.47412000,1357,51
2018-04-02 17:00:00,119.87000000,119.87000000,118.42000000,118.67000000,3099.27660000,1034,40
2018-04-02 18:00:00,118.66000000,119.00000000,118.10000000,118.22000000,2393.46729000,825,49
2018-04-02 19:00:00,118.37000000,118.76000000,117.58000000,118.38000000,2830.43344000,840,52
2018-04-02 20:00:00,118.22000000,118.25000000,116.41000000,117.36000000,5257.52158000,1395,38
2018-04-02 21:00:00,117.29000000,118.20000000,116.65000000,117.33000000,3569.99186000,1088,61
2018-04-02 22:00:00,117.33000000,118.99000000,117.03000000,118.58000000,3856.64096000,917,88
2018-04-02 23:00:00,118.60000000,119.19000000,117.87000000,119.05000000,3712.81182000,841,47
2018-04-03 00:00:00,119.03000000,119.91000000,118.62000000,118.90000000,3245.84202000,812,40
2018-04-03 01:00:00,118.83000000,119.13000000,118.00000000,118.15000000,1915.94210000,610,39
2018-04-03 02:00:00,118.15000000,120.60000000,118.14000000,120.53000000,3953.72783000,1701,81
2018-04-03 03:00:00,120.53000000,120.70000000,119.68000000,120.54000000,2960.01043000,974,35
2018-04-03 04:00:00,120.52000000,123.50000000,120.38000000,122.79000000,11407.57372000,2875,29
2018-04-03 05:00:00,122.89000000,123.20000000,121.34000000,122.54000000,7660.61933000,1590,48
2018-04-03 06:00:00,122.74000000,123.07000000,121.78000000,122.75000000,2233.99069000,1005,37
2018-04-03 07:00:00,122.75000000,124.24000000,122.14000000,123.75000000,3836.41872000,1169,28
2018-04-03 08:00:00,123.75000000,124.49000000,123.01000000,123.49000000,3091.45689000,1139,38
2018-04-03 09:00:00,123.42000000,124.37000000,122.50000000,124.06000000,3207.85277000,1290,52
2018-04-03 10:00:00,124.06000000,125.20000000,123.00000000,123.48000000,4767.05392000,2122,40
2018-04-03 11:00:00,123.67000000,124.08000000,122.59000000,122.89000000,2718.82225000,1136,54
2018-04-03 12:00:00,122.89000000,124.80000000,122.53000000,124.19000000,2572.27948000,1082,21
