date,open,high,low,close,volume,number of trades,Decentraland MANA,sentiment
2018-04-01 00:00:00,0.00001017,0.00001030,0.00001010,0.00001023,143837.00000000,136,0.0,0.0
2018-04-01 01:00:00,0.00001023,0.00001033,0.00001022,0.00001027,192514.00000000,130,0.0,0.12826704545454543
2018-04-01 02:00:00,0.00001027,0.00001034,0.00001025,0.00001031,172610.00000000,100,100.0,0.0
2018-04-01 03:00:00,0.00001031,0.00001037,0.00001026,0.00001026,75050.00000000,80,0.0,0.3035714285714286
2018-04-01 04:00:00,0.00001028,0.00001032,0.00001010,0.00001019,148232.00000000,106,0.0,0.0
2018-04-01 05:00:00,0.00001018,0.00001019,0.00001009,0.00001015,114476.00000000,80,0.0,0.21259469696969696
2018-04-01 06:00:00,0.00001018,0.00001020,0.00000995,0.00001010,297321.00000000,132,0.0,0.056534090909090895
2018-04-01 07:00:00,0.00001009,0.00001014,0.00001002,0.00001005,202363.00000000,77,0.0,0.0
2018-04-01 08:00:00,0.00001001,0.00001011,0.00000995,0.00001003,218374.00000000,104,0.0,0.0
2018-04-01 09:00:00,0.00001001,0.00001003,0.00000995,0.00000997,103415.00000000,78,27.0,0.0
2018-04-01 10:00:00,0.00000997,0.00001001,0.00000995,0.00000998,28189.00000000,40,0.0,0.3604166666666666
2018-04-01 11:00:00,0.00000999,0.00001002,0.00000991,0.00000992,96201.00000000,49,25.0,-0.1630952380952381
2018-04-01 12:00:00,0.00000994,0.00001001,0.00000991,0.00000998,54537.00000000,42,0.0,0.0
2018-04-01 13:00:00,0.00000998,0.00001000,0.00000992,0.00000995,108590.00000000,70,42.0,0.0
2018-04-01 14:00:00,0.00000995,0.00001009,0.00000985,0.00000993,277821.00000000,169,40.0,0.0
2018-04-01 15:00:00,0.00000990,0.00000995,0.00000984,0.00000995,149317.00000000,107,0.0,-0.04464285714285714
2018-04-01 16:00:00,0.00000990,0.00000999,0.00000986,0.00000994,209442.00000000,105,0.0,0.0
2018-04-01 17:00:00,0.00000994,0.00000997,0.00000985,0.00000991,103365.00000000,72,0.0,0.07500000000000001
2018-04-01 18:00:00,0.00000990,0.00000991,0.00000979,0.00000986,68663.00000000,77,21.0,0.0
2018-04-01 19:00:00,0.00000985,0.00000991,0.00000979,0.00000984,106433.00000000,50,0.0,0.0
2018-04-01 20:00:00,0.00000984,0.00000985,0.00000974,0.00000982,73007.00000000,64,0.0,-0.03181818181818183
2018-04-01 21:00:00,0.00000982,0.00000985,0.00000980,0.00000985,24487.00000000,19,0.0,0.0
2018-04-01 22:00:00,0.00000984,0.00000984,0.00000970,0.00000983,118857.00000000,78,29.0,0.45
2018-04-01 23:00:00,0.00000982,0.00000988,0.00000981,0.00000988,38447.00000000,32,32.0,0.0
2018-04-02 00:00:00,0.00000984,0.00000984,0.00000968,0.00000976,397273.00000000,195,32.0,0.36953125
2018-04-02 01:00:00,0.00000976,0.00000978,0.00000975,0.00000975,37475.00000000,26,31.0,0.1065340909090909
2018-04-02 02:00:00,0.00000977,0.00000980,0.00000960,0.00000970,136939.00000000,98,0.0,0.0
2018-04-02 03:00:00,0.00000968,0.00000972,0.00000960,0.00000965,111078.00000000,76,0.0,0.23522727272727273
2018-04-02 04:00:00,0.00000966,0.00000966,0.00000954,0.00000959,322807.00000000,164,34.0,0.0
2018-04-02 05:00:00,0.00000957,0.00000960,0.00000950,0.00000958,187372.00000000,100,33.0,0.0
2018-04-02 06:00:00,0.00000958,0.00000964,0.00000958,0.00000964,65059.00000000,70,0.0,1.0
2018-04-02 07:00:00,0.00000962,0.00000978,0.00000962,0.00000969,268292.00000000,149,27.0,0.0
2018-04-02 08:00:00,0.00000969,0.00000971,0.00000967,0.00000969,90390.00000000,48,0.0,0.0
2018-04-02 09:00:00,0.00000969,0.00000975,0.00000968,0.00000975,60472.00000000,58,0.0,0.2130681818181818
2018-04-02 10:00:00,0.00000976,0.00000976,0.00000966,0.00000968,188305.00000000,77,23.0,0.0
2018-04-02 11:00:00,0.00000968,0.00000979,0.00000966,0.00000973,325102.00000000,122,0.0,0.0
2018-04-02 12:00:00,0.00000973,0.00000980,0.00000970,0.00000978,148579.00000000,85,0.0,0.0
2018-04-02 13:00:00,0.00000974,0.00000978,0.00000967,0.00000976,206243.00000000,115,0.0,0.0
2018-04-02 14:00:00,0.00000976,0.00000979,0.00000967,0.00000974,138605.00000000,76,17.0,0.0
2018-04-02 15:00:00,0.00000974,0.00000977,0.00000970,0.00000975,96412.00000000,80,34.0,0.0
2018-04-02 16:00:00,0.00000975,0.00000975,0.00000968,0.00000969,173470.00000000,134,0.0,0.0
2018-04-02 17:00:00,0.00000970,0.00000980,0.00000968,0.00000969,194377.00000000,105,0.0,-0.041666666666666664
2018-04-02 18:00:00,0.00000969,0.00000978,0.00000969,0.00000974,64619.00000000,57,35.0,0.0
2018-04-02 19:00:00,0.00000976,0.00000979,0.00000969,0.00000976,110233.00000000,73,0.0,0.0
2018-04-02 20:00:00,0.00000976,0.00000978,0.00000974,0.00000975,202855.00000000,63,0.0,0.0
2018-04-02 21:00:00,0.00000975,0.00000982,0.00000974,0.00000979,83286.00000000,59,24.0,0.0
2018-04-02 22:00:00,0.00000977,0.00000993,0.00000974,0.00000984,210859.00000000,158,0.0,0.0
2018-04-02 23:00:00,0.00000984,0.00000994,0.00000974,0.00000980,138583.00000000,65,0.0,0.0
2018-04-03 00:00:00,0.00000985,0.00000993,0.00000981,0.00000987,118264.00000000,47,0.0,0.0
2018-04-03 01:00:00,0.00000993,0.00001001,0.00000988,0.00000996,228973.00000000,171,0.0,0.0
2018-04-03 02:00:00,0.00000999,0.00001001,0.00000981,0.00000998,239117.00000000,120,0.0,0.0
2018-04-03 03:00:00,0.00000990,0.00001003,0.00000984,0.00001002,355991.00000000,164,0.0,0.0
2018-04-03 04:00:00,0.00001004,0.00001004,0.00000984,0.00000995,184790.00000000,131,0.0,0.0
2018-04-03 05:00:00,0.00000995,0.00001001,0.00000982,0.00000984,122383.00000000,70,0.0,0.0
2018-04-03 06:00:00,0.00000982,0.00001003,0.00000981,0.00001000,368265.00000000,215,0.0,0.03690476190476191
2018-04-03 07:00:00,0.00000998,0.00001010,0.00000995,0.00001000,236369.00000000,153,0.0,0.0
2018-04-03 08:00:00,0.00001003,0.00001015,0.00000996,0.00001011,190408.00000000,135,0.0,0.0
2018-04-03 09:00:00,0.00001010,0.00001019,0.00000998,0.00001012,272472.00000000,244,0.0,0.0
2018-04-03 10:00:00,0.00001013,0.00001017,0.00001000,0.00001006,136589.00000000,113,43.0,0.0
2018-04-03 11:00:00,0.00001004,0.00001026,0.00001000,0.00001026,209043.00000000,152,0.0,0.0
2018-04-03 12:00:00,0.00001008,0.00001020,0.00001006,0.00001014,127814.00000000,118,0.0,0.11688311688311688
2018-04-03 13:00:00,0.00001014,0.00001020,0.00001005,0.00001009,136241.00000000,128,50.0,0.0
2018-04-03 14:00:00,0.00001008,0.00001010,0.00000997,0.00000997,109685.00000000,99,0.0,0.0
2018-04-03 15:00:00,0.00001001,0.00001014,0.00000994,0.00000994,133429.00000000,140,32.0,0.0
2018-04-03 16:00:00,0.00000999,0.00001002,0.00000987,0.00001002,221153.00000000,91,0.0,0.21428571428571427
2018-04-03 17:00:00,0.00001001,0.00001002,0.00000996,0.00000996,83452.00000000,54,0.0,0.0
2018-04-03 18:00:00,0.00000997,0.00001014,0.00000995,0.00001002,460602.00000000,186,0.0,0.0
2018-04-03 19:00:00,0.00000997,0.00001014,0.00000997,0.00001004,164860.00000000,97,18.0,0.0
2018-04-03 20:00:00,0.00001004,0.00001015,0.00001001,0.00001011,132532.00000000,98,0.0,0.0
2018-04-03 21:00:00,0.00001011,0.00001019,0.00001005,0.00001012,122900.00000000,85,46.0,0.0
2018-04-03 22:00:00,0.00001012,0.00001019,0.00000998,0.00001005,143620.00000000,118,53.0,0.0
2018-04-03 23:00:00,0.00001008,0.00001018,0.00001008,0.00001009,47955.00000000,59,29.0,0.0
2018-04-04 00:00:00,0.00001010,0.00001028,0.00001009,0.00001023,198351.00000000,272,0.0,0.0
2018-04-04 01:00:00,0.00001027,0.00001027,0.00001016,0.00001016,172944.00000000,141,0.0,0.0
2018-04-04 02:00:00,0.00001016,0.00001027,0.00001005,0.00001010,269139.00000000,143,29.0,0.0
2018-04-04 03:00:00,0.00001010,0.00001011,0.00000999,0.00001002,94111.00000000,107,0.0,0.0
2018-04-04 04:00:00,0.00001000,0.00001006,0.00000998,0.00000999,74327.00000000,44,0.0,0.0
2018-04-04 05:00:00,0.00000998,0.00001002,0.00000995,0.00000999,84683.00000000,65,58.0,0.07499999999999998
2018-04-04 06:00:00,0.00000995,0.00001004,0.00000995,0.00000998,99817.00000000,53,0.0,0.0
2018-04-04 07:00:00,0.00000995,0.00001000,0.00000987,0.00000994,240321.00000000,138,48.0,0.0
2018-04-04 08:00:00,0.00000994,0.00000996,0.00000987,0.00000993,71095.00000000,48,0.0,0.0
2018-04-04 09:00:00,0.00000991,0.00000998,0.00000989,0.00000989,254403.00000000,129,22.0,0.0
2018-04-04 10:00:00,0.00000992,0.00001028,0.00000987,0.00000994,503545.00000000,378,0.0,0.0
2018-04-04 11:00:00,0.00000997,0.00001021,0.00000996,0.00001008,160640.00000000,133,0.0,0.0
2018-04-04 12:00:00,0.00001008,0.00001011,0.00001000,0.00001003,69728.00000000,78,0.0,0.0
2018-04-04 13:00:00,0.00001011,0.00001018,0.00000994,0.00000999,129634.00000000,118,17.0,0.0
2018-04-04 14:00:00,0.00000999,0.00001006,0.00000992,0.00000996,126791.00000000,131,0.0,0.0
2018-04-04 15:00:00,0.00000996,0.00001001,0.00000991,0.00001001,109068.00000000,89,16.0,0.0
2018-04-04 16:00:00,0.00001001,0.00001001,0.00000988,0.00000996,182682.00000000,155,17.0,0.0
2018-04-04 17:00:00,0.00000996,0.00001005,0.00000994,0.00000995,126586.00000000,82,0.0,0.0
2018-04-04 18:00:00,0.00000995,0.00001005,0.00000993,0.00000998,141705.00000000,101,0.0,0.0
2018-04-04 19:00:00,0.00000998,0.00001000,0.00000988,0.00000992,296418.00000000,121,0.0,0.0
2018-04-04 20:00:00,0.00000995,0.00000997,0.00000991,0.00000994,58597.00000000,41,20.0,-0.09999999999999998
2018-04-04 21:00:00,0.00000994,0.00000995,0.00000990,0.00000994,76172.00000000,55,23.0,0.0
2018-04-04 22:00:00,0.00000993,0.00001002,0.00000988,0.00000997,85354.00000000,58,27.0,0.0
2018-04-04 23:00:00,0.00000996,0.00001001,0.00000993,0.00000995,50321.00000000,40,0.0,0.0
2018-04-05 00:00:00,0.00000999,0.00001001,0.00000987,0.00000994,100956.00000000,46,87.0,0.0
2018-04-05 01:00:00,0.00000994,0.00001000,0.00000988,0.00000999,25216.00000000,36,28.0,0.0
2018-04-05 02:00:00,0.00000999,0.00001009,0.00000994,0.00001000,127421.00000000,83,0.0,0.0
2018-04-05 03:00:00,0.00001000,0.00001040,0.00000997,0.00001030,705908.00000000,471,0.0,0.0
2018-04-05 04:00:00,0.00001030,0.00001060,0.00000999,0.00001037,1717105.00000000,1300,0.0,0.0
2018-04-05 05:00:00,0.00001035,0.00001037,0.00000988,0.00000988,584969.00000000,415,88.0,0.0
2018-04-05 06:00:00,0.00000994,0.00001003,0.00000988,0.00001003,166237.00000000,117,26.0,0.4
2018-04-05 07:00:00,0.00001000,0.00001002,0.00000991,0.00000992,241793.00000000,83,24.0,0.0
2018-04-05 08:00:00,0.00000992,0.00000996,0.00000989,0.00000992,129349.00000000,75,24.0,0.0
2018-04-05 09:00:00,0.00000992,0.00000997,0.00000990,0.00000992,124535.00000000,59,23.0,0.0
2018-04-05 10:00:00,0.00000997,0.00000997,0.00000992,0.00000997,48076.00000000,28,22.0,0.16266233766233765
2018-04-05 11:00:00,0.00000996,0.00001000,0.00000988,0.00000999,127756.00000000,96,0.0,0.0
2018-04-05 12:00:00,0.00000994,0.00001004,0.00000993,0.00001000,180366.00000000,85,18.0,0.0
2018-04-05 13:00:00,0.00000999,0.00001020,0.00000993,0.00001020,518191.00000000,350,17.0,0.0
2018-04-05 14:00:00,0.00001014,0.00001060,0.00001014,0.00001046,2159493.00000000,1275,16.0,0.16
2018-04-05 15:00:00,0.00001046,0.00001062,0.00001045,0.00001049,668174.00000000,355,17.0,0.0
2018-04-05 16:00:00,0.00001049,0.00001065,0.00001046,0.00001057,618261.00000000,302,0.0,0.0
2018-04-05 17:00:00,0.00001058,0.00001073,0.00001051,0.00001073,633610.00000000,310,52.0,0.29777777777777775
2018-04-05 18:00:00,0.00001072,0.00001085,0.00001057,0.00001066,713862.00000000,480,0.0,0.0
2018-04-05 19:00:00,0.00001064,0.00001066,0.00001052,0.00001058,262353.00000000,192,19.0,0.17222222222222222
2018-04-05 20:00:00,0.00001056,0.00001060,0.00001040,0.00001044,398201.00000000,295,0.0,0.0
2018-04-05 21:00:00,0.00001044,0.00001055,0.00001035,0.00001048,246532.00000000,174,0.0,0.0
2018-04-05 22:00:00,0.00001049,0.00001064,0.00001046,0.00001054,161096.00000000,112,0.0,0.0
2018-04-05 23:00:00,0.00001054,0.00001069,0.00001054,0.00001063,333225.00000000,213,30.0,0.0
2018-04-06 00:00:00,0.00001058,0.00001092,0.00001058,0.00001080,729466.00000000,344,0.0,0.0
2018-04-06 01:00:00,0.00001083,0.00001086,0.00001077,0.00001077,274259.00000000,95,0.0,0.0
