date,open,high,low,close,volume,number of trades,Monaco MCO,sentiment
2018-04-01 00:00:00,0.00067100,0.00067200,0.00066600,0.00067100,5375.55000000,485,78.0,0.0
2018-04-01 01:00:00,0.00067100,0.00067300,0.00067000,0.00067200,9979.21000000,293,0.0,0.0
2018-04-01 02:00:00,0.00067200,0.00068100,0.00067000,0.00067900,38350.81000000,326,0.0,0.0
2018-04-01 03:00:00,0.00068000,0.00068100,0.00067500,0.00067900,65512.58000000,467,41.0,0.0
2018-04-01 04:00:00,0.00067900,0.00068300,0.00067800,0.00068200,28766.93000000,344,42.0,0.0
2018-04-01 05:00:00,0.00068200,0.00068300,0.00067500,0.00067800,42919.11000000,335,41.0,0.0
2018-04-01 06:00:00,0.00068000,0.00068000,0.00067000,0.00067300,10658.93000000,363,0.0,0.0
2018-04-01 07:00:00,0.00067300,0.00067500,0.00066200,0.00066500,35673.43000000,344,0.0,0.0
2018-04-01 08:00:00,0.00066500,0.00067000,0.00066400,0.00066600,34663.74000000,437,33.0,0.0
2018-04-01 09:00:00,0.00066900,0.00066900,0.00066200,0.00066400,48704.80000000,483,63.0,0.0
2018-04-01 10:00:00,0.00066300,0.00067200,0.00066100,0.00067000,8140.96000000,476,31.0,0.0
2018-04-01 11:00:00,0.00066900,0.00067000,0.00066600,0.00066600,1236.14000000,47,0.0,0.0
2018-04-01 12:00:00,0.00066500,0.00066800,0.00066000,0.00066400,18721.32000000,425,0.0,0.0
2018-04-01 13:00:00,0.00066300,0.00066700,0.00065600,0.00066100,33119.74000000,575,0.0,0.0
2018-04-01 14:00:00,0.00066000,0.00066300,0.00065500,0.00065600,23290.94000000,371,24.0,0.0
2018-04-01 15:00:00,0.00065600,0.00065800,0.00063900,0.00064100,45259.56000000,1006,0.0,-0.1
2018-04-01 16:00:00,0.00064200,0.00064700,0.00063800,0.00064100,12571.95000000,377,23.0,0.0
2018-04-01 17:00:00,0.00064000,0.00064400,0.00064000,0.00064300,17149.45000000,339,0.0,0.0
