username,date,retweets,favorites,text
internetgene,2018-05-30 06:21,5,33,"No doubt that the Crypto Capital of the world will be full of Monaco fans! # mco # blockchain # seoulhttps://twitter.com/monaco_card/status/1001705729181536258 …"
huronreport,2018-05-23 18:11,0,0,"Monaco $ MCO plunges -3.90% on May 22-23 - https://huronreport.com/monaco-mco-plunges-3-90-on-may-22-23/ …"
OtcritPlatform,2018-05-22 22:05,20,22,"Examples of reports are available on the Otcrit website(No login required). In this report, the team behind Monaco has been researched and analyzed. Is there merit to the controversy? # otcritICO # monaco # mco https://www.otcrit.org/reports/4"
GuillermoBullon,2018-05-16 11:29,15,24,"Negociaciones avanzadas entre el Mónaco y el Cruzeiro por Giorgian de Arrascaeta, han ofrecido 25M € por el MCO uruguayo. # Ligue1 pic.twitter.com/9YOoXDlXOV"
OtcritPlatform,2018-05-16 06:17,34,37,"Can Monaco overcome one of the biggest barriers to widespread cryptocurrency adoption? The ability to buy, exchange, and spend fiat and cryptocurrencies at perfect interbank exchange rates. # otcritICO # Monaco # MCO https://www.otcrit.org/reports/19"
ZbTalk,2018-05-08 02:23,17,56,"http://ZB.com  Lists Monaco(MCO). @ monaco_card https://trans.bitkk.com/mcoqc pic.twitter.com/N086izp9Ih"
monaco_card,2018-05-07 03:45,37,112,"As we enable higher liquidity and accessibility of the $ MCO token, we are pleased to announce our listing on http://ZB.com @ ZbTalk (#20 in volume). Trading starts 2pm (HKT) today! # cryptocurrencypic.twitter.com/2A5SkND8JU"
monaco_card,2018-05-02 08:49,19,80,"Dear community, Bibox Exchange, an AI enhanced encrypted digital asset exchange (#19 in volume), has just launched their first `vote for listing` activity and if you want the $ MCO token to be listed there, go on and vote for us! https://goo.gl/UThnRH pic.twitter.com/IoCTSsFGjt"
monaco_card,2018-04-26 03:48,28,94,"Following a review of the MCO Token Contract (internally and externally), we confirm that the MCO token is not effected by the ERC-20 Token Batch Overflow Vulnerability and have resumed full trading in our closed beta of the Monaco Wallet App. pic.twitter.com/0SHv6DteXe"
monaco_card,2018-04-25 15:05,16,49,"With the news of a vulnerability in some ERC-20 tokens, we have temporarily suspended deposits of ERC-20 tokens in our closed beta. Our review of the MCO Token Contract shows MCO is not affected. We are verifying MCO's security w/ industry partners https://goo.gl/Ct7nGh"
emotiqAnn,2018-04-21 13:26,62,80,"Monaco # mco you have to convert your crypto before you can spend it. Yet another reason Zenithcard is the future. pic.twitter.com/PF9f7d8mgU"
Cyptobot,2018-04-20 21:01,0,0,"Daily Top Losers 2018-04-20 1. WAX (WAX) | $0.355099 | 24hr: -10.75% 2. Ontology (ONT) | $4.32766 | 24hr: -4.99% 3. Monaco (MCO) | $13.6043 | 24hr: -4.37% 4. ReddCoin (RDD) | $0.00790541 | 24hr: -3.84% 5. Verge (XVG) | $0.0689464 | 24hr: -3.18%"
monaco_card,2018-04-20 06:45,50,181,"Following our listing on @ BithumbOfficial, @ monaco_card token's $ MCO 24-hour trading volume topped $750million for the first time ever - 3.29% of overall cryptocurrency market trading volume. Thank you for all your support! # cryptocurrencypic.twitter.com/WjTZkfjMoH"
BithumbOfficial,2018-04-20 05:31,25,94,"Now, you can trade Monaco(MCO) on Bithumb PC : https://goo.gl/GQvNRK  MOBILE :https://goo.gl/8QDSBU"
DigiByte_News,2018-04-20 00:27,6,30,"# Monaco is up 62% with high volume of $754 million today due to # MCO being just listed on # Bithumb, which is the importance/impact of # liquidity for # cryptocurrency adoption (how easily # cryptos can be bought/sold). When will # DigiByte be listed on # Bithumb? @ BithumbOfficial # DGBpic.twitter.com/xJly0lXKGC"
