username,date,retweets,favorites,text
MartaTanos,2018-05-31 14:37,0,0,"Binance registration is currently open Register link and BONUS http://Binance.com/register.html?ref=12615578&cod=FBB34C … 05/31 10:37 $ NULS $ CRR $ IGD $ MFCB $ KOP $ JCI $ SYNC $ VTWO $ MAG $ SERV $ PTY $ BW $ HLG $ TWTR $ USDSGD $ USDPKR $ USDXEM $ CME $ STDEUR $ CMCT $ KEYS $ HBK $ PSET $ BVXV 145pic.twitter.com/fu3YlqdEi6"
CoinWatcherBot,2018-05-31 14:00,0,0,"Best returns (24h): 1. Huobi Token +12.3% $ HT 2. Nuls +11.6% $ NULS 3. @ golemproject +11.4% $ GNT # blockchain # altcoinspic.twitter.com/bMauwTaUS2"
EugenieBastie,2018-05-31 12:43,17,92,"Tous les gens qui n'aiment pas Edouard Louis sont nuls et méchants # lasociologyhttps://twitter.com/gdelagasnerie/status/1001426476032495616 …"
bluetouff,2018-05-31 12:12,9,20,"L'authentification # biométrique pour les nuls pic.twitter.com/UwAwzqFxu2"
lequipe,2018-05-31 11:34,412,871,"Bilan de Zidane au Real Madrid : Arrivée : 4 janvier 2016 Départ : 31 mai 2018 8 trophées 149 matches 104 victoires 29 nuls 16 défaites"
Footballogue,2018-05-31 11:15,1138,1431,"[ # Stat] Zinédine Zidane avec le Real Madrid 149 Matches 104 Victoires (70%) 29 Nuls 16 Défaites pic.twitter.com/A8k4CTxFrg"
Mordu2Foot,2018-05-31 11:13,134,127,"Zinedine Zidane | Real Madrid 149 matches 105 victoires 28 nuls 16 défaites 398 buts inscrits 2,67 buts/ match 2,30 points/ match LaLiga Supercoupe d'Espagne Ligue des Champions Supercoupe d'Europe CdM des clubs Mythe. pic.twitter.com/IdSEVhigXi"
har_elliott,2018-05-31 10:42,0,1,"We made 25% with our last pump signal http://bit.ly/2GfZA60 $ EOS $ ETC $ ICX $ KNC $ LSK $ ARN $ DGD $ SNGL $ HSR $ PPT $ GVT $ ETN $ XZC $ MTL $ SRN $ BNB $ ABT $ OAX $ XLM $ LUN $ KCS $ BAT $ BCPT $ NEBL $ OPC $ ETH $ NULS $ GXS $ ZRX $ AION htspxloadhpic.twitter.com/vjrRd8ip6P"
BoyOfTheGym,2018-05-31 07:21,0,0,"Sign up before Binance close registration Register link and BONUS http://Binance.com/register.html?ref=12615578&cod=85E395 … 05/31 03:21 $ SRDUSD $ USDMMK $ SEE $ GEC $ EURLSK $ AE $ HORSE $ TAPR $ ELS $ NNDM $ DBIX $ BEAT $ APDNW $ OBLN $ TWNKW $ NULS $ CRR $ IGD $ MFCB $ KOP $ JCI $ SYNC $ VTWO 573pic.twitter.com/CTmljWJyUk"
FlashTweet,2018-05-31 06:07,48,36,"[ # Infographie] Le # RGPD pour les nuls en 7 points clés https://buff.ly/2sjUYDu  v/ @ ubergizmofr # FlashTweet # privacy # data # GRPD # MarketingDigital # DigitalMarketing # Transformation # digital # TransformationDigitalepic.twitter.com/OUngCPaNeX"
