date,open,high,low,close,volume,number of trades,OmiseGO OMG,sentiment
2018-04-01 00:00:00,0.00118300,0.00119000,0.00117300,0.00117900,14957.42000000,472,0.0,0.19176136363636362
2018-04-01 01:00:00,0.00117600,0.00118000,0.00117200,0.00117700,8111.93000000,339,13.0,0.16666666666666666
2018-04-01 02:00:00,0.00117700,0.00118000,0.00117000,0.00117600,12266.84000000,501,13.0,0.0
2018-04-01 03:00:00,0.00117500,0.00118000,0.00116400,0.00117500,8943.37000000,552,26.0,0.2681818181818182
2018-04-01 04:00:00,0.00117300,0.00118200,0.00117100,0.00117600,11959.21000000,460,14.0,0.0
2018-04-01 05:00:00,0.00117900,0.00118500,0.00117600,0.00118300,11029.39000000,323,0.0,0.0
2018-04-01 06:00:00,0.00118200,0.00118600,0.00116900,0.00116900,12395.19000000,572,0.0,0.0
2018-04-01 07:00:00,0.00117100,0.00117700,0.00115700,0.00117000,16019.08000000,1067,22.0,0.0
2018-04-01 08:00:00,0.00116600,0.00118000,0.00116200,0.00116700,19762.89000000,582,0.0,0.0
2018-04-01 09:00:00,0.00116700,0.00117400,0.00116100,0.00116400,11296.21000000,514,20.0,0.0
2018-04-01 10:00:00,0.00116400,0.00116800,0.00116000,0.00116400,11469.22000000,409,10.0,0.0
2018-04-01 11:00:00,0.00116400,0.00116800,0.00115800,0.00116000,12662.50000000,402,19.0,0.0
2018-04-01 12:00:00,0.00116000,0.00116400,0.00115500,0.00116300,11742.74000000,409,9.0,-0.02638888888888889
2018-04-01 13:00:00,0.00116300,0.00116600,0.00115400,0.00116500,10368.94000000,549,0.0,0.0
2018-04-01 14:00:00,0.00116500,0.00117200,0.00115700,0.00116300,23621.25000000,857,0.0,0.0
2018-04-01 15:00:00,0.00116200,0.00116500,0.00115500,0.00115800,22123.89000000,693,8.0,0.0
2018-04-01 16:00:00,0.00115700,0.00117700,0.00115300,0.00116700,21418.11000000,1049,0.0,0.0
2018-04-01 17:00:00,0.00116800,0.00119100,0.00115500,0.00118300,79823.70000000,2820,23.0,0.35416666666666663
2018-04-01 18:00:00,0.00118100,0.00119000,0.00116900,0.00117000,30846.21000000,999,24.0,0.125
2018-04-01 19:00:00,0.00117200,0.00121300,0.00117000,0.00119700,67527.01000000,1942,17.0,0.0
2018-04-01 20:00:00,0.00119700,0.00121000,0.00118800,0.00119900,31669.03000000,929,45.0,0.05
2018-04-01 21:00:00,0.00120100,0.00120800,0.00118700,0.00120000,29745.43000000,1072,0.0,0.0
2018-04-01 22:00:00,0.00120100,0.00120200,0.00118000,0.00118800,29649.91000000,976,22.0,0.008030303030303032
2018-04-01 23:00:00,0.00118900,0.00119800,0.00118200,0.00118600,26786.17000000,687,72.0,0.0
2018-04-02 00:00:00,0.00118600,0.00118900,0.00117500,0.00118000,13765.21000000,707,36.0,1.0
2018-04-02 01:00:00,0.00117900,0.00119600,0.00117500,0.00119100,30228.53000000,722,23.0,0.0
2018-04-02 02:00:00,0.00119200,0.00119600,0.00118700,0.00118900,17946.24000000,628,24.0,0.0
2018-04-02 03:00:00,0.00118700,0.00120100,0.00118700,0.00119200,16777.61000000,742,12.0,0.0
2018-04-02 04:00:00,0.00119100,0.00121000,0.00118700,0.00119300,36905.79000000,838,26.0,0.0
2018-04-02 05:00:00,0.00119200,0.00119900,0.00118900,0.00119500,22589.46000000,529,0.0,0.0
2018-04-02 06:00:00,0.00119500,0.00122000,0.00119200,0.00121200,53525.31000000,1575,11.0,0.0
2018-04-02 07:00:00,0.00121200,0.00124900,0.00119800,0.00123200,61780.75000000,1941,31.0,0.0
2018-04-02 08:00:00,0.00123200,0.00123800,0.00122200,0.00123500,33975.56000000,1528,19.0,0.0
2018-04-02 09:00:00,0.00123100,0.00127900,0.00123000,0.00125900,61880.40000000,2424,18.0,0.0
2018-04-02 10:00:00,0.00126000,0.00127800,0.00124700,0.00127400,46397.72000000,2011,0.0,0.0
2018-04-02 11:00:00,0.00127500,0.00134900,0.00126500,0.00126700,150983.86000000,6502,41.0,0.0
2018-04-02 12:00:00,0.00126700,0.00127100,0.00124200,0.00124900,38733.94000000,2063,15.0,0.21212121212121213
2018-04-02 13:00:00,0.00124900,0.00129500,0.00124700,0.00126000,63721.16000000,2144,7.0,0.0
2018-04-02 14:00:00,0.00126200,0.00128000,0.00123100,0.00123900,61450.37000000,2244,6.0,0.0
2018-04-02 15:00:00,0.00123900,0.00125300,0.00123200,0.00123600,33831.46000000,1259,38.0,0.0
2018-04-02 16:00:00,0.00123600,0.00123700,0.00121100,0.00121600,61302.01000000,2168,19.0,0.0
2018-04-02 17:00:00,0.00121500,0.00121900,0.00120400,0.00121600,25413.81000000,953,19.0,0.0
2018-04-02 18:00:00,0.00121500,0.00123700,0.00121200,0.00123300,26287.71000000,1231,13.0,0.0
2018-04-02 19:00:00,0.00123300,0.00123500,0.00122100,0.00122100,29193.02000000,842,21.0,0.0
2018-04-02 20:00:00,0.00122100,0.00122100,0.00120100,0.00121000,32073.91000000,1115,39.0,0.0
2018-04-02 21:00:00,0.00121000,0.00122400,0.00120400,0.00121100,13638.62000000,647,27.0,0.0
2018-04-02 22:00:00,0.00121300,0.00122000,0.00120000,0.00121400,26046.19000000,794,31.0,0.0
2018-04-02 23:00:00,0.00121400,0.00124000,0.00121300,0.00123700,18052.51000000,844,11.0,0.0
2018-04-03 00:00:00,0.00123700,0.00124200,0.00122700,0.00123800,14700.03000000,898,11.0,0.0
2018-04-03 01:00:00,0.00123700,0.00124900,0.00123000,0.00123200,30058.76000000,1110,32.0,0.0
2018-04-03 02:00:00,0.00123200,0.00124800,0.00122900,0.00123900,21887.34000000,728,11.0,0.0
2018-04-03 03:00:00,0.00123900,0.00125700,0.00123700,0.00124900,25141.27000000,909,0.0,0.0
2018-04-03 04:00:00,0.00124900,0.00127400,0.00124900,0.00125200,33475.69000000,1615,0.0,0.0
2018-04-03 05:00:00,0.00125200,0.00125600,0.00123100,0.00123800,29145.95000000,1456,23.0,0.0
2018-04-03 06:00:00,0.00123700,0.00125300,0.00123200,0.00124300,22638.89000000,779,0.0,0.0
2018-04-03 07:00:00,0.00124400,0.00126400,0.00123800,0.00126000,16345.16000000,872,28.0,0.0
2018-04-03 08:00:00,0.00126000,0.00126300,0.00124700,0.00124900,23014.71000000,777,18.0,0.0
2018-04-03 09:00:00,0.00124900,0.00125300,0.00123600,0.00124900,33442.80000000,948,17.0,0.0
2018-04-03 10:00:00,0.00124900,0.00127400,0.00124500,0.00124600,51002.24000000,1508,0.0,0.0
2018-04-03 11:00:00,0.00124700,0.00126100,0.00124500,0.00125100,23349.86000000,646,7.0,0.0
2018-04-03 12:00:00,0.00125200,0.00125200,0.00124400,0.00125100,21174.74000000,567,20.0,0.0
2018-04-03 13:00:00,0.00125000,0.00126500,0.00125000,0.00125400,27289.65000000,896,13.0,0.0
2018-04-03 14:00:00,0.00125700,0.00126000,0.00125100,0.00125800,16315.73000000,663,6.0,0.0
2018-04-03 15:00:00,0.00125800,0.00126000,0.00124500,0.00125000,21101.36000000,689,6.0,0.0
2018-04-03 16:00:00,0.00124900,0.00127200,0.00124000,0.00125500,31883.35000000,1203,0.0,0.5
2018-04-03 17:00:00,0.00125500,0.00130000,0.00125200,0.00128600,61234.97000000,2174,19.0,0.0
2018-04-03 18:00:00,0.00128700,0.00130500,0.00126400,0.00130500,40355.85000000,1430,7.0,0.0
2018-04-03 19:00:00,0.00130500,0.00130500,0.00126900,0.00127500,40065.82000000,1367,20.0,0.0
2018-04-03 20:00:00,0.00127400,0.00128300,0.00125900,0.00126800,30715.89000000,1201,15.0,0.0
2018-04-03 21:00:00,0.00126800,0.00127800,0.00126000,0.00127600,23720.34000000,793,0.0,0.0
2018-04-03 22:00:00,0.00127600,0.00128100,0.00126500,0.00127500,13980.93000000,756,10.0,0.0
2018-04-03 23:00:00,0.00127500,0.00129000,0.00126800,0.00127300,17893.54000000,815,11.0,0.0
2018-04-04 00:00:00,0.00127300,0.00128100,0.00126200,0.00126800,20923.27000000,792,11.0,0.0
2018-04-04 01:00:00,0.00126800,0.00128100,0.00126100,0.00126500,20408.24000000,819,0.0,0.0
2018-04-04 02:00:00,0.00126500,0.00126600,0.00124000,0.00124700,36073.60000000,1422,33.0,0.0
2018-04-04 03:00:00,0.00124700,0.00126300,0.00124100,0.00125000,26674.92000000,1177,58.0,0.3214285714285714
2018-04-04 04:00:00,0.00125000,0.00126100,0.00124400,0.00125100,28973.60000000,590,0.0,0.0
2018-04-04 05:00:00,0.00125100,0.00126600,0.00124600,0.00125400,23187.85000000,707,33.0,0.0
2018-04-04 06:00:00,0.00125200,0.00127200,0.00125000,0.00125900,27738.30000000,806,0.0,0.0
2018-04-04 07:00:00,0.00125700,0.00126200,0.00125200,0.00125800,15813.29000000,596,28.0,0.43333333333333335
2018-04-04 08:00:00,0.00125700,0.00125800,0.00124600,0.00125000,24534.66000000,599,35.0,0.22000000000000003
2018-04-04 09:00:00,0.00125000,0.00125300,0.00122600,0.00123100,30292.11000000,1554,0.0,0.0
2018-04-04 10:00:00,0.00123100,0.00123800,0.00121500,0.00122300,24288.63000000,1068,8.0,0.0
2018-04-04 11:00:00,0.00122300,0.00122800,0.00120100,0.00121400,29971.49000000,1511,7.0,0.0
2018-04-04 12:00:00,0.00121300,0.00121900,0.00120100,0.00120900,20741.07000000,753,20.0,0.0
2018-04-04 13:00:00,0.00120900,0.00122000,0.00120600,0.00121000,17488.12000000,640,0.0,0.0
2018-04-04 14:00:00,0.00121000,0.00121800,0.00118400,0.00120900,47524.69000000,1414,6.0,0.0
2018-04-04 15:00:00,0.00120800,0.00122100,0.00120500,0.00120700,18265.61000000,762,6.0,0.0
2018-04-04 16:00:00,0.00120800,0.00122500,0.00120700,0.00122300,23936.71000000,757,19.0,0.0
2018-04-04 17:00:00,0.00122400,0.00123100,0.00121900,0.00122600,14613.13000000,496,19.0,0.0
2018-04-04 18:00:00,0.00122700,0.00123100,0.00120300,0.00121800,40544.12000000,799,20.0,0.0
2018-04-04 19:00:00,0.00121700,0.00122400,0.00120600,0.00122100,17827.41000000,605,34.0,0.0
2018-04-04 20:00:00,0.00122200,0.00122600,0.00121400,0.00121500,8609.85000000,560,22.0,0.0
2018-04-04 21:00:00,0.00121500,0.00121600,0.00120200,0.00121000,8840.13000000,876,9.0,0.0
2018-04-04 22:00:00,0.00120900,0.00121400,0.00120300,0.00120600,6647.49000000,528,31.0,0.0
2018-04-04 23:00:00,0.00120700,0.00121200,0.00120200,0.00120700,14585.24000000,538,33.0,0.0
2018-04-05 00:00:00,0.00120700,0.00122500,0.00120500,0.00121800,17258.46000000,705,44.0,0.625
2018-04-05 01:00:00,0.00121800,0.00122800,0.00121600,0.00122600,18853.06000000,791,32.0,0.0
2018-04-05 02:00:00,0.00122700,0.00122800,0.00121800,0.00122600,8082.87000000,609,34.0,0.0
2018-04-05 03:00:00,0.00122700,0.00124800,0.00121900,0.00124400,19780.38000000,945,23.0,0.11904761904761905
2018-04-05 04:00:00,0.00124300,0.00125000,0.00123400,0.00123600,20292.30000000,908,24.0,0.0
2018-04-05 05:00:00,0.00123800,0.00142400,0.00123200,0.00133000,430993.24000000,12567,100.0,0.3017045454545455
2018-04-05 06:00:00,0.00133400,0.00133400,0.00127900,0.00131300,77772.34000000,2741,60.0,0.0
2018-04-05 07:00:00,0.00131300,0.00131700,0.00123100,0.00124700,90723.65000000,3968,9.0,0.0
2018-04-05 08:00:00,0.00124700,0.00129300,0.00124400,0.00127000,52073.23000000,2084,27.0,0.0
2018-04-05 09:00:00,0.00127300,0.00133600,0.00127100,0.00130800,65147.47000000,2016,17.0,0.0
2018-04-05 10:00:00,0.00130900,0.00130900,0.00126500,0.00127400,40896.77000000,1665,17.0,0.0
2018-04-05 11:00:00,0.00127400,0.00129000,0.00126700,0.00128200,38513.14000000,1097,60.0,0.0
2018-04-05 12:00:00,0.00127900,0.00128400,0.00125000,0.00125900,43360.39000000,1300,0.0,0.0
2018-04-05 13:00:00,0.00126000,0.00128800,0.00125100,0.00128000,22549.71000000,1208,13.0,0.0
2018-04-05 14:00:00,0.00128100,0.00128500,0.00125800,0.00126800,41469.15000000,1395,31.0,0.0
2018-04-05 15:00:00,0.00126700,0.00129100,0.00125800,0.00128500,33416.49000000,1105,19.0,0.0
