username,date,retweets,favorites,text
OntologyNetwork,2018-05-31 08:28,49,166,"Ontology Ambassador Program Update https://medium.com/ontologynetwork/ontology-ambassador-program-update-7b5b8d06f5cb … $ ONT"
OntologyNetwork,2018-05-31 02:42,46,136,"Daniel Wen, Business Development Director of Ontology, Presenting at Global Issue 2018 in Seoul https://youtu.be/ICNC7TQplsU $ ONT"
BoersenMedien,2018-05-30 12:01,0,0,"# Bitcoin # BTC 2.93% # Ethereum # ETH 6.57% # Ripple # XRP 5.25% # Stellar # XLM 4.52% # Bitcoin Cash # BCH 7.00% # EOS # EOS 6.86% # Litecoin # LTC 2.92% # Cardano # ADA 10.54% # Ontology # ONT 9.23% # Tron # TRX 1.55% # Dash 3.51% # NEO 3.74% # ZCash # ZEC 2.63% Daten der letze 24STDpic.twitter.com/h83BteiXgg"
OntologyNetwork,2018-05-29 10:07,102,269,"COT Becomes Ontology’s First Intelligent Hardware and IoT Technology Strategic Partner https://medium.com/ontologynetwork/cot-becomes-ontologys-first-intelligent-hardware-and-iot-technology-strategic-partner-1404dce71a6a … $ ONT"
Ontology_news,2018-05-29 04:44,21,102,"$ ONT Twitter channel surpasses 50,000! @ OntologyNetworkhttps://twitter.com/OntologyNetwork/status/1001286749711056896 …"
OntologyNetwork,2018-05-29 02:18,84,419,"Ontology's Twitter has surpassed 50,000 followers six months after being created! Thank you to all of our supporters. $ ONT"
OntologyNetwork,2018-05-29 01:20,37,151,"Li Jun, Founder of Ontology, was on stage at the Blockchain Application Forum in Guiyang yesterday. $ ONT pic.twitter.com/xXQQFKGwWE"
_sbofficial,2018-05-21 18:12,0,0,"Ich mag das @ YouTube-Video: http://youtu.be/V-xC4gG_YJI?a  Money Guide #34: ONTOLOGY COIN ERKLÄRUNG - AIRDROP ONT COIN PROGNOSE 2018"
BoersenMedien,2018-05-17 11:18,1,1,"# Bitcoin # BTC -1.19% # Ethereum # ETH -0.96% # Ripple # XRP -0.67% # Stellar # XLM -1.34% # BitcoinCash # BCH -0.95% # EOS 3.00% # Litecoin # LTC -1.28% # Cardano # ADA -0.71% # Dash 0.78% # Ontology # ONT -3.01% # ZCash # ZEC -9.70% # Tron # TRX 4.55% # NEO -1.36% Daten der letzte 24Std.pic.twitter.com/e0tCQvWRDe"
Ontology_news,2018-05-17 10:56,21,83,"$ ONT in Seoul, Korea https://twitter.com/OntologyNetwork/status/997017380684476416 …"
