date,open,high,low,close,volume,number of trades,Populous PPT,sentiment
2018-04-01 00:00:00,0.00175290,0.00176030,0.00173950,0.00173950,1260.45000000,125,35.0,0.0
2018-04-01 01:00:00,0.00173950,0.00177070,0.00173950,0.00175800,1194.28000000,132,0.0,0.0
2018-04-01 02:00:00,0.00176280,0.00176870,0.00174450,0.00176820,974.65000000,50,0.0,0.0
2018-04-01 03:00:00,0.00176810,0.00176810,0.00174330,0.00175570,1767.40000000,107,0.0,0.0
2018-04-01 04:00:00,0.00175720,0.00176000,0.00175720,0.00175720,620.83000000,65,37.0,0.0
2018-04-01 05:00:00,0.00175880,0.00176000,0.00174850,0.00176000,522.40000000,54,0.0,0.0
2018-04-01 06:00:00,0.00176000,0.00176000,0.00174330,0.00175740,814.59000000,95,34.0,0.37878787878787873
2018-04-01 07:00:00,0.00175000,0.00176000,0.00174330,0.00174370,1835.25000000,86,0.0,0.0
2018-04-01 08:00:00,0.00174800,0.00177570,0.00174350,0.00175680,1299.51000000,97,58.0,0.0
2018-04-01 09:00:00,0.00175600,0.00178900,0.00175090,0.00177540,2364.76000000,190,0.0,0.0
2018-04-01 10:00:00,0.00177540,0.00177700,0.00174000,0.00175060,1711.34000000,168,0.0,0.0
2018-04-01 11:00:00,0.00175060,0.00175090,0.00174020,0.00175060,839.47000000,51,26.0,0.0
2018-04-01 12:00:00,0.00174710,0.00175050,0.00173020,0.00173800,874.60000000,65,24.0,0.0
2018-04-01 13:00:00,0.00173000,0.00173640,0.00172000,0.00172000,1341.95000000,68,0.0,0.0
2018-04-01 14:00:00,0.00172000,0.00174390,0.00170460,0.00171970,2440.36000000,164,0.0,0.0
2018-04-01 15:00:00,0.00170810,0.00172920,0.00170310,0.00170670,692.05000000,109,21.0,0.0
2018-04-01 16:00:00,0.00170670,0.00170670,0.00166000,0.00168300,8781.53000000,542,0.0,0.0
2018-04-01 17:00:00,0.00169700,0.00169710,0.00168000,0.00169110,980.72000000,142,42.0,0.0
2018-04-01 18:00:00,0.00169110,0.00169150,0.00168000,0.00169130,1345.83000000,84,44.0,0.0
2018-04-01 19:00:00,0.00169130,0.00169550,0.00166820,0.00167650,985.68000000,134,0.0,0.37878787878787873
