date,open,high,low,close,volume,number of trades,SALT SALT,sentiment
2018-04-01 00:00:00,0.00029410,0.00030470,0.00029150,0.00030010,124823.65000000,692,95.0,0.01620331878144378
2018-04-01 01:00:00,0.00030020,0.00030570,0.00029900,0.00030100,71910.89000000,814,91.0,0.06736111111111114
2018-04-01 02:00:00,0.00030130,0.00030250,0.00029970,0.00029990,24061.38000000,412,89.0,0.05625000000000001
2018-04-01 03:00:00,0.00029980,0.00030410,0.00029980,0.00030120,40057.69000000,465,81.0,0.036904761904761905
2018-04-01 04:00:00,0.00030120,0.00030410,0.00030000,0.00030310,36145.08000000,417,72.0,0.10178571428571428
2018-04-01 05:00:00,0.00030310,0.00030460,0.00030110,0.00030130,74441.70000000,386,58.0,-0.06284722222222222
2018-04-01 06:00:00,0.00030160,0.00030450,0.00030120,0.00030350,46618.39000000,353,50.0,-0.06481481481481481
2018-04-01 07:00:00,0.00030350,0.00030390,0.00029580,0.00029670,56247.47000000,520,42.0,0.2174242424242424
2018-04-01 08:00:00,0.00029610,0.00029750,0.00029520,0.00029660,34314.31000000,293,38.0,0.13675967261904762
2018-04-01 09:00:00,0.00029670,0.00029670,0.00029420,0.00029550,76135.52000000,390,37.0,0.02136904761904762
2018-04-01 10:00:00,0.00029540,0.00029600,0.00029300,0.00029490,81618.42000000,357,38.0,0.039322916666666666
2018-04-01 11:00:00,0.00029490,0.00029700,0.00028900,0.00028940,27068.45000000,496,41.0,0.1426037851037851
2018-04-01 12:00:00,0.00029000,0.00029090,0.00028800,0.00028880,37668.40000000,454,44.0,0.06711407082500832
2018-04-01 13:00:00,0.00028860,0.00028960,0.00028500,0.00028500,45329.50000000,486,54.0,0.026032196969696976
2018-04-01 14:00:00,0.00028550,0.00028650,0.00028300,0.00028320,23388.27000000,437,61.0,0.11720332577475435
2018-04-01 15:00:00,0.00028330,0.00028900,0.00028000,0.00028870,60396.60000000,654,62.0,0.03668546365914788
2018-04-01 16:00:00,0.00028780,0.00029500,0.00028390,0.00029480,71788.19000000,664,65.0,0.13891684704184706
2018-04-01 17:00:00,0.00029370,0.00029520,0.00028720,0.00028720,48547.85000000,469,67.0,0.050542929292929285
2018-04-01 18:00:00,0.00028720,0.00029110,0.00028720,0.00029050,66380.87000000,380,70.0,0.11180555555555556
2018-04-01 19:00:00,0.00029050,0.00029430,0.00028760,0.00028960,72217.84000000,669,73.0,0.1649659863945578
2018-04-01 20:00:00,0.00028980,0.00029200,0.00028720,0.00028720,51268.41000000,430,77.0,0.07676866319444445
2018-04-01 21:00:00,0.00028890,0.00028980,0.00028600,0.00028830,12404.46000000,363,83.0,-0.02465277777777777
2018-04-01 22:00:00,0.00028830,0.00029050,0.00028600,0.00028820,25522.43000000,327,87.0,0.33287037037037037
2018-04-01 23:00:00,0.00028820,0.00028840,0.00028500,0.00028570,37025.47000000,312,93.0,0.2329685746352413
2018-04-02 00:00:00,0.00028560,0.00028770,0.00028410,0.00028540,52483.50000000,440,94.0,0.05000000000000001
2018-04-02 01:00:00,0.00028600,0.00028800,0.00028350,0.00028780,67778.83000000,364,91.0,0.17010882635882638
2018-04-02 02:00:00,0.00028740,0.00028780,0.00028510,0.00028690,38103.18000000,297,86.0,0.04685714285714286
2018-04-02 03:00:00,0.00028780,0.00028780,0.00028600,0.00028660,36326.20000000,226,80.0,-0.3
2018-04-02 04:00:00,0.00028670,0.00028900,0.00028600,0.00028790,19436.90000000,230,68.0,0.29333333333333333
2018-04-02 05:00:00,0.00028790,0.00028900,0.00028640,0.00028760,62449.62000000,324,56.0,0.05909090909090908
2018-04-02 06:00:00,0.00028760,0.00029200,0.00028760,0.00028810,68242.34000000,345,46.0,0.125
2018-04-02 07:00:00,0.00028800,0.00029030,0.00028760,0.00028760,30465.33000000,309,39.0,0.1
2018-04-02 08:00:00,0.00028760,0.00029190,0.00028550,0.00029010,68502.49000000,441,38.0,0.2041666666666667
2018-04-02 09:00:00,0.00029050,0.00029700,0.00029000,0.00029220,23483.75000000,535,37.0,-0.09166666666666666
2018-04-02 10:00:00,0.00029260,0.00029890,0.00029160,0.00029870,50443.17000000,553,38.0,0.058333333333333334
2018-04-02 11:00:00,0.00029750,0.00029880,0.00029500,0.00029690,34417.60000000,356,40.0,0.06204184704184703
2018-04-02 12:00:00,0.00029690,0.00029880,0.00029500,0.00029500,62157.07000000,373,45.0,0.037071107904441236
2018-04-02 13:00:00,0.00029510,0.00029610,0.00029400,0.00029460,63357.73000000,490,52.0,0.10482026143790849
2018-04-02 14:00:00,0.00029500,0.00029550,0.00028950,0.00029150,77831.37000000,466,58.0,-0.012166942534589595
2018-04-02 15:00:00,0.00029200,0.00029840,0.00028980,0.00029810,52864.81000000,525,65.0,-0.08055555555555555
2018-04-02 16:00:00,0.00029810,0.00029890,0.00029270,0.00029410,33078.59000000,428,70.0,-0.056249999999999994
2018-04-02 17:00:00,0.00029440,0.00029500,0.00028900,0.00029060,65876.23000000,603,71.0,0.10055916305916306
2018-04-02 18:00:00,0.00029060,0.00029390,0.00028680,0.00028940,55950.49000000,629,72.0,0.17180319680319683
2018-04-02 19:00:00,0.00028930,0.00029200,0.00028910,0.00029010,35073.43000000,464,74.0,0.11750000000000001
2018-04-02 20:00:00,0.00029050,0.00029120,0.00028850,0.00028930,63033.98000000,433,79.0,0.0883237133237133
2018-04-02 21:00:00,0.00028920,0.00029130,0.00028800,0.00029040,64309.92000000,493,85.0,0.07994047619047619
2018-04-02 22:00:00,0.00029040,0.00029180,0.00029000,0.00029100,79418.58000000,443,93.0,0.1203037067099567
2018-04-02 23:00:00,0.00029100,0.00029190,0.00028650,0.00029080,35199.02000000,490,93.0,0.058951822916666674
2018-04-03 00:00:00,0.00028930,0.00029200,0.00028660,0.00028930,33559.01000000,432,92.0,0.13541666666666663
2018-04-03 01:00:00,0.00028930,0.00029150,0.00028670,0.00029100,35099.08000000,415,86.0,0.1435199357520786
