date,open,high,low,close,volume,number of trades,Steem STEEM,sentiment
2018-04-01 00:00:00,0.00021620,0.00021740,0.00021520,0.00021580,3159.54000000,63,20.0,0.09943181818181819
2018-04-01 01:00:00,0.00021580,0.00021610,0.00021530,0.00021530,357.72000000,8,21.0,-0.06174242424242425
2018-04-01 02:00:00,0.00021630,0.00021750,0.00021520,0.00021650,2269.89000000,35,20.0,0.0
2018-04-01 03:00:00,0.00021650,0.00021750,0.00021560,0.00021750,1031.55000000,24,22.0,0.0
2018-04-01 04:00:00,0.00021740,0.00021750,0.00021680,0.00021680,1143.45000000,21,19.0,0.6
2018-04-01 05:00:00,0.00021730,0.00021820,0.00021610,0.00021740,3057.96000000,46,20.0,0.0
2018-04-01 06:00:00,0.00021760,0.00021830,0.00021750,0.00021800,1961.06000000,34,19.0,0.11250000000000002
2018-04-01 07:00:00,0.00021800,0.00021850,0.00021600,0.00021710,5473.63000000,80,19.0,0.65
2018-04-01 08:00:00,0.00021710,0.00021710,0.00021600,0.00021600,1493.02000000,57,20.0,0.0
2018-04-01 09:00:00,0.00021600,0.00021710,0.00021210,0.00021310,12578.99000000,250,23.0,0.0
2018-04-01 10:00:00,0.00021310,0.00021430,0.00021200,0.00021200,6668.02000000,143,19.0,0.175
2018-04-01 11:00:00,0.00021290,0.00021300,0.00021130,0.00021250,5702.70000000,76,17.0,0.2755681818181818
2018-04-01 12:00:00,0.00021310,0.00021310,0.00021120,0.00021220,1124.78000000,33,22.0,0.3462121212121212
2018-04-01 13:00:00,0.00021290,0.00021400,0.00021100,0.00021250,6514.60000000,81,19.0,0.0
2018-04-01 14:00:00,0.00021230,0.00021230,0.00020800,0.00021090,25658.37000000,253,20.0,0.0
2018-04-01 15:00:00,0.00021090,0.00021090,0.00020500,0.00020770,12298.76000000,158,19.0,0.09999999999999999
2018-04-01 16:00:00,0.00020800,0.00021040,0.00020640,0.00020810,4432.82000000,112,20.0,0.20625
2018-04-01 17:00:00,0.00020870,0.00020920,0.00020780,0.00020830,2905.70000000,52,21.0,-0.7125
2018-04-01 18:00:00,0.00020830,0.00020850,0.00020530,0.00020810,6282.91000000,102,22.0,0.0
2018-04-01 19:00:00,0.00020720,0.00021300,0.00020720,0.00020940,8176.55000000,123,19.0,0.5305397727272727
2018-04-01 20:00:00,0.00021010,0.00021080,0.00020740,0.00020840,5883.87000000,88,23.0,0.4
2018-04-01 21:00:00,0.00020840,0.00020930,0.00020740,0.00020830,4656.99000000,60,25.0,0.0
2018-04-01 22:00:00,0.00020830,0.00020900,0.00020780,0.00020810,2200.98000000,52,20.0,0.0
2018-04-01 23:00:00,0.00020810,0.00021190,0.00020800,0.00020910,5778.56000000,68,20.0,0.0
2018-04-02 00:00:00,0.00020910,0.00020910,0.00020770,0.00020770,3503.72000000,42,25.0,0.0
2018-04-02 01:00:00,0.00020850,0.00020920,0.00020750,0.00020820,2504.43000000,29,21.0,0.2681818181818182
2018-04-02 02:00:00,0.00020920,0.00021250,0.00020590,0.00020710,14398.74000000,166,21.0,0.0
2018-04-02 03:00:00,0.00020650,0.00020770,0.00020500,0.00020650,12234.71000000,103,21.0,0.2076388888888889
2018-04-02 04:00:00,0.00020600,0.00020670,0.00020500,0.00020670,2963.02000000,30,23.0,0.0
2018-04-02 05:00:00,0.00020670,0.00020690,0.00020560,0.00020580,4129.78000000,71,22.0,0.0
2018-04-02 06:00:00,0.00020580,0.00020650,0.00020350,0.00020520,23598.36000000,193,18.0,0.0
2018-04-02 07:00:00,0.00020530,0.00021180,0.00020470,0.00020720,12413.45000000,258,21.0,0.0
2018-04-02 08:00:00,0.00020860,0.00021210,0.00020860,0.00021020,10170.80000000,140,17.0,0.0
2018-04-02 09:00:00,0.00021050,0.00021190,0.00021010,0.00021030,6888.64000000,80,21.0,0.0
2018-04-02 10:00:00,0.00021030,0.00023160,0.00020980,0.00022170,106690.28000000,1757,23.0,0.5
2018-04-02 11:00:00,0.00022160,0.00022250,0.00021500,0.00021730,21078.85000000,317,22.0,0.0
2018-04-02 12:00:00,0.00021740,0.00022880,0.00021220,0.00022020,49536.32000000,579,18.0,0.0
2018-04-02 13:00:00,0.00022040,0.00022280,0.00021820,0.00021830,13021.46000000,196,19.0,0.0
2018-04-02 14:00:00,0.00021900,0.00022080,0.00021590,0.00021880,15661.37000000,257,17.0,0.21011904761904762
2018-04-02 15:00:00,0.00021760,0.00021980,0.00021600,0.00021780,11372.30000000,193,21.0,0.0
2018-04-02 16:00:00,0.00021780,0.00022250,0.00021700,0.00022100,23907.36000000,318,20.0,0.0
2018-04-02 17:00:00,0.00022100,0.00022200,0.00021910,0.00022070,14907.93000000,190,22.0,0.3125
2018-04-02 18:00:00,0.00022070,0.00023570,0.00022070,0.00023210,164393.77000000,2066,25.0,0.4481481481481482
2018-04-02 19:00:00,0.00023220,0.00023690,0.00022860,0.00023080,75652.95000000,1373,26.0,0.05
2018-04-02 20:00:00,0.00023130,0.00023700,0.00023100,0.00023550,54946.63000000,681,23.0,0.0
2018-04-02 21:00:00,0.00023570,0.00023650,0.00022880,0.00023090,47144.34000000,640,23.0,0.0
2018-04-02 22:00:00,0.00023100,0.00023500,0.00022620,0.00023280,43353.36000000,711,21.0,0.0
2018-04-02 23:00:00,0.00023400,0.00023580,0.00023280,0.00023480,21831.54000000,260,22.0,0.0
2018-04-03 00:00:00,0.00023560,0.00023570,0.00022650,0.00023170,49414.16000000,654,22.0,0.0
2018-04-03 01:00:00,0.00023190,0.00025990,0.00023170,0.00024260,249975.75000000,2928,29.0,0.0
2018-04-03 02:00:00,0.00024320,0.00024770,0.00023140,0.00024770,79697.66000000,1283,25.0,0.0
2018-04-03 03:00:00,0.00024760,0.00033900,0.00024480,0.00032200,1084087.25000000,12990,65.0,0.0
2018-04-03 04:00:00,0.00032120,0.00034800,0.00028680,0.00029980,1038242.95000000,11708,100.0,0.0
2018-04-03 05:00:00,0.00029970,0.00032000,0.00029350,0.00029790,347009.88000000,4697,81.0,0.0
2018-04-03 06:00:00,0.00029790,0.00029830,0.00027410,0.00027550,350136.69000000,3695,55.0,0.0
2018-04-03 07:00:00,0.00027580,0.00029500,0.00027310,0.00028120,313654.52000000,4430,41.0,0.0
2018-04-03 08:00:00,0.00028060,0.00028340,0.00027420,0.00027600,98403.67000000,1565,37.0,0.0
2018-04-03 09:00:00,0.00027600,0.00028810,0.00027500,0.00027670,148111.14000000,1971,38.0,-0.2
2018-04-03 10:00:00,0.00027670,0.00027810,0.00026590,0.00026670,132123.24000000,1922,30.0,0.0
2018-04-03 11:00:00,0.00026660,0.00028440,0.00026560,0.00027940,198381.67000000,2636,31.0,0.0
2018-04-03 12:00:00,0.00027930,0.00028260,0.00026980,0.00027600,100623.16000000,1423,33.0,0.0
2018-04-03 13:00:00,0.00027600,0.00027870,0.00026480,0.00026610,102211.10000000,1645,27.0,0.0
2018-04-03 14:00:00,0.00026590,0.00026940,0.00026340,0.00026480,72188.20000000,946,30.0,0.0
2018-04-03 15:00:00,0.00026470,0.00026700,0.00026080,0.00026290,66271.20000000,960,27.0,0.0
2018-04-03 16:00:00,0.00026280,0.00027490,0.00025980,0.00026610,165574.60000000,2202,29.0,0.5
2018-04-03 17:00:00,0.00026610,0.00027850,0.00026500,0.00027350,146938.28000000,1757,29.0,0.0
2018-04-03 18:00:00,0.00027350,0.00029000,0.00026900,0.00027870,204132.92000000,2509,27.0,0.0
2018-04-03 19:00:00,0.00027870,0.00028800,0.00027000,0.00027290,182607.77000000,2612,29.0,0.0
2018-04-03 20:00:00,0.00027290,0.00028030,0.00027000,0.00027090,77403.33000000,1199,27.0,0.0
2018-04-03 21:00:00,0.00027120,0.00028460,0.00027040,0.00027890,89456.36000000,1357,31.0,0.26785714285714285
2018-04-03 22:00:00,0.00027890,0.00028000,0.00027430,0.00027860,45054.67000000,898,31.0,0.0
2018-04-03 23:00:00,0.00027620,0.00027720,0.00026620,0.00027060,91668.25000000,2072,26.0,0.0
2018-04-04 00:00:00,0.00027060,0.00029140,0.00026730,0.00027310,321608.19000000,4348,22.0,0.0
2018-04-04 01:00:00,0.00027330,0.00027950,0.00026950,0.00027080,62023.70000000,1137,27.0,0.0
2018-04-04 02:00:00,0.00027080,0.00027500,0.00026080,0.00026470,58151.03000000,1451,27.0,0.0
2018-04-04 03:00:00,0.00026470,0.00027230,0.00026240,0.00026790,73704.16000000,1115,24.0,0.0
2018-04-04 04:00:00,0.00026770,0.00026870,0.00026110,0.00026420,37601.63000000,692,26.0,0.0
2018-04-04 05:00:00,0.00026490,0.00027000,0.00026110,0.00026820,24190.38000000,572,25.0,0.0
2018-04-04 06:00:00,0.00026820,0.00027540,0.00026700,0.00027280,50494.15000000,886,26.0,0.0
2018-04-04 07:00:00,0.00027240,0.00027590,0.00026630,0.00026980,26126.95000000,385,20.0,0.0
2018-04-04 08:00:00,0.00026960,0.00027100,0.00026580,0.00026740,17481.28000000,271,20.0,0.0
2018-04-04 09:00:00,0.00026740,0.00028940,0.00026710,0.00028120,159972.19000000,2055,20.0,0.0
2018-04-04 10:00:00,0.00028110,0.00028490,0.00027000,0.00027290,49938.49000000,610,22.0,0.0
2018-04-04 11:00:00,0.00027330,0.00027500,0.00026430,0.00026590,23382.20000000,407,23.0,0.0
2018-04-04 12:00:00,0.00026590,0.00027000,0.00026420,0.00026620,22006.48000000,342,21.0,0.0
2018-04-04 13:00:00,0.00026620,0.00027210,0.00026560,0.00027090,13497.48000000,256,21.0,0.0
2018-04-04 14:00:00,0.00027090,0.00027170,0.00025740,0.00026160,58696.97000000,899,18.0,0.0
2018-04-04 15:00:00,0.00026160,0.00026460,0.00025980,0.00026340,25974.18000000,363,20.0,0.0893939393939394
2018-04-04 16:00:00,0.00026290,0.00026390,0.00025570,0.00025930,38420.69000000,562,21.0,0.0
2018-04-04 17:00:00,0.00025930,0.00026340,0.00025850,0.00026330,17146.24000000,309,24.0,0.0
2018-04-04 18:00:00,0.00026310,0.00026310,0.00026070,0.00026270,13721.88000000,179,18.0,0.0
2018-04-04 19:00:00,0.00026290,0.00026500,0.00026030,0.00026330,17221.30000000,334,21.0,0.0
2018-04-04 20:00:00,0.00026340,0.00026800,0.00026330,0.00026560,16264.16000000,284,22.0,0.0
2018-04-04 21:00:00,0.00026640,0.00028000,0.00026540,0.00027030,38430.14000000,628,25.0,0.0
2018-04-04 22:00:00,0.00027130,0.00027890,0.00026870,0.00027220,14682.86000000,398,22.0,0.0
2018-04-04 23:00:00,0.00027220,0.00028740,0.00026790,0.00027450,39299.74000000,791,28.0,0.0
2018-04-05 00:00:00,0.00027580,0.00027910,0.00026630,0.00026790,21363.09000000,505,20.0,0.0
2018-04-05 01:00:00,0.00026790,0.00026790,0.00026060,0.00026350,21162.72000000,394,20.0,0.0
2018-04-05 02:00:00,0.00026340,0.00026380,0.00026020,0.00026190,15020.04000000,132,25.0,0.0
2018-04-05 03:00:00,0.00026190,0.00026460,0.00026000,0.00026290,15469.11000000,312,22.0,0.0
2018-04-05 04:00:00,0.00026290,0.00026610,0.00026230,0.00026560,9606.85000000,175,25.0,0.0
2018-04-05 05:00:00,0.00026560,0.00027000,0.00026000,0.00026080,18431.08000000,446,24.0,0.0
2018-04-05 06:00:00,0.00026060,0.00026180,0.00025220,0.00025240,27459.08000000,628,18.0,0.0
2018-04-05 07:00:00,0.00025220,0.00025500,0.00024560,0.00024570,57085.62000000,1063,18.0,0.0
2018-04-05 08:00:00,0.00024570,0.00025000,0.00024550,0.00024660,40616.81000000,602,22.0,0.0
2018-04-05 09:00:00,0.00024660,0.00025290,0.00024550,0.00025000,24128.57000000,453,21.0,0.0
2018-04-05 10:00:00,0.00025010,0.00025300,0.00024760,0.00025050,13487.47000000,184,21.0,0.0
2018-04-05 11:00:00,0.00025050,0.00025150,0.00024650,0.00025030,19904.18000000,255,22.0,0.0
2018-04-05 12:00:00,0.00025110,0.00025450,0.00024750,0.00025220,33061.61000000,2593,23.0,0.13636363636363635
2018-04-05 13:00:00,0.00025190,0.00025300,0.00024650,0.00024780,12475.74000000,191,21.0,0.0
2018-04-05 14:00:00,0.00024800,0.00025320,0.00024650,0.00024990,23672.85000000,287,21.0,0.0
2018-04-05 15:00:00,0.00024990,0.00025100,0.00024700,0.00024790,15767.25000000,220,21.0,0.04999999999999999
2018-04-05 16:00:00,0.00024840,0.00025090,0.00024750,0.00024850,13226.49000000,123,22.0,0.35000000000000003
2018-04-05 17:00:00,0.00024850,0.00025180,0.00024800,0.00025100,12328.24000000,224,24.0,0.0
2018-04-05 18:00:00,0.00024990,0.00025210,0.00024810,0.00025190,13620.40000000,153,22.0,0.0
2018-04-05 19:00:00,0.00025070,0.00025440,0.00024800,0.00025050,15053.00000000,227,18.0,0.0
2018-04-05 20:00:00,0.00025070,0.00025440,0.00025000,0.00025060,12819.93000000,129,20.0,0.0
2018-04-05 21:00:00,0.00025170,0.00025300,0.00024920,0.00025130,18420.71000000,189,18.0,0.18392857142857144
2018-04-05 22:00:00,0.00025130,0.00025180,0.00024910,0.00025170,5912.82000000,119,20.0,0.0
2018-04-05 23:00:00,0.00025190,0.00025470,0.00025050,0.00025470,29140.28000000,200,22.0,0.0
2018-04-06 00:00:00,0.00025470,0.00028440,0.00025470,0.00026220,239757.72000000,3808,20.0,0.21212121212121213
2018-04-06 01:00:00,0.00026270,0.00026570,0.00025700,0.00025960,21708.78000000,464,21.0,0.0
2018-04-06 02:00:00,0.00025960,0.00026560,0.00025740,0.00026300,14871.00000000,2381,22.0,0.0
2018-04-06 03:00:00,0.00026320,0.00028660,0.00026300,0.00026940,120274.10000000,1991,24.0,0.0
2018-04-06 04:00:00,0.00026940,0.00026980,0.00026080,0.00026080,36946.59000000,625,20.0,0.0
2018-04-06 05:00:00,0.00026090,0.00026500,0.00025870,0.00026310,14743.36000000,254,19.0,0.0
2018-04-06 06:00:00,0.00026300,0.00026400,0.00025510,0.00025820,35881.33000000,598,19.0,0.0
2018-04-06 07:00:00,0.00025830,0.00026240,0.00025680,0.00025790,17820.11000000,225,22.0,0.0
2018-04-06 08:00:00,0.00025790,0.00025980,0.00025570,0.00025650,9804.50000000,151,20.0,0.0
2018-04-06 09:00:00,0.00025670,0.00025990,0.00025450,0.00025630,14608.98000000,236,20.0,0.0
