username,date,retweets,favorites,text
CryptoStatsBot,2018-05-25 05:00,0,0,"Biggest Losers (1 hr) SingularityNET $ AGI -2.31% IHT Real Estate Protocol $ IHT -2.09% Credits $ CS -1.93% Stratis $ STRAT -1.47% ReddCoin $ RDD -1.34%"
BithumbOfficial,2018-05-25 02:27,42,119,"Visit Bithumb website and trade newly listed cryptocurrencies, Steem(STEEM) @ steemit and Stratis(STRAT) @ stratisplatform PC : https://goo.gl/xcSGxy  MOBILE :https://goo.gl/ixaGFd"
Arbitraj_io,2018-05-24 18:51,0,0,"Top # Arbitrage Spreads ZenCash (ZEN): Cryptopia $28.41 -> Bittrex $34.10 = 17% Stratis (STRAT): Bithumb $4.49 -> HitBTC $5.36 = 16% 0x (ZRX): Bitfinex$1.28 -> Bittrex $1.42 = 11% http://www.Arbitraj.io # crypto # cryptocurrency # bitcoin # btc # blockchain # Coinbase # Consensus"
CryptoStatsBot,2018-05-24 10:59,0,0,"Biggest Losers (1 hr) Steem $ STEEM -8% eosDAC $ EOSDAC -3.42% IHT Real Estate Protocol $ IHT -3.01% Stratis $ STRAT -2.98% Delphy $ DPY -2.1%"
stratisplatform,2018-05-24 08:27,254,672,"Stratis to be added @ BithumbOfficial today!! # blockchain # dotnet # markets $ STRAT https://twitter.com/BithumbOfficial/status/999532180932997120 …"
BithumbOfficial,2018-05-24 06:06,201,514,"We are listing Steem(STEEM) and Stratis(STRAT) today! @ steemit @ stratisplatform  https://goo.gl/Pmmifr pic.twitter.com/YSQL37977i"
BeyondGlobal18,2018-05-22 02:52,49,106,"We are excited to welcome former SEC Enforcement Attorney Stephan Meyers to the BGT team as part of our legal counsel team. # Announcement # BGT # BeyondGlobalTrade @ stratisplatform # stratis $ STRAT $ BTC $ CRYPTO # bitcoin # cryptocurrency # blockchain # crypto # btcpic.twitter.com/a0SKkI7n9S"
Sujix51o,2018-05-18 20:22,0,0,"Stratis $ STRAT price: $5.83 Binance registration is now OPEN for limited time! http://binance.com/?ref=10078236 $ ICOS $ CCT $ ZRX $ ZIL $ DBC $ GRS $ MLN $ AVT $ LTC $ BCAP $ MNE $ SPR $ XEM $ CRW $ NEBL $ QRL $ NLG $ ARK $ PURE $ POLL $ QSP $ QVT $ VEEpic.twitter.com/lzLaVZVh4R"
chrisblockchain,2018-05-18 20:08,79,183,"Stratis Is Set to Change the Cryptocurrency Landscape https://cryptodisrupt.com/stratis-is-set-to-change-the-cryptocurrency-landscape/ … via @ crypto_disrupt $ strat # stratis"
SludgeFeed,2018-05-17 00:54,37,95,"# Stratis CEO Chris Trew `Our foundation in C#and .NET programming broadens the world of smart contracts immediately.`... via @ craig_a_russo ( $ STRAT ) https://sludgefeed.com/stratis-launches-alpha-of-smart-contracts-in-c/ …"
