date,open,high,low,close,volume,number of trades,Syscoin SYS,sentiment
2018-04-01 00:00:00,0.00003984,0.00003990,0.00003926,0.00003926,29420.00000000,67,0.0,0.0
2018-04-01 01:00:00,0.00003926,0.00003977,0.00003845,0.00003872,181083.00000000,240,39.0,0.0
2018-04-01 02:00:00,0.00003872,0.00003897,0.00003843,0.00003869,53259.00000000,140,0.0,0.0
2018-04-01 03:00:00,0.00003869,0.00003984,0.00003796,0.00003835,340110.00000000,648,0.0,0.2240740740740741
2018-04-01 04:00:00,0.00003808,0.00003942,0.00003783,0.00003902,120541.00000000,319,0.0,0.0
2018-04-01 05:00:00,0.00003905,0.00003949,0.00003875,0.00003933,72775.00000000,115,0.0,0.0
2018-04-01 06:00:00,0.00003933,0.00003933,0.00003836,0.00003883,84184.00000000,176,75.0,0.0
2018-04-01 07:00:00,0.00003874,0.00003874,0.00003788,0.00003800,70444.00000000,171,34.0,0.0
2018-04-01 08:00:00,0.00003815,0.00003851,0.00003784,0.00003791,69144.00000000,118,32.0,0.0
2018-04-01 09:00:00,0.00003804,0.00003950,0.00003771,0.00003922,225187.00000000,269,31.0,0.4481481481481482
2018-04-01 10:00:00,0.00003921,0.00003991,0.00003905,0.00003921,153521.00000000,118,0.0,0.17045454545454544
2018-04-01 11:00:00,0.00003934,0.00003956,0.00003910,0.00003910,119611.00000000,75,0.0,0.0
2018-04-01 12:00:00,0.00003911,0.00003930,0.00003910,0.00003910,76060.00000000,62,53.0,0.0
2018-04-01 13:00:00,0.00003910,0.00003925,0.00003859,0.00003872,71638.00000000,80,25.0,0.0
2018-04-01 14:00:00,0.00003868,0.00003868,0.00003759,0.00003800,147094.00000000,180,0.0,0.0
2018-04-01 15:00:00,0.00003800,0.00003861,0.00003783,0.00003812,89569.00000000,116,23.0,0.4
2018-04-01 16:00:00,0.00003812,0.00003930,0.00003812,0.00003875,163779.00000000,197,0.0,0.0
2018-04-01 17:00:00,0.00003861,0.00003904,0.00003850,0.00003867,45441.00000000,59,23.0,0.0
2018-04-01 18:00:00,0.00003848,0.00003917,0.00003829,0.00003900,33558.00000000,76,24.0,0.0
2018-04-01 19:00:00,0.00003900,0.00003925,0.00003835,0.00003854,65019.00000000,99,0.0,0.0
2018-04-01 20:00:00,0.00003875,0.00003924,0.00003854,0.00003890,56364.00000000,118,0.0,0.0
2018-04-01 21:00:00,0.00003897,0.00003949,0.00003855,0.00003920,71098.00000000,109,0.0,0.0
2018-04-01 22:00:00,0.00003921,0.00003931,0.00003803,0.00003880,163446.00000000,189,0.0,0.0
2018-04-01 23:00:00,0.00003853,0.00003853,0.00003801,0.00003825,47643.00000000,108,37.0,0.0
2018-04-02 00:00:00,0.00003803,0.00003873,0.00003803,0.00003831,72473.00000000,138,0.0,0.0
2018-04-02 01:00:00,0.00003833,0.00003861,0.00003803,0.00003814,19217.00000000,39,0.0,0.0
2018-04-02 02:00:00,0.00003813,0.00003848,0.00003780,0.00003828,59506.00000000,109,0.0,0.0
2018-04-02 03:00:00,0.00003829,0.00003900,0.00003790,0.00003888,100758.00000000,153,0.0,0.0
2018-04-02 04:00:00,0.00003888,0.00003969,0.00003847,0.00003925,230135.00000000,366,80.0,0.0
2018-04-02 05:00:00,0.00003897,0.00003929,0.00003866,0.00003889,129618.00000000,206,0.0,0.0
2018-04-02 06:00:00,0.00003889,0.00003934,0.00003856,0.00003909,128286.00000000,225,0.0,0.0
2018-04-02 07:00:00,0.00003909,0.00003915,0.00003776,0.00003797,167409.00000000,240,0.0,0.0
2018-04-02 08:00:00,0.00003797,0.00003899,0.00003780,0.00003861,197904.00000000,259,0.0,0.0
2018-04-02 09:00:00,0.00003863,0.00004020,0.00003839,0.00004015,341994.00000000,721,0.0,0.0
2018-04-02 10:00:00,0.00004007,0.00004030,0.00003874,0.00003934,247457.00000000,418,0.0,0.0
2018-04-02 11:00:00,0.00003932,0.00004016,0.00003930,0.00003971,175110.00000000,301,25.0,0.0
2018-04-02 12:00:00,0.00003974,0.00004031,0.00003970,0.00003991,163814.00000000,367,23.0,0.0
2018-04-02 13:00:00,0.00003991,0.00004024,0.00003990,0.00003996,76058.00000000,121,21.0,0.0
2018-04-02 14:00:00,0.00004000,0.00004013,0.00003945,0.00003984,86161.00000000,178,0.0,0.0
2018-04-02 15:00:00,0.00003985,0.00003986,0.00003884,0.00003900,147333.00000000,234,0.0,0.0
2018-04-02 16:00:00,0.00003901,0.00003995,0.00003891,0.00003971,92301.00000000,190,0.0,0.0
2018-04-02 17:00:00,0.00003994,0.00004000,0.00003937,0.00003957,43993.00000000,111,0.0,0.0
2018-04-02 18:00:00,0.00003957,0.00003965,0.00003937,0.00003963,44603.00000000,81,0.0,1.0
2018-04-02 19:00:00,0.00003963,0.00003997,0.00003949,0.00003953,44686.00000000,83,0.0,0.0
2018-04-02 20:00:00,0.00003986,0.00003999,0.00003952,0.00003975,37638.00000000,118,0.0,0.0
2018-04-02 21:00:00,0.00003973,0.00003973,0.00003945,0.00003945,34544.00000000,71,0.0,0.0
2018-04-02 22:00:00,0.00003943,0.00003977,0.00003937,0.00003958,51272.00000000,94,0.0,0.0
2018-04-02 23:00:00,0.00003949,0.00003970,0.00003902,0.00003919,60006.00000000,117,0.0,0.0
2018-04-03 00:00:00,0.00003919,0.00003919,0.00003824,0.00003865,64698.00000000,136,0.0,0.0
2018-04-03 01:00:00,0.00003870,0.00003884,0.00003827,0.00003855,67593.00000000,106,0.0,0.0
2018-04-03 02:00:00,0.00003855,0.00003862,0.00003814,0.00003837,98256.00000000,196,0.0,0.0
2018-04-03 03:00:00,0.00003837,0.00003855,0.00003815,0.00003837,85651.00000000,143,71.0,0.0
2018-04-03 04:00:00,0.00003829,0.00003934,0.00003810,0.00003903,154524.00000000,290,0.0,0.0
2018-04-03 05:00:00,0.00003927,0.00003927,0.00003873,0.00003907,126162.00000000,331,0.0,0.0
2018-04-03 06:00:00,0.00003905,0.00003936,0.00003880,0.00003911,40050.00000000,105,31.0,0.0
2018-04-03 07:00:00,0.00003894,0.00003939,0.00003873,0.00003875,89839.00000000,92,0.0,0.0
2018-04-03 08:00:00,0.00003875,0.00004052,0.00003874,0.00004037,547602.00000000,501,0.0,0.4481481481481482
2018-04-03 09:00:00,0.00004037,0.00004100,0.00004036,0.00004080,349666.00000000,361,26.0,0.0
2018-04-03 10:00:00,0.00004090,0.00004124,0.00004067,0.00004073,133410.00000000,254,25.0,0.0
2018-04-03 11:00:00,0.00004076,0.00004137,0.00004067,0.00004068,100552.00000000,159,0.0,0.0
2018-04-03 12:00:00,0.00004068,0.00004125,0.00004050,0.00004056,136328.00000000,196,21.0,0.0
2018-04-03 13:00:00,0.00004070,0.00004130,0.00004056,0.00004068,148931.00000000,190,19.0,0.0
2018-04-03 14:00:00,0.00004066,0.00004066,0.00003976,0.00003976,149151.00000000,240,0.0,0.0
2018-04-03 15:00:00,0.00003981,0.00004130,0.00003964,0.00004113,155014.00000000,330,0.0,0.0
2018-04-03 16:00:00,0.00004115,0.00004250,0.00004110,0.00004182,792248.00000000,1214,0.0,0.0
2018-04-03 17:00:00,0.00004182,0.00004200,0.00004050,0.00004104,290927.00000000,718,0.0,-0.2
2018-04-03 18:00:00,0.00004103,0.00004117,0.00004020,0.00004061,133686.00000000,321,20.0,0.0
2018-04-03 19:00:00,0.00004083,0.00004115,0.00004040,0.00004115,96977.00000000,219,21.0,0.0
2018-04-03 20:00:00,0.00004114,0.00004196,0.00004065,0.00004182,100882.00000000,295,0.0,0.16
2018-04-03 21:00:00,0.00004181,0.00004182,0.00004075,0.00004080,97007.00000000,210,27.0,0.0
2018-04-03 22:00:00,0.00004081,0.00004182,0.00004065,0.00004160,40967.00000000,152,0.0,0.0
2018-04-03 23:00:00,0.00004158,0.00004158,0.00004050,0.00004073,71378.00000000,158,0.0,0.0
2018-04-04 00:00:00,0.00004075,0.00004085,0.00004042,0.00004085,39922.00000000,112,0.0,0.0
2018-04-04 01:00:00,0.00004099,0.00004131,0.00004011,0.00004037,58109.00000000,183,33.0,0.0
2018-04-04 02:00:00,0.00004066,0.00004067,0.00003976,0.00004004,91118.00000000,184,0.0,0.0
2018-04-04 03:00:00,0.00004014,0.00004014,0.00003971,0.00003982,74789.00000000,130,0.0,0.0
2018-04-04 04:00:00,0.00003982,0.00004012,0.00003961,0.00003969,61139.00000000,106,0.0,0.0
2018-04-04 05:00:00,0.00003969,0.00004028,0.00003967,0.00004000,48010.00000000,113,0.0,0.0
2018-04-04 06:00:00,0.00004001,0.00004027,0.00003985,0.00003989,37266.00000000,80,0.0,0.0
2018-04-04 07:00:00,0.00003989,0.00004003,0.00003958,0.00003968,58907.00000000,126,0.0,0.0
2018-04-04 08:00:00,0.00003982,0.00004037,0.00003980,0.00003980,91269.00000000,134,0.0,0.0
2018-04-04 09:00:00,0.00003980,0.00003980,0.00003910,0.00003918,342533.00000000,219,0.0,0.0
2018-04-04 10:00:00,0.00003924,0.00003946,0.00003900,0.00003900,84203.00000000,110,0.0,0.0
2018-04-04 11:00:00,0.00003900,0.00003920,0.00003880,0.00003919,40396.00000000,111,0.0,0.0
2018-04-04 12:00:00,0.00003919,0.00003935,0.00003891,0.00003907,13329.00000000,39,0.0,0.0
2018-04-04 13:00:00,0.00003907,0.00003945,0.00003855,0.00003917,107117.00000000,134,0.0,0.0
2018-04-04 14:00:00,0.00003940,0.00003944,0.00003862,0.00003899,91746.00000000,123,0.0,0.0
2018-04-04 15:00:00,0.00003915,0.00003920,0.00003854,0.00003855,76185.00000000,154,0.0,0.0
2018-04-04 16:00:00,0.00003855,0.00003914,0.00003850,0.00003906,100794.00000000,166,0.0,0.0
2018-04-04 17:00:00,0.00003906,0.00003914,0.00003861,0.00003890,71445.00000000,270,20.0,0.0
2018-04-04 18:00:00,0.00003886,0.00003901,0.00003861,0.00003861,47391.00000000,218,0.0,0.0
2018-04-04 19:00:00,0.00003882,0.00003882,0.00003850,0.00003857,93888.00000000,131,0.0,0.0
2018-04-04 20:00:00,0.00003881,0.00003896,0.00003860,0.00003890,25678.00000000,66,0.0,0.625
2018-04-04 21:00:00,0.00003885,0.00003902,0.00003856,0.00003886,28587.00000000,55,55.0,0.0
2018-04-04 22:00:00,0.00003887,0.00003916,0.00003880,0.00003892,35914.00000000,54,0.0,0.0
2018-04-04 23:00:00,0.00003892,0.00003912,0.00003850,0.00003859,72800.00000000,64,0.0,0.0
2018-04-05 00:00:00,0.00003869,0.00003914,0.00003865,0.00003914,18836.00000000,28,0.0,0.0
2018-04-05 01:00:00,0.00003912,0.00003912,0.00003870,0.00003872,12207.00000000,18,0.0,0.0
2018-04-05 02:00:00,0.00003880,0.00003912,0.00003869,0.00003883,10478.00000000,33,0.0,0.175
2018-04-05 03:00:00,0.00003880,0.00003943,0.00003873,0.00003942,20976.00000000,43,0.0,0.25
