username,date,retweets,favorites,text
egbertleutscher,2018-05-31 23:31,27,55,"In SYS we Trust. # Liberty @ syscoin @ BlockchainDanpic.twitter.com/4EAPw5cRzE"
syscoin,2018-05-30 20:12,763,357,"A step-by-step guide to Creating a # Syscoin # Alias with Syscoin-QT 3.0.4.1: http://j.mp/2H8b3ks # fintech # blockchain $ SYS pic.twitter.com/tHAmpV18Ky"
syscoin,2018-05-30 19:03,91,128,"Great news from @ CoinPaymentsNET for # Syscoin Users!In an effort to include more users & maximize the distribution & adoption of # CPSCoin, # CoinPayments have extended the @ syscoin snapshot & # airdrop deadline to July 1,2018 http://j.mp/2IV9Imw $ CPS # blockchain # fintech $ SYS pic.twitter.com/TOG8DML9C2"
syscoin,2018-05-29 21:44,363,197,"# Syscoin # Community Weekly Update #2 ! See what's going on with @ syscoin and its community! Brought to you by the Syscoin Community Marketing Team ( @ syscoincmt). Check it out: http://j.mp/2IXOrcd # fintech $ SYS pic.twitter.com/hD13i60soE"
The_Blocknet,2018-05-23 20:19,59,103,"Check out our # interview with @ syscoin about the cross-blockchain era! # Syscoin's tech has infinite use-cases in cross-chain ecosystems $ SYS + # Blockmarket + # Blocknet # Protocol + # BlockDX # DecentralizedExchange = endless possibilities!https://www.youtube.com/watch?v=MhZ4V3GIcoo …"
moonmining26,2018-05-18 01:03,0,0,"Top/Flop Coin : Min/Max 7 day : $ DASH (Dash) -10.14% / $ DCR (Decred) 3.71% Min/Max 24 hour : $ STORM (Storm) -1.53% / $ SYS (Syscoin) 9.0% Min/Max 7 day : $ GXS (GXChain) -0.09% / $ DGD (DigixDAO) 4.05%"
_mn_o_,2018-05-16 21:41,22,51,"Syscoin $ SYS has been added to the # MNO platform. https://masternodes.online/currencies/SYS/  Monitoring enabled Accurate stats # masternodes # masternode # MNO # Crypto # cryptocurrency # Altcoins # Syscoin pic.twitter.com/X6gtb5YJSp"
NODEshare,2018-05-14 13:30,14,33,"NODEshare has added $ SYS to our Hosting Services! Order Form: https://www.nodeshare.in/product/syscoin-masternode-hosting/ … Our free Setup Guide for the Syscoin community: https://www.nodeshare.in/syscoin-masternode-hosting/ … # Masternodes # MNO Devs please list on http://masternodes.online  so all investors can monitor their $ SYS # Masternodepic.twitter.com/Dro2u2PM4W"
Krypton_Heights,2018-05-14 10:55,22,39,"Today is the day @ BlockFoundry - $ BCFN, and by association @ Syscoin - $ Sys take their a major step towards platform growth. Being listed on a traditional stock exchange increases transparency and legitimacy for new investors. HUGE Milestone!!! https://www.newswire.ca/news-releases/blockchain-foundry-inc-to-commence-trading-on-canadian-securities-exchange-682270582.html …"
coinspotau,2018-05-14 06:55,23,115,"Syscoin (SYS) has just been listed! pic.twitter.com/ol3wCOobjO"
The_Blocknet,2018-05-11 15:38,84,149,"Day5|Coin11 - # Syscoin can now # power cross-blockchain # dApps with # Blocknet integration! @ syscoin will bring # decentralized marketplaces to new # ecosystems in the # dApp # revolution http://blocknet.co  + Trade $ SYS on new # BlockDX # DecentralizedExchange dApp # coinadaypic.twitter.com/0RYv0GKHic"
sebschepis,2018-05-10 16:14,26,63,"Blockchain Foundry stock starts trading on the Canadian Stock Exchange on May 14th! @ BlockFoundry $ SYS # syscoin https://www.newswire.ca/news-releases/blockchain-foundry-inc-to-commence-trading-on-canadian-securities-exchange-682270582.html …"
JohnSyscoin,2018-05-08 16:26,17,56,". @ syscoin Masternodes running perfectly rewards flowing in # masternodes $ sys # Syscoin @ BlockFoundry with an easy setup https://www.justinsilver.com/technology/cryptocurrency/syscoin-3-0-masternode-configuration/ …pic.twitter.com/qgBabN9mst"
densewave,2018-05-01 21:26,38,53,"Syscoin masternodes will give the ability to create cross between DPOS (EOS) and Casper POS (Eth). A deterministic list of future payees used as validators gaining best of both worlds without sacrificing sticky points of EOS/Eth. # syscoin # sys # eth # eos # btc # bitcoinpic.twitter.com/Vo0tjJ2Ry8"
flyp_me,2018-04-30 19:20,131,113,"We wanted to inform the community that $ SYS @ syscoin is temporarely offline on http://Flyp.me  It will be back online soon in its 3.0 version. Thank you all for the patience.pic.twitter.com/GwF6A5TMTP"
UPbitExchange,2018-04-28 12:05,98,94,"Syscoin 3.0 Upgrade Support: $ SYS / BTC market transactions will be temporally closed. @ Syscoin snapshot will be on the 683,412th block creation point, which is expected to be April 30, 2018. ( Coins will be swapped in 1:1 quantity )"
Margare30926081,2018-04-25 13:05,0,0,"SysCoin (SYS) plunges -2.36% on April 24-..."
sebschepis,2018-04-24 15:34,71,196,"Finally, Ledger! Syscoin has officially been added to the Ledger hardware wallet roadmap. Thank you, @ LedgerHQ !! $ SYS"
block_talk,2018-04-07 02:56,694,277,"Live presentation from @ syscoin's Blockchain Foundry $ SYS http://youtu.be/NzywYTHbKPU"
Vindyne8,2018-05-31 20:42,9,10,"# Syscoin - Watch video tutorials for Blockmarket: World's First Blockchain-Based Decentralized Marketplace! http://bit.ly/2n4JeVa # blockchain $ SYS # marketplacepic.twitter.com/kPW2ptx6eW"
Vindyne8,2018-05-31 15:41,9,11,"# Technical Blog Post: # Syscoin Indexing Service: Syscoin 3.0 introduces a suite of new tools for creating custom # blockchain applications! http://bit.ly/2ruCShU # fintech # bitcoin # dApp $ SYS pic.twitter.com/6uSqVfY58a"
sys_whale,2018-05-31 06:01,13,28,"The snapshot of @ CoinPaymentsNET CPS coin has been extended till 1st of July. This is to give users ample time for when @ syscoin Block Market 3.0 releases, to create aliases and store their syscoin in said aliases. https://blog.coinpayments.net/announcements/syscoin-airdrop-date-extended-to-july-1-2018 …"
Vindyne8,2018-05-30 15:43,10,12,"Instructions for Upgrading to # Syscoin 3 / Syscoin 3.0.1 Release http://bit.ly/2jsBQ16 # fork # fintech # bitcoin # blockchain $ SYS pic.twitter.com/O784mRY7z0"
Crypto_Maurice,2018-05-30 11:37,12,23,"https://coinpaymentscoin.com/  CPS AirDrop snapshot on 1 July in place of 1 June # syscoin @ syscoin # sys # blockmarket # payment # security # Blockchain $ SYS $ ETH $ ETC $ STRAT buy Syscoin make an alias then receive free CPS coins pic.twitter.com/n4z4xtVhnZ"
Vindyne8,2018-05-30 10:59,11,11,"The # Australia community can now buy # Syscoin securely with # FIAT($AUD: # Australian Dollar) at # Coinspot ( @ coinspotau) - Coinspot has instant delivery, easy verification and are members of the ACDA ( @ adcatweets). http://bit.ly/2L0zumX # fintech # bitcoin # crypto # altcoins $ SYS pic.twitter.com/fdbsHMSHVP"
SludgeFeed,2018-05-23 02:20,7,14,"# Syscoin ( $ SYS ) Tackles # Blockchain Business Applications With Latest Hard Fork...via @ craig_a_russohttps://sludgefeed.com/syscoin-tackles-blockchain-business-apps-with-hard-fork/ …"
BlockchainDan,2018-05-21 02:16,16,32,"@ syscoin community showing their in the first official weekly update post! This is just the beginning! $ SYS https://medium.com/@communitysyscoin/syscoin-weekly-update-20-may-2018-aa704ac84522 …"
bstr156,2018-05-21 00:05,16,27,"https://medium.com/@communitysyscoin/syscoin-weekly-update-20-may-2018-aa704ac84522 … @ SYSCOIN COMMUNITY WEEKLY UPDATES! Very good. Syscoin events are unfolding quickly. This is very much needed by both SYS investors and the crypto community as a whole to better understand current events and future trajectory of the project."
RoboBaron,2018-05-16 00:55,15,43,"Apologies to @ sebschepis aka David for confusing his name today at # consensus2018. Little known fact is that David means 'Beloved', so I can only assume it's because @ syscoin is so dear to us here @ The_Blocknet! ^_^ $ SYS # SYSCOIN Exciting collaboration times!"
RoboBaron,2018-05-16 00:49,9,28,"Gangs of @ The_Blocknet up in NYC # Consensus2018. I'm butchering the English language with my Australian accent in interviews with some of my fav # blockchain projects: @ syscoin $ SYS # syscoin @ decredproject $ DCR # Decred @ zencashofficial $ ZEN # zencash # Blocknet. More tomorrow!!pic.twitter.com/GpbF8804wV"
sys_whale,2018-05-14 14:49,27,54,"Congrats to the @ syscoin and @ BlockFoundry team for opening on the Canadian Securities Exchange ( @ CSE_News) at $0.50 today! # crypto # first # stocks http://thecse.com/en/listings/technology/blockchain-foundry-inc …"
Krypton_Heights,2018-05-13 12:26,16,25,"Tomorrow is the big day. Blockchain Foundry being listed on Canadian Stock Exchange. I expect this to bring in tons of capital, allowing the @ syscoin team to kick development into overdrive. Already have a solid platform. Expecting huge movement on $ sys in the coming months. https://twitter.com/Krypton_Heights/status/995114547336957952 …"
Krypton_Heights,2018-05-12 01:32,14,35,"Possible scenario on @ syscoin next week. On traditional stock exchanges the mere mention of blockchain can send stock soaring. Blockmarket (syscoin parent) is being listed the Canadian Stock Exchange on 5/14. There is a good chance of a massive runup and $ sys could ride the wave"
litebiteu,2018-05-10 10:58,28,65,"New cryptocurrency Alert! @ LiteBiteu Lists Syscoin And yes, with a LiteBit hosted wallet! @ syscoin $ SYS # Syscoin # litebit # coin # cryptocurrency # blockchain Buy Syscoin here: https://www.litebit.eu/en/buy/syscoin  pic.twitter.com/mFzojkRIsC"
crypto_kitsune,2018-05-09 08:32,19,74,"日本人がそんなに気にしていないけど海外では結構話題になる銘柄置いておきますね $ DBC (Deep Brain Chain) $ REQ (Request Network) $ POWR (Power Ledger) $ TRAC (Origin Trail) $ PRL (Oyster Pearl) $ CRED (Verify) $ SYS (Syscoin) $ GMT (Mercury Protocol) $ RLC (iExec RLC)"
RaceredFree,2018-04-28 05:05,30,49,"Large amounts of sys are being taken off market. The MN voting will create a self incentivised marketing machine. Ico's will be stating @ syscoin network. Airdrops for holding sys. A team that's growing unlike we have ever seen. Blockmarket web, just around the corner. # sys"
El_Crypto_Chapo,2018-04-25 11:17,17,27,"I feel like @ syscoin is completely under the radar right now. One of the highest T/sec, working wallet, marketplace, serves as an ICO platform, and has created an “easy button” for token creation. Oh yeah....masternodes in less than a week is the cherry on top $ SYS https://twitter.com/syscoin/status/988914720982761472 …"
