date,open,high,low,close,volume,number of trades,TRON TRX,sentiment
2018-04-01 00:00:00,0.00000490,0.00000496,0.00000486,0.00000487,54873151.00000000,3065,59.0,0.17337770562770563
2018-04-01 01:00:00,0.00000486,0.00000494,0.00000485,0.00000493,37190401.00000000,2551,51.0,0.10984848484848486
2018-04-01 02:00:00,0.00000493,0.00000498,0.00000490,0.00000491,45245621.00000000,2517,52.0,0.16666666666666666
2018-04-01 03:00:00,0.00000492,0.00000494,0.00000490,0.00000492,21302381.00000000,1392,50.0,0.0
2018-04-01 04:00:00,0.00000492,0.00000497,0.00000490,0.00000495,29062573.00000000,1714,40.0,0.0
2018-04-01 05:00:00,0.00000495,0.00000495,0.00000493,0.00000493,19400690.00000000,1272,41.0,0.0
2018-04-01 06:00:00,0.00000493,0.00000495,0.00000482,0.00000484,61757161.00000000,3184,40.0,0.0
2018-04-01 07:00:00,0.00000485,0.00000485,0.00000465,0.00000472,124818697.00000000,7220,44.0,0.0
2018-04-01 08:00:00,0.00000471,0.00000474,0.00000467,0.00000470,53440078.00000000,2936,33.0,0.0
2018-04-01 09:00:00,0.00000470,0.00000470,0.00000462,0.00000466,59457787.00000000,3435,32.0,0.0
2018-04-01 10:00:00,0.00000467,0.00000470,0.00000464,0.00000467,34619538.00000000,2319,36.0,0.0
2018-04-01 11:00:00,0.00000468,0.00000470,0.00000452,0.00000455,74041589.00000000,4016,34.0,0.0
2018-04-01 12:00:00,0.00000455,0.00000466,0.00000451,0.00000465,97034840.00000000,5425,41.0,0.0
2018-04-01 13:00:00,0.00000464,0.00000465,0.00000443,0.00000446,110268250.00000000,6213,40.0,0.0
2018-04-01 14:00:00,0.00000446,0.00000450,0.00000436,0.00000447,170158169.00000000,7631,40.0,-0.03571428571428571
2018-04-01 15:00:00,0.00000448,0.00000455,0.00000442,0.00000442,103755157.00000000,4994,36.0,0.16666666666666666
2018-04-01 16:00:00,0.00000444,0.00000488,0.00000442,0.00000478,302767262.00000000,14193,36.0,0.30000000000000004
2018-04-01 17:00:00,0.00000479,0.00000481,0.00000464,0.00000469,144757085.00000000,6401,29.0,0.0
2018-04-01 18:00:00,0.00000467,0.00000474,0.00000461,0.00000466,66389629.00000000,3608,33.0,0.0
2018-04-01 19:00:00,0.00000467,0.00000479,0.00000465,0.00000476,111444878.00000000,5228,37.0,0.40277777777777773
2018-04-01 20:00:00,0.00000476,0.00000476,0.00000467,0.00000470,67459529.00000000,3382,34.0,-0.02121212121212122
2018-04-01 21:00:00,0.00000469,0.00000474,0.00000463,0.00000468,64709172.00000000,2994,34.0,0.0
2018-04-01 22:00:00,0.00000468,0.00000470,0.00000462,0.00000466,31158264.00000000,1813,43.0,0.0
2018-04-01 23:00:00,0.00000465,0.00000475,0.00000464,0.00000473,36631599.00000000,2323,45.0,0.0
2018-04-02 00:00:00,0.00000472,0.00000477,0.00000468,0.00000474,51344774.00000000,2572,38.0,0.1761904761904762
2018-04-02 01:00:00,0.00000474,0.00000475,0.00000468,0.00000470,37209510.00000000,1876,34.0,0.0
2018-04-02 02:00:00,0.00000470,0.00000471,0.00000466,0.00000466,24857718.00000000,1471,33.0,0.08
2018-04-02 03:00:00,0.00000466,0.00000471,0.00000466,0.00000468,26486814.00000000,1429,38.0,0.0
2018-04-02 04:00:00,0.00000470,0.00000471,0.00000456,0.00000460,58209324.00000000,3192,36.0,0.5
2018-04-02 05:00:00,0.00000461,0.00000463,0.00000456,0.00000458,44604034.00000000,2261,28.0,0.0
2018-04-02 06:00:00,0.00000458,0.00000458,0.00000443,0.00000450,91324449.00000000,4817,32.0,0.0
2018-04-02 07:00:00,0.00000450,0.00000455,0.00000448,0.00000452,43763189.00000000,2443,22.0,0.0
2018-04-02 08:00:00,0.00000452,0.00000454,0.00000448,0.00000451,30084821.00000000,1977,23.0,0.4464962121212121
2018-04-02 09:00:00,0.00000451,0.00000457,0.00000450,0.00000456,34397726.00000000,1815,20.0,0.0
2018-04-02 10:00:00,0.00000457,0.00000465,0.00000455,0.00000457,58029936.00000000,4028,25.0,0.22825757575757577
2018-04-02 11:00:00,0.00000456,0.00000460,0.00000454,0.00000459,30375099.00000000,1792,25.0,0.0
2018-04-02 12:00:00,0.00000459,0.00000461,0.00000456,0.00000458,26773337.00000000,1819,27.0,0.0
2018-04-02 13:00:00,0.00000457,0.00000459,0.00000453,0.00000458,38776919.00000000,2153,29.0,0.0
2018-04-02 14:00:00,0.00000457,0.00000469,0.00000457,0.00000469,55077676.00000000,3397,30.0,0.0
2018-04-02 15:00:00,0.00000469,0.00000506,0.00000465,0.00000491,537892738.00000000,22892,37.0,0.0
2018-04-02 16:00:00,0.00000491,0.00000496,0.00000481,0.00000482,157603030.00000000,7116,32.0,0.0
2018-04-02 17:00:00,0.00000483,0.00000486,0.00000474,0.00000486,122514672.00000000,6073,29.0,0.0
2018-04-02 18:00:00,0.00000485,0.00000494,0.00000483,0.00000486,93184092.00000000,5327,32.0,0.25
2018-04-02 19:00:00,0.00000487,0.00000489,0.00000483,0.00000484,32359283.00000000,2432,33.0,0.08380681818181818
2018-04-02 20:00:00,0.00000484,0.00000493,0.00000483,0.00000493,48742012.00000000,2735,35.0,0.25
2018-04-02 21:00:00,0.00000492,0.00000496,0.00000485,0.00000488,83420945.00000000,4352,35.0,0.0
2018-04-02 22:00:00,0.00000489,0.00000497,0.00000488,0.00000495,84979106.00000000,3574,37.0,0.0
2018-04-02 23:00:00,0.00000496,0.00000510,0.00000494,0.00000508,114102997.00000000,5965,43.0,0.0
2018-04-03 00:00:00,0.00000508,0.00000511,0.00000484,0.00000487,168719156.00000000,7438,36.0,0.0
2018-04-03 01:00:00,0.00000486,0.00000490,0.00000477,0.00000479,76027997.00000000,3972,33.0,0.0
2018-04-03 02:00:00,0.00000478,0.00000483,0.00000472,0.00000478,78494378.00000000,4171,28.0,0.0
2018-04-03 03:00:00,0.00000478,0.00000484,0.00000476,0.00000476,43422956.00000000,2692,36.0,0.0
2018-04-03 04:00:00,0.00000476,0.00000484,0.00000473,0.00000480,77602900.00000000,3708,34.0,0.0
2018-04-03 05:00:00,0.00000480,0.00000482,0.00000476,0.00000478,39723072.00000000,2352,29.0,0.0
2018-04-03 06:00:00,0.00000477,0.00000480,0.00000473,0.00000477,35602166.00000000,2540,20.0,0.0
2018-04-03 07:00:00,0.00000478,0.00000478,0.00000466,0.00000473,67964181.00000000,4510,20.0,0.0
2018-04-03 08:00:00,0.00000473,0.00000477,0.00000466,0.00000477,60320305.00000000,3879,21.0,0.0
2018-04-03 09:00:00,0.00000477,0.00000477,0.00000469,0.00000471,30457096.00000000,2206,18.0,0.0
2018-04-03 10:00:00,0.00000470,0.00000473,0.00000467,0.00000470,37869633.00000000,2354,22.0,0.0
2018-04-03 11:00:00,0.00000470,0.00000471,0.00000465,0.00000466,39626260.00000000,2421,23.0,0.0
2018-04-03 12:00:00,0.00000466,0.00000470,0.00000457,0.00000460,90205356.00000000,5378,25.0,0.0
2018-04-03 13:00:00,0.00000460,0.00000487,0.00000459,0.00000478,182744523.00000000,10546,24.0,0.5
2018-04-03 14:00:00,0.00000478,0.00000479,0.00000472,0.00000477,69845889.00000000,3689,23.0,0.32435515873015874
2018-04-03 15:00:00,0.00000477,0.00000477,0.00000464,0.00000466,65281863.00000000,4048,28.0,0.0
2018-04-03 16:00:00,0.00000466,0.00000472,0.00000463,0.00000466,53994234.00000000,3633,23.0,0.18854166666666666
2018-04-03 17:00:00,0.00000466,0.00000472,0.00000465,0.00000467,45260716.00000000,2837,25.0,0.14444444444444443
2018-04-03 18:00:00,0.00000467,0.00000469,0.00000462,0.00000464,58914645.00000000,3443,20.0,0.0
2018-04-03 19:00:00,0.00000464,0.00000472,0.00000457,0.00000466,122719143.00000000,7140,27.0,0.0
2018-04-03 20:00:00,0.00000465,0.00000468,0.00000461,0.00000467,51495275.00000000,3107,30.0,0.0
2018-04-03 21:00:00,0.00000467,0.00000477,0.00000465,0.00000475,71622807.00000000,4021,32.0,0.6666666666666666
2018-04-03 22:00:00,0.00000476,0.00000480,0.00000469,0.00000471,65330929.00000000,3918,33.0,0.0
2018-04-03 23:00:00,0.00000472,0.00000475,0.00000466,0.00000468,55185709.00000000,2630,28.0,0.0
