username,date,retweets,favorites,text
_coin_otaku_,2018-05-31 14:59,24,37,"時価総額ランキング上位の注目の仮想通貨ヴィチェーン（VeChain,VEN）について詳しく解説！ # VEN # ヴィチェーンhttps://coin-otaku.com/topic/18670"
Tha_messengerr,2018-05-30 16:24,37,165,"$ VEN A lot of these huge Chinese companies who are partners with VeChain, are owned/working with the Chinese Government. Why would they work together if it’s not regulated in China? I tell you,VeChain is the only one who is capable to be regulated https://www.cnbc.com/2018/05/30/chinese-president-xi-jinping-calls-blockchain-a-breakthrough-technology.html …"
KryptoWiki,2018-05-30 10:58,0,0,"Vechain verkündete vor ein paar Tagen bereits eine Partnerschaft mit einem großen Unternehmen. Steht nach dem Mainnet Release ein noch größerer Deal an? # vechain # ven # vethttps://buff.ly/2IVZnTf"
BangCryptoBang,2018-05-30 02:32,10,68,"A perfect use case for vechain’s hardward and IoT solutions, and its a testimonial of the industry agreeing with the vision of @ mustangchain. # professionalblockchain Lets go. $ MUST $ VEN $ VET $ BTChttps://twitter.com/mustangchain/status/1001483665740877825 …"
mTradingMedia,2018-05-30 02:15,11,16,"Congrats to those that invested in # DBET & # VEN ..... http://DECENT.bet  Engages in a Strategic Partnership with VeChain Will Become the First Mainnet Launched on the VeChainThor Platform https://medium.com/@decentbet2017/decent-bet-engages-in-a-strategic-partnership-with-vechain-6b2d4bbd14c7 …"
RandyHilarski,2018-05-29 15:28,18,38,"DECENTBet is Going to Run on the VeChain Thor Blockchain! @ Decent_Bet @ Vechainofficial # Crypto # CryptoCurrency $ VEN $ DBET # Vechain https://steemit.com/crypto/@hilarski/is-decentbet-going-to-run-on-the-vechain-thor-blockchain …pic.twitter.com/Ebr2P2yPtF"
CryptoLeee,2018-05-29 15:07,3,47,"First port to $ VEN ecosystem! The first of hopefully many many more. Awesome things happening once again. GJ # VeChain! https://twitter.com/Decent_Bet/status/1001468248490033152 …"
vechaininsider,2018-05-29 14:44,13,65,"Online casino $ dbet decided to transition to the # vechain blockchain after being frustrated with # ethereum and seeing Vechain's superior blockchain solution. VeChain has a team dedicated to help projects make the transition and become Thor powered! $ ven $ neo $ ethhttps://twitter.com/vechainofficial/status/1001470797414715392 …"
bsc44_x,2018-05-28 09:11,31,99,"I have converted the # VeChain Development Plan & # Whitepaper to @ Medium format. https://medium.com/@bsc44/vechain-development-plan-whitepaper-bccc3c255082 … $ VET # VET $ VEN # VEN $ VTHO # VTHO # VeChainThor $ ETH # ETH $ NEO # NEO $ IBM @ vechainofficial @ sunshinelu24 @ VeChain_GU @ kfeng027 @ BangCryptoBang # Blockchain # Technology # Crypto"
mTradingMedia,2018-05-27 12:00,10,26,"Disclaimer that # VEN (VeChain) & # DBET (DecentBet) are the only Altcoins at the moment that we are invested in. What we look for in any altcoin investments are good strong technology & senior level mgmt team backed by a major Venture Capital Firm.pic.twitter.com/A7s7hUmbrX"
