username,date,retweets,favorites,text
AureumVictoria,2018-05-29 13:48,0,2,"Wann steigt Bitcoin wieder? - Nächster Bull Run im Juli? - [deutsch] - Das Ende der Talfahrt... $ BTC $ ETH $ ETC $ BCH $ LTC $ DASH $ XRP $ NEO $ WAVES $ DOGE $ COVAL $ XVG # crypto # Altcoins # blockchain # trading $ GRS $ NAV # Wanchain # WAN # Electra # ECA # Viacoinhttps://youtu.be/wzHQwrlk0Xo"
CryptoStatsBot,2018-05-28 02:00,0,0,"Biggest Losers (1 hr) GXChain $ GXS -2.85% eosDAC $ EOSDAC -2.16% WaykiChain $ WICC -2.01% Factom $ FCT -1.83% Wanchain $ WAN -1.74%"
wanchain_org,2018-05-27 12:23,89,400,"We are pleased to announce a meetup in Paris on the 29th of May. Click here to register: https://www.meetup.com/fr-FR/Wanchain-Paris-Meetup/ … $ WAN # ethereum # bitcoin # wanchain # wan # wanchain_org # interoperability # wanlab # technicalpic.twitter.com/ynvJSsGpzR"
wanchain_org,2018-05-25 15:54,80,353,"Wanchain is excited to now be a part of the Blockfolio community! Follow $ WAN for ‘Signal’ updates directly from our leadership and marketing team. pic.twitter.com/Y8B3jpV9Qj"
bullishgentlemn,2018-05-25 02:12,94,408,"Since I’ve seen no posts I’ll go ahead and tweet, WANCHAIN 2.0 being released in matter of days. $ WAN"
AureumVictoria,2018-05-23 21:58,0,3,"Airdrops - Was muss man beachten? Scam oder legit? Vorsicht ist geboten! Wo sind RedFlags? $ BTC $ ETH $ ETC $ BCH $ LTC $ DASH $ XRP $ NEO $ WAVES $ DOGE $ COVAL $ XVG # crypto # Altcoins # blockchain # trading $ GRS $ NAV # Wanchain # WAN # Electra # ECA # Viacoinhttps://youtu.be/Kuu23Nw_obY"
bullishgentlemn,2018-05-21 23:13,34,172,"Wanchain 2.0 Alpha Testnet Registration is Now LIVE!! $ WAN https://twitter.com/bullishgentlemn/status/998343054573453312 …"
ByteSizeCapital,2018-05-21 21:49,50,137,"The Alpha TestNet for $ WAN 2.0 has launched. On public deployment, @ wanchain_org's MainNet will support private, cross-chain transactions with $ ETH.pic.twitter.com/14v1ZMVKhk"
wanchain_org,2018-05-20 13:11,90,338,"Join us for the first Wanchain meetup in Vietnam feat. # WAN representatives Bryan and Mark. Details: 7pm-9pm, 22nd May 2018 at the Up Co-working Space in Ho Chi Minh. # wanchain # vietnam # crypto # blockchain # ethereum # eth # bitcoin # btcpic.twitter.com/kGwPGNEhEh"
BluesCrypto,2018-05-17 20:35,33,248,"$ WAN buy opportunity looming around. Clearly oversold and due for a bounce , grabbing a position sub 70k sats might turn out to be a good play. FA wise WANCHAIN is a blue chip. pic.twitter.com/ZyWw4sBwD8"
AureumVictoria,2018-05-16 11:34,0,3,"# Cryptohopper - Was machen bei # Verlusten - # deutsch # ger - # Krypto Verluste im # Bärenmarkt $ BTC $ ETH $ ETC $ BCH $ LTC $ DASH $ XRP $ NXT $ WAVES $ DOGE $ COVAL $ XVG # crypto # Altcoins # blockchain # trading $ GRS $ AMP $ NAV # Wanchain # WAN # Electra # ECAhttps://youtu.be/Z7ugfIDC5Rs"
rabia3497,2018-05-12 16:03,47,81,"Sadece bitcoin ile al-sat yapanlar daha çok kazanıyor gibi 48 saat %11 gayet iyi # hilbetveriyor # Wanchain # WAN $ WAN # Siacoin # SC $ SC # Neblio # NEBL $ NEBL # Elastos # ELA $ ELA # OceanChain # OC $ OC # POA $ POA # Stratis # STRAT $ STRAT # BitShares # BTS $ BTS # Dogecoin # DOGE $ DOGE $ ARK $ YOYOpic.twitter.com/F0B1poyUz5"
ByteSizeCapital,2018-05-06 00:20,46,104,"$ WAN 2.0 is on track for public deployment in June: 1) Beginning of May -> closed Alpha TestNet release 2) Beginning of June -> open Beta TestNet release. Private cross-chain transactions between @ wanchain_org & $ ETH are coming.pic.twitter.com/PTBzJWyl8b"
wanchain_org,2018-05-03 17:56,341,1003,"We are pleased to announce that (WAN) is listed on Huobi. Deposits will be available from 11:00, May 3 (GMT+8) Trading will be available from 11:00, May 4, 2018 (GMT+8) For more details, refer to: https://www.huobipro.com/zh-cn/notice_detail/?id=1440 … # wanchain # wan # HuobiPro # eth # btc # rebuildingFinance"
Huobi_Pro,2018-05-03 03:48,106,250,"Launch of WanChain (WAN) in Huobi Pro Deposits will be available from 11:00, May 3 (GMT+8). Trading will be available from 11:00, May 4, 2018 (GMT+8). [WAN Trading Campaign Rewards for TOP50] Top prize of 1,500WAN to be won! More details, refer to https://www.huobipro.com/notice_detail/?id=1441 …"
Oly245,2018-05-01 18:18,20,136,"Wanchain flying currently. Still time to enter think up to $100 EOY. Follow me for the next big ICO. If you want to get involved with crypto now is the time. $ ICX $ WAN $ BTC $ ETH $ TRX $ ADA $ LTC $ ETC $ EOS $ ZILpic.twitter.com/hwjxlHiBJW"
joshsawyer,2018-04-29 03:11,68,341,"Best crypto projects IMO: Bitcoin $ BTC Wanchain $ WAN SophiaTX $ SPHTX Waltonchain $ WTC Matrix AI Network $ MAN Vechain $ VEN Icon $ ICX"
kryptonewsde,2018-04-13 14:41,0,0,"Der aktuelle Wanchain Kurs (WAN) http://bit.ly/2vcEyk7"
mbc_medical,2018-05-23 14:11,8,32,"Wanchainの件 辞任するdustinは技術者ではないので、まぁいいのでは？という感じ。 jackが辞めたら、は！？ってなるけど。 Wanのエコシステムを引っ張るプロジェクトにつくとのことで、スローガンに関係する金融系プロジェクトの旗降りをしてくれることを願う。 旅行やゲームとか頼むから言わないで。"
ByteSizeCapital,2018-05-22 22:13,16,47,"The DNS allows users to navigate the web without IP addresses. Similarly, blockchain name service's link public keys to human-readable addresses: 1) $ WAN -> @ wanchain_org Name Service 2) $ NEO -> @ NeoNameService 3) $ ETH -> Ethereum Name Service. Critical to mass adoption.pic.twitter.com/AZHUPprHWL"
cryptomocho,2018-05-21 22:56,19,79,"# Phore $ phr compared with other platforms (yes, thats right... PLATFORMS!) # neo $ neo # icon $ ICX # stratis $ strat # wanchain $ wan # neblio $ neblpic.twitter.com/QdGU8Czj0F"
satoshi_guru,2018-05-21 16:06,9,50,"$ WAN Update (5/21): Follow through on the bear flag downward break as mentioned last night. # wanchain pic.twitter.com/ZvzRioYPPn"
krypto_max,2018-05-21 12:31,103,205,"What we can expect in the next 6 weeks: $ NEX ICO $ ICX DEX Launch $ EOS EOSIO 1.0 Release $ WAN Wanchain 2.0 $ ONT Mainnet/ID Release $ MIOTA Qubic Details $ TRAC Explorer Release v0.9 $ BTS Hard Fork/Mainnet $ TRX Migration from ERC20 $ FSN Mainnet $ WABI Walimai Masternodes and more !pic.twitter.com/YxMGAFhVGx"
bullishgentlemn,2018-05-20 23:21,13,56,"What do you think will happen to $ WAN price when Wanchain 2.0 is released and is interoperable with all ERC-20 tokens?? Asking for a friend . . ."
AureumVictoria,2018-05-18 19:50,0,3,"Cryptohopper Trial abgelaufen Welchen Hopper kaufen deutsch Subscription kaufen Anleitung 7 $ BTC $ ETH $ ETC $ BCH $ LTC $ DASH $ XRP $ NEO $ WAVES $ DOGE $ COVAL $ XVG # crypto # Altcoins # blockchain # trading $ GRS $ NAV # Wanchain # WAN # Electra # ECA # Viacoin # VIAhttps://youtu.be/y66NgGeqFhY"
TheCryptoZombie,2018-05-14 21:25,15,134,"Look who I found... @ wanchain_org $ WAN pic.twitter.com/kRTHvL4KY1"
mmaboxing1990,2018-05-14 08:41,18,107,"My top 5 bullish projects, In order. 1 - $ BTC Bitcoin. 2 - $ BPT Blockport. 3 - $ WAN Wanchain. 4 - $ ZIL Zilliqa. 5 - $ ICX Icon. 6 - $ TRAC OriginTrail. 7 - $ STRAT Stratis. 8 - $ WTC Waltonchain. 9 - $ SPHTX SophiaTX 10 - $ ELA Elastos. Thoughts? Send me your top 10. Nice one."
Crypto_Ed_NL,2018-05-13 22:28,7,82,"So, a FORMER CIO of a Pension Fund of GM joined the Wanchain's Executive Committee and the shilling machines start talking about a WAN/GM partnership..... Come on guys, you can do better"
crypt0whale,2018-05-12 05:25,6,76,"So this random monk came up to me and advised me to HODL $ WAN because moon. IRL indicators supersede FA and TA. @ wanchain_org $ CRYPTOpic.twitter.com/aFW9TuKYy0"
cryptoaraz,2018-05-08 15:17,14,41,"`NIX: A recently announced project that is ahead of Wanchain” https://medium.com/@cryptoaraz/nix-a-recently-announced-project-that-is-ahead-of-wanchain-e4169e1c56fc … @ nixplatform @ wanchain_org $ NIX $ WAN $ ZOI"
Danceforce85,2018-05-07 21:48,8,69,"Some of the best projects: $ WAN wanchain, $ ICX Icon, $ ELA Elastos, $ ZCO Zebi, $ CPX Apex"
iiblockchain,2018-05-04 17:39,21,34,"Top 5 # Cryptocurrency Projects To Watch In May 2018: 1. # Ravencoin $ RVN 2. # ICON $ ICX 3. # Golem $ GNT 4. # Wanchain $ WAN 5. # Auctus $ AUC # Blockchain # Cryptocurrencieshttps://www.investinblockchain.com/cryptocurrency-projects-may-2018/ …"
