date,open,high,low,close,volume,number of trades,NEM XEM,sentiment
2018-04-01 00:00:00,0.00003148,0.00003168,0.00003131,0.00003167,72235.00000000,143,9.0,-0.13333333333333333
2018-04-01 01:00:00,0.00003168,0.00003168,0.00003142,0.00003151,32316.00000000,100,29.0,0.0
2018-04-01 02:00:00,0.00003152,0.00003168,0.00003149,0.00003168,136935.00000000,128,67.0,0.0
2018-04-01 03:00:00,0.00003160,0.00003169,0.00003115,0.00003151,181983.00000000,274,60.0,0.0
2018-04-01 04:00:00,0.00003150,0.00003166,0.00003122,0.00003155,100400.00000000,133,41.0,0.16
2018-04-01 05:00:00,0.00003165,0.00003170,0.00003152,0.00003169,23489.00000000,73,30.0,0.0
2018-04-01 06:00:00,0.00003162,0.00003172,0.00003149,0.00003155,90485.00000000,172,64.0,0.0
2018-04-01 07:00:00,0.00003153,0.00003166,0.00003116,0.00003139,155311.00000000,313,42.0,0.0
2018-04-01 08:00:00,0.00003139,0.00003152,0.00003107,0.00003138,240881.00000000,215,56.0,0.0
2018-04-01 09:00:00,0.00003139,0.00003144,0.00003106,0.00003131,158441.00000000,277,46.0,0.0
2018-04-01 10:00:00,0.00003127,0.00003147,0.00003112,0.00003136,192804.00000000,164,54.0,0.0
2018-04-01 11:00:00,0.00003131,0.00003138,0.00003107,0.00003107,58430.00000000,185,43.0,0.0
2018-04-01 12:00:00,0.00003116,0.00003130,0.00003106,0.00003111,95875.00000000,197,26.0,0.0
2018-04-01 13:00:00,0.00003111,0.00003113,0.00003080,0.00003086,345572.00000000,470,55.0,0.0
2018-04-01 14:00:00,0.00003094,0.00003095,0.00003050,0.00003071,363151.00000000,451,52.0,0.0
2018-04-01 15:00:00,0.00003072,0.00003091,0.00003060,0.00003061,241925.00000000,227,57.0,0.0
2018-04-01 16:00:00,0.00003062,0.00003107,0.00003051,0.00003085,371334.00000000,407,34.0,0.0
2018-04-01 17:00:00,0.00003085,0.00003099,0.00003052,0.00003070,128368.00000000,173,17.0,0.0
2018-04-01 18:00:00,0.00003070,0.00003090,0.00003067,0.00003071,44661.00000000,105,24.0,0.0
2018-04-01 19:00:00,0.00003067,0.00003090,0.00003056,0.00003077,72441.00000000,162,25.0,0.0
2018-04-01 20:00:00,0.00003075,0.00003102,0.00003070,0.00003080,56232.00000000,133,20.0,0.0
2018-04-01 21:00:00,0.00003073,0.00003098,0.00003073,0.00003091,23739.00000000,61,45.0,0.0
2018-04-01 22:00:00,0.00003090,0.00003092,0.00003070,0.00003070,114017.00000000,140,34.0,0.0
2018-04-01 23:00:00,0.00003070,0.00003084,0.00003050,0.00003051,186667.00000000,171,46.0,0.0
2018-04-02 00:00:00,0.00003061,0.00003061,0.00003000,0.00003008,523391.00000000,687,54.0,0.0
2018-04-02 01:00:00,0.00003008,0.00003023,0.00003000,0.00003000,196734.00000000,275,44.0,0.0
2018-04-02 02:00:00,0.00003000,0.00003009,0.00002975,0.00003002,267706.00000000,380,45.0,0.0
2018-04-02 03:00:00,0.00003002,0.00003012,0.00002990,0.00002993,140854.00000000,119,38.0,0.0
2018-04-02 04:00:00,0.00002991,0.00003023,0.00002991,0.00003011,42216.00000000,96,30.0,0.0
2018-04-02 05:00:00,0.00003011,0.00003033,0.00003011,0.00003024,119830.00000000,90,57.0,0.0
2018-04-02 06:00:00,0.00003025,0.00003035,0.00002999,0.00003020,269383.00000000,235,26.0,0.0
2018-04-02 07:00:00,0.00003020,0.00003128,0.00003017,0.00003083,639017.00000000,925,39.0,0.0
2018-04-02 08:00:00,0.00003083,0.00003106,0.00003031,0.00003032,289346.00000000,372,51.0,0.0
2018-04-02 09:00:00,0.00003040,0.00003053,0.00003031,0.00003052,106803.00000000,137,70.0,0.0
2018-04-02 10:00:00,0.00003051,0.00003205,0.00003051,0.00003144,1413211.00000000,1773,54.0,0.0
2018-04-02 11:00:00,0.00003144,0.00003149,0.00003090,0.00003132,269435.00000000,472,31.0,0.0
2018-04-02 12:00:00,0.00003143,0.00003150,0.00003097,0.00003109,208427.00000000,290,23.0,0.0
2018-04-02 13:00:00,0.00003108,0.00003131,0.00003102,0.00003119,181037.00000000,289,41.0,0.0
2018-04-02 14:00:00,0.00003120,0.00003128,0.00003080,0.00003098,215805.00000000,255,49.0,0.0
2018-04-02 15:00:00,0.00003098,0.00003120,0.00003081,0.00003119,242172.00000000,287,44.0,0.0
2018-04-02 16:00:00,0.00003119,0.00003120,0.00003100,0.00003119,171635.00000000,183,19.0,0.0
2018-04-02 17:00:00,0.00003119,0.00003198,0.00003117,0.00003184,353724.00000000,529,15.0,0.0
2018-04-02 18:00:00,0.00003184,0.00003253,0.00003158,0.00003212,1508347.00000000,1520,51.0,0.0
2018-04-02 19:00:00,0.00003219,0.00003233,0.00003174,0.00003185,240138.00000000,395,5.0,0.0
2018-04-02 20:00:00,0.00003175,0.00003191,0.00003163,0.00003170,206142.00000000,356,24.0,0.0
2018-04-02 21:00:00,0.00003170,0.00003186,0.00003162,0.00003175,98544.00000000,171,34.0,0.0
2018-04-02 22:00:00,0.00003175,0.00003175,0.00003162,0.00003166,111402.00000000,208,16.0,0.0
2018-04-02 23:00:00,0.00003167,0.00003175,0.00003162,0.00003174,115932.00000000,125,42.0,0.0
2018-04-03 00:00:00,0.00003175,0.00003492,0.00003166,0.00003240,3914746.00000000,4541,100.0,0.0
2018-04-03 01:00:00,0.00003245,0.00003324,0.00003214,0.00003224,939838.00000000,1359,81.0,0.0
2018-04-03 02:00:00,0.00003224,0.00003273,0.00003206,0.00003245,401290.00000000,599,50.0,0.0
2018-04-03 03:00:00,0.00003246,0.00003330,0.00003226,0.00003273,907576.00000000,1432,70.0,0.0
2018-04-03 04:00:00,0.00003272,0.00003294,0.00003215,0.00003267,837048.00000000,971,63.0,0.0
2018-04-03 05:00:00,0.00003267,0.00003269,0.00003215,0.00003249,552778.00000000,551,43.0,0.0
2018-04-03 06:00:00,0.00003248,0.00003456,0.00003243,0.00003402,2744546.00000000,2763,53.0,0.0
2018-04-03 07:00:00,0.00003415,0.00003424,0.00003354,0.00003364,1189818.00000000,1074,28.0,0.0
2018-04-03 08:00:00,0.00003360,0.00003401,0.00003300,0.00003304,883173.00000000,920,80.0,0.0
2018-04-03 09:00:00,0.00003304,0.00003331,0.00003275,0.00003314,777797.00000000,794,64.0,0.0
2018-04-03 10:00:00,0.00003312,0.00003335,0.00003225,0.00003265,519810.00000000,962,61.0,0.0
2018-04-03 11:00:00,0.00003265,0.00003318,0.00003251,0.00003271,336130.00000000,613,33.0,0.0
2018-04-03 12:00:00,0.00003282,0.00003400,0.00003266,0.00003301,503380.00000000,663,36.0,0.0
2018-04-03 13:00:00,0.00003302,0.00003343,0.00003292,0.00003336,441436.00000000,654,52.0,0.0
2018-04-03 14:00:00,0.00003342,0.00003343,0.00003290,0.00003298,608505.00000000,647,37.0,0.0
2018-04-03 15:00:00,0.00003297,0.00003309,0.00003289,0.00003294,283344.00000000,356,51.0,0.0
2018-04-03 16:00:00,0.00003298,0.00003324,0.00003290,0.00003302,259262.00000000,360,43.0,0.0
2018-04-03 17:00:00,0.00003303,0.00003310,0.00003289,0.00003294,154558.00000000,332,44.0,0.3416666666666666
2018-04-03 18:00:00,0.00003303,0.00003315,0.00003288,0.00003305,158626.00000000,325,49.0,0.7000000000000001
2018-04-03 19:00:00,0.00003305,0.00003350,0.00003304,0.00003334,272783.00000000,541,36.0,0.0
2018-04-03 20:00:00,0.00003331,0.00003358,0.00003320,0.00003349,164130.00000000,339,28.0,0.0
2018-04-03 21:00:00,0.00003343,0.00003400,0.00003338,0.00003397,361492.00000000,545,40.0,0.0
2018-04-03 22:00:00,0.00003394,0.00003444,0.00003370,0.00003430,509932.00000000,679,38.0,0.0
2018-04-03 23:00:00,0.00003430,0.00003458,0.00003423,0.00003450,678947.00000000,776,41.0,0.0
2018-04-04 00:00:00,0.00003457,0.00003478,0.00003419,0.00003452,729595.00000000,910,66.0,0.0
2018-04-04 01:00:00,0.00003450,0.00003517,0.00003398,0.00003427,1312123.00000000,1530,81.0,0.0
2018-04-04 02:00:00,0.00003437,0.00003446,0.00003313,0.00003348,569035.00000000,683,42.0,0.0
2018-04-04 03:00:00,0.00003348,0.00003393,0.00003348,0.00003365,288561.00000000,432,35.0,0.0
2018-04-04 04:00:00,0.00003366,0.00003370,0.00003320,0.00003345,196558.00000000,416,18.0,0.0
2018-04-04 05:00:00,0.00003345,0.00003402,0.00003327,0.00003380,178967.00000000,412,42.0,0.0
2018-04-04 06:00:00,0.00003381,0.00003388,0.00003301,0.00003357,304406.00000000,321,53.0,0.0
2018-04-04 07:00:00,0.00003349,0.00003394,0.00003345,0.00003373,160899.00000000,341,35.0,0.0
2018-04-04 08:00:00,0.00003379,0.00003380,0.00003346,0.00003361,156881.00000000,332,40.0,0.0
2018-04-04 09:00:00,0.00003363,0.00003363,0.00003239,0.00003275,1135389.00000000,1346,45.0,0.0
2018-04-04 10:00:00,0.00003262,0.00003318,0.00003258,0.00003272,452196.00000000,762,18.0,0.0
2018-04-04 11:00:00,0.00003259,0.00003288,0.00003258,0.00003276,132097.00000000,332,22.0,0.0
2018-04-04 12:00:00,0.00003280,0.00003296,0.00003256,0.00003277,243651.00000000,330,15.0,0.0
2018-04-04 13:00:00,0.00003274,0.00003323,0.00003262,0.00003312,180968.00000000,340,48.0,0.0
2018-04-04 14:00:00,0.00003312,0.00003314,0.00003241,0.00003265,500586.00000000,686,32.0,0.0
2018-04-04 15:00:00,0.00003271,0.00003321,0.00003265,0.00003292,222971.00000000,348,47.0,0.0
2018-04-04 16:00:00,0.00003293,0.00003313,0.00003275,0.00003309,98196.00000000,250,29.0,0.0
2018-04-04 17:00:00,0.00003308,0.00003310,0.00003286,0.00003308,96515.00000000,304,19.0,0.0
2018-04-04 18:00:00,0.00003300,0.00003319,0.00003281,0.00003288,126490.00000000,293,25.0,0.0
2018-04-04 19:00:00,0.00003288,0.00003304,0.00003275,0.00003304,113800.00000000,220,20.0,0.0
2018-04-04 20:00:00,0.00003304,0.00003320,0.00003293,0.00003314,68027.00000000,180,40.0,0.0
2018-04-04 21:00:00,0.00003313,0.00003319,0.00003301,0.00003304,67483.00000000,173,40.0,1.0
2018-04-04 22:00:00,0.00003304,0.00003316,0.00003270,0.00003286,132790.00000000,345,8.0,0.0
2018-04-04 23:00:00,0.00003287,0.00003293,0.00003271,0.00003281,117497.00000000,219,17.0,0.0
2018-04-05 00:00:00,0.00003281,0.00003500,0.00003275,0.00003330,1691168.00000000,2105,25.0,0.0
2018-04-05 01:00:00,0.00003330,0.00003340,0.00003250,0.00003284,483415.00000000,608,25.0,0.0
2018-04-05 02:00:00,0.00003276,0.00003300,0.00003250,0.00003292,137700.00000000,298,42.0,0.0
2018-04-05 03:00:00,0.00003295,0.00003311,0.00003272,0.00003288,97725.00000000,171,26.0,0.0
2018-04-05 04:00:00,0.00003288,0.00003447,0.00003278,0.00003336,811015.00000000,1351,72.0,0.0
2018-04-05 05:00:00,0.00003336,0.00003482,0.00003330,0.00003350,444626.00000000,1079,50.0,0.0
2018-04-05 06:00:00,0.00003348,0.00003367,0.00003321,0.00003323,214251.00000000,349,45.0,0.0
2018-04-05 07:00:00,0.00003324,0.00003335,0.00003172,0.00003193,1206298.00000000,1633,28.0,0.0
2018-04-05 08:00:00,0.00003198,0.00003236,0.00003173,0.00003219,545465.00000000,677,47.0,0.0
2018-04-05 09:00:00,0.00003225,0.00003232,0.00003200,0.00003230,203432.00000000,354,33.0,0.0
2018-04-05 10:00:00,0.00003230,0.00003249,0.00003202,0.00003221,214994.00000000,379,31.0,0.0
2018-04-05 11:00:00,0.00003213,0.00003241,0.00003204,0.00003215,151058.00000000,234,29.0,0.0
2018-04-05 12:00:00,0.00003220,0.00003226,0.00003152,0.00003193,705471.00000000,455,58.0,0.0
2018-04-05 13:00:00,0.00003197,0.00003248,0.00003190,0.00003197,461023.00000000,567,15.0,0.0
2018-04-05 14:00:00,0.00003196,0.00003253,0.00003196,0.00003229,238168.00000000,384,33.0,0.0
2018-04-05 15:00:00,0.00003227,0.00003247,0.00003214,0.00003222,196236.00000000,278,48.0,0.0
2018-04-05 16:00:00,0.00003223,0.00003234,0.00003166,0.00003219,298724.00000000,361,24.0,0.0
2018-04-05 17:00:00,0.00003217,0.00003228,0.00003188,0.00003226,176646.00000000,203,20.0,0.18409090909090908
2018-04-05 18:00:00,0.00003225,0.00003256,0.00003221,0.00003253,151471.00000000,229,26.0,0.0
2018-04-05 19:00:00,0.00003253,0.00003275,0.00003247,0.00003258,100960.00000000,274,32.0,0.0
2018-04-05 20:00:00,0.00003258,0.00003269,0.00003239,0.00003269,231368.00000000,218,17.0,0.0
2018-04-05 21:00:00,0.00003266,0.00003281,0.00003246,0.00003255,87523.00000000,191,14.0,0.30000000000000004
2018-04-05 22:00:00,0.00003256,0.00003264,0.00003239,0.00003264,91347.00000000,203,24.0,0.0
2018-04-05 23:00:00,0.00003255,0.00003288,0.00003254,0.00003281,96954.00000000,303,26.0,0.0
2018-04-06 00:00:00,0.00003281,0.00003292,0.00003259,0.00003292,68535.00000000,151,26.0,0.0
2018-04-06 01:00:00,0.00003292,0.00003313,0.00003275,0.00003292,197727.00000000,386,17.0,0.0
2018-04-06 02:00:00,0.00003293,0.00003297,0.00003276,0.00003295,97597.00000000,196,17.0,0.0
2018-04-06 03:00:00,0.00003295,0.00003296,0.00003275,0.00003289,125152.00000000,156,54.0,0.0
2018-04-06 04:00:00,0.00003287,0.00003310,0.00003275,0.00003289,465030.00000000,444,46.0,0.0
2018-04-06 05:00:00,0.00003296,0.00003307,0.00003271,0.00003283,266320.00000000,300,17.0,0.0
2018-04-06 06:00:00,0.00003278,0.00003299,0.00003251,0.00003299,358015.00000000,540,62.0,0.0
2018-04-06 07:00:00,0.00003297,0.00003309,0.00003269,0.00003278,271551.00000000,360,29.0,0.0
2018-04-06 08:00:00,0.00003281,0.00003296,0.00003225,0.00003253,266244.00000000,446,42.0,0.0
2018-04-06 09:00:00,0.00003253,0.00003276,0.00003240,0.00003251,177813.00000000,250,40.0,0.0
2018-04-06 10:00:00,0.00003253,0.00003255,0.00003203,0.00003233,138488.00000000,329,39.0,0.0
2018-04-06 11:00:00,0.00003231,0.00003240,0.00003202,0.00003208,136638.00000000,227,24.0,0.0
2018-04-06 12:00:00,0.00003208,0.00003255,0.00003204,0.00003243,193401.00000000,231,27.0,0.0
2018-04-06 13:00:00,0.00003246,0.00003250,0.00003203,0.00003212,124150.00000000,226,41.0,0.0
2018-04-06 14:00:00,0.00003221,0.00003234,0.00003210,0.00003230,121975.00000000,188,34.0,0.0
2018-04-06 15:00:00,0.00003231,0.00003252,0.00003228,0.00003249,47260.00000000,118,50.0,0.0
2018-04-06 16:00:00,0.00003248,0.00003248,0.00003225,0.00003241,105188.00000000,192,41.0,0.0
2018-04-06 17:00:00,0.00003240,0.00003297,0.00003213,0.00003286,505825.00000000,478,16.0,0.0
2018-04-06 18:00:00,0.00003290,0.00003298,0.00003280,0.00003297,179801.00000000,244,22.0,0.0
2018-04-06 19:00:00,0.00003298,0.00003298,0.00003279,0.00003285,129574.00000000,176,23.0,0.0
2018-04-06 20:00:00,0.00003291,0.00003292,0.00003282,0.00003287,42920.00000000,123,12.0,0.0
2018-04-06 21:00:00,0.00003286,0.00003298,0.00003283,0.00003291,27776.00000000,114,28.0,0.0
2018-04-06 22:00:00,0.00003291,0.00003300,0.00003282,0.00003290,93976.00000000,135,8.0,0.0
2018-04-06 23:00:00,0.00003291,0.00003294,0.00003283,0.00003292,28745.00000000,103,18.0,0.0
2018-04-07 00:00:00,0.00003297,0.00003300,0.00003281,0.00003293,202447.00000000,181,46.0,0.0
2018-04-07 01:00:00,0.00003295,0.00003300,0.00003250,0.00003268,145872.00000000,314,9.0,0.0
2018-04-07 02:00:00,0.00003274,0.00003279,0.00003259,0.00003267,58154.00000000,129,28.0,0.0
2018-04-07 03:00:00,0.00003267,0.00003276,0.00003238,0.00003247,72230.00000000,162,48.0,0.0
2018-04-07 04:00:00,0.00003247,0.00003270,0.00003242,0.00003270,125512.00000000,177,30.0,0.0
2018-04-07 05:00:00,0.00003271,0.00003289,0.00003254,0.00003264,123696.00000000,252,57.0,0.0
2018-04-07 06:00:00,0.00003270,0.00003289,0.00003254,0.00003276,116213.00000000,209,26.0,0.0
2018-04-07 07:00:00,0.00003276,0.00003282,0.00003230,0.00003251,183730.00000000,292,41.0,0.0
2018-04-07 08:00:00,0.00003251,0.00003261,0.00003226,0.00003239,106498.00000000,183,32.0,0.0
2018-04-07 09:00:00,0.00003242,0.00003250,0.00003222,0.00003248,139267.00000000,283,54.0,0.0
2018-04-07 10:00:00,0.00003248,0.00003254,0.00003226,0.00003233,107848.00000000,196,52.0,0.0
2018-04-07 11:00:00,0.00003233,0.00003240,0.00003218,0.00003226,116311.00000000,225,48.0,0.0
2018-04-07 12:00:00,0.00003226,0.00003235,0.00003211,0.00003226,69854.00000000,183,38.0,0.0
2018-04-07 13:00:00,0.00003223,0.00003257,0.00003217,0.00003220,199813.00000000,330,23.0,0.0
2018-04-07 14:00:00,0.00003220,0.00003237,0.00003217,0.00003230,114227.00000000,176,39.0,0.0
2018-04-07 15:00:00,0.00003226,0.00003243,0.00003206,0.00003220,317887.00000000,496,43.0,0.0
2018-04-07 16:00:00,0.00003230,0.00003275,0.00003213,0.00003222,1106340.00000000,1665,11.0,0.0
2018-04-07 17:00:00,0.00003222,0.00003241,0.00003210,0.00003210,302678.00000000,546,17.0,0.0
2018-04-07 18:00:00,0.00003217,0.00003238,0.00003200,0.00003216,836156.00000000,1427,40.0,0.0
2018-04-07 19:00:00,0.00003222,0.00003223,0.00003194,0.00003208,199705.00000000,236,37.0,0.0
2018-04-07 20:00:00,0.00003205,0.00003210,0.00003201,0.00003204,67327.00000000,147,13.0,0.0
2018-04-07 21:00:00,0.00003204,0.00003239,0.00003204,0.00003231,104893.00000000,230,22.0,0.0
2018-04-07 22:00:00,0.00003231,0.00003236,0.00003208,0.00003231,36112.00000000,100,8.0,0.0
2018-04-07 23:00:00,0.00003229,0.00003229,0.00003189,0.00003220,112389.00000000,234,63.0,0.0
2018-04-08 00:00:00,0.00003214,0.00003225,0.00003207,0.00003220,51749.00000000,95,46.0,0.0
2018-04-08 00:00:00,0.00003214,0.00003225,0.00003207,0.00003220,51749.00000000,95,44.0,0.0
2018-04-08 01:00:00,0.00003223,0.00003223,0.00003204,0.00003214,38197.00000000,122,0.0,0.0
2018-04-08 02:00:00,0.00003212,0.00003214,0.00003204,0.00003213,40045.00000000,92,18.0,0.0
2018-04-08 03:00:00,0.00003207,0.00003217,0.00003203,0.00003211,32489.00000000,91,0.0,0.0
2018-04-08 04:00:00,0.00003217,0.00003227,0.00003205,0.00003217,93688.00000000,172,10.0,0.0
2018-04-08 05:00:00,0.00003213,0.00003377,0.00003205,0.00003286,1152278.00000000,1694,92.0,0.0
2018-04-08 06:00:00,0.00003286,0.00003297,0.00003258,0.00003268,139510.00000000,172,68.0,0.0
2018-04-08 07:00:00,0.00003271,0.00003277,0.00003240,0.00003256,80641.00000000,237,24.0,0.0
2018-04-08 08:00:00,0.00003257,0.00003257,0.00003238,0.00003244,39946.00000000,168,45.0,0.0
2018-04-08 09:00:00,0.00003239,0.00003257,0.00003227,0.00003254,77260.00000000,189,29.0,0.0
2018-04-08 10:00:00,0.00003253,0.00003259,0.00003230,0.00003246,110301.00000000,240,21.0,0.0
2018-04-08 11:00:00,0.00003246,0.00003260,0.00003234,0.00003250,150162.00000000,227,33.0,0.0
2018-04-08 12:00:00,0.00003250,0.00003275,0.00003236,0.00003243,170135.00000000,329,31.0,0.0
2018-04-08 13:00:00,0.00003244,0.00003266,0.00003231,0.00003266,139518.00000000,275,68.0,0.0
2018-04-08 14:00:00,0.00003267,0.00003267,0.00003240,0.00003260,157254.00000000,204,48.0,0.0
2018-04-08 15:00:00,0.00003256,0.00003268,0.00003256,0.00003261,104260.00000000,201,26.0,0.0
2018-04-08 16:00:00,0.00003263,0.00003270,0.00003248,0.00003259,85873.00000000,227,20.0,0.0
2018-04-08 17:00:00,0.00003256,0.00003275,0.00003250,0.00003274,96055.00000000,196,21.0,0.0
2018-04-08 18:00:00,0.00003266,0.00003288,0.00003266,0.00003277,115252.00000000,219,32.0,0.0
2018-04-08 19:00:00,0.00003278,0.00003293,0.00003266,0.00003278,102183.00000000,156,22.0,0.0
2018-04-08 20:00:00,0.00003279,0.00003307,0.00003275,0.00003294,211587.00000000,256,31.0,0.0
2018-04-08 21:00:00,0.00003293,0.00003296,0.00003258,0.00003287,173277.00000000,157,28.0,0.0
2018-04-08 22:00:00,0.00003289,0.00003319,0.00003265,0.00003316,243232.00000000,267,8.0,0.0
2018-04-08 23:00:00,0.00003313,0.00003352,0.00003313,0.00003352,278303.00000000,401,17.0,0.0
2018-04-09 00:00:00,0.00003352,0.00003360,0.00003326,0.00003343,278196.00000000,462,33.0,0.0
2018-04-09 01:00:00,0.00003348,0.00003368,0.00003328,0.00003356,196798.00000000,298,40.0,0.0
2018-04-09 02:00:00,0.00003355,0.00003400,0.00003349,0.00003388,561685.00000000,641,66.0,0.0
2018-04-09 03:00:00,0.00003378,0.00003400,0.00003341,0.00003395,251838.00000000,464,60.0,0.0
2018-04-09 04:00:00,0.00003395,0.00003420,0.00003381,0.00003390,290337.00000000,504,26.0,0.0
2018-04-09 05:00:00,0.00003396,0.00003398,0.00003367,0.00003382,246229.00000000,360,64.0,0.0
2018-04-09 06:00:00,0.00003380,0.00003383,0.00003330,0.00003350,187053.00000000,414,14.0,0.0
2018-04-09 07:00:00,0.00003350,0.00003373,0.00003339,0.00003341,236020.00000000,330,33.0,0.0
2018-04-09 08:00:00,0.00003340,0.00003382,0.00003334,0.00003350,196870.00000000,312,38.0,0.0
2018-04-09 09:00:00,0.00003352,0.00003376,0.00003306,0.00003314,401144.00000000,565,49.0,0.0
2018-04-09 10:00:00,0.00003314,0.00003317,0.00003284,0.00003301,339876.00000000,657,47.0,0.0
2018-04-09 11:00:00,0.00003300,0.00003330,0.00003282,0.00003314,225902.00000000,451,27.0,0.0
2018-04-09 12:00:00,0.00003314,0.00003350,0.00003308,0.00003327,370200.00000000,340,39.0,0.0
2018-04-09 13:00:00,0.00003315,0.00003342,0.00003315,0.00003337,94833.00000000,207,27.0,1.0
2018-04-09 14:00:00,0.00003338,0.00003345,0.00003317,0.00003334,113989.00000000,204,26.0,0.0
2018-04-09 15:00:00,0.00003335,0.00003379,0.00003328,0.00003343,277319.00000000,351,40.0,0.0
2018-04-09 16:00:00,0.00003352,0.00003355,0.00003343,0.00003353,186419.00000000,180,13.0,0.0
2018-04-09 17:00:00,0.00003353,0.00003369,0.00003350,0.00003362,95752.00000000,180,27.0,0.032986111111111105
2018-04-09 18:00:00,0.00003370,0.00003370,0.00003330,0.00003350,143143.00000000,277,24.0,0.0
2018-04-09 19:00:00,0.00003350,0.00003360,0.00003330,0.00003341,76083.00000000,167,25.0,0.0
2018-04-09 20:00:00,0.00003354,0.00003397,0.00003340,0.00003376,240962.00000000,536,22.0,0.0
2018-04-09 21:00:00,0.00003376,0.00003396,0.00003367,0.00003372,202785.00000000,254,13.0,0.0
2018-04-09 22:00:00,0.00003372,0.00003372,0.00003344,0.00003365,227428.00000000,342,8.0,0.0
2018-04-09 23:00:00,0.00003365,0.00003377,0.00003352,0.00003370,56531.00000000,150,40.0,0.0
2018-04-10 00:00:00,0.00003371,0.00003390,0.00003360,0.00003376,77375.00000000,162,24.0,0.0
2018-04-10 01:00:00,0.00003376,0.00003400,0.00003372,0.00003377,101101.00000000,237,31.0,0.0
2018-04-10 02:00:00,0.00003374,0.00003383,0.00003351,0.00003356,120423.00000000,228,24.0,0.0
2018-04-10 03:00:00,0.00003356,0.00003372,0.00003350,0.00003350,103367.00000000,156,34.0,0.0
2018-04-10 04:00:00,0.00003354,0.00003380,0.00003337,0.00003359,235604.00000000,483,25.0,0.0
2018-04-10 05:00:00,0.00003359,0.00003378,0.00003342,0.00003353,167952.00000000,275,55.0,0.0
2018-04-10 06:00:00,0.00003353,0.00003381,0.00003317,0.00003345,339483.00000000,444,28.0,0.0
2018-04-10 07:00:00,0.00003342,0.00003350,0.00003321,0.00003335,117569.00000000,276,26.0,0.375
2018-04-10 08:00:00,0.00003328,0.00003350,0.00003318,0.00003331,172544.00000000,249,45.0,0.0
2018-04-10 09:00:00,0.00003331,0.00003362,0.00003317,0.00003358,88786.00000000,225,49.0,0.0
2018-04-10 10:00:00,0.00003359,0.00003388,0.00003339,0.00003379,261658.00000000,499,41.0,0.0
2018-04-10 11:00:00,0.00003379,0.00003386,0.00003351,0.00003351,162026.00000000,303,37.0,0.0
2018-04-10 12:00:00,0.00003361,0.00003375,0.00003333,0.00003365,205727.00000000,326,24.0,0.0
2018-04-10 13:00:00,0.00003366,0.00003400,0.00003357,0.00003365,346350.00000000,410,27.0,0.0
2018-04-10 14:00:00,0.00003366,0.00003380,0.00003346,0.00003365,282526.00000000,332,26.0,0.0
2018-04-10 15:00:00,0.00003365,0.00003384,0.00003360,0.00003369,132950.00000000,246,30.0,0.0
2018-04-10 16:00:00,0.00003367,0.00003383,0.00003361,0.00003376,66822.00000000,170,31.0,0.0
2018-04-10 17:00:00,0.00003377,0.00003389,0.00003370,0.00003380,89277.00000000,198,18.0,0.0
2018-04-10 18:00:00,0.00003380,0.00003395,0.00003361,0.00003370,138124.00000000,266,19.0,0.0
2018-04-10 19:00:00,0.00003377,0.00003390,0.00003366,0.00003370,154720.00000000,217,34.0,0.0
2018-04-10 20:00:00,0.00003371,0.00003382,0.00003366,0.00003382,81585.00000000,181,32.0,0.0
2018-04-10 21:00:00,0.00003378,0.00003394,0.00003370,0.00003382,80035.00000000,153,13.0,0.0
2018-04-10 22:00:00,0.00003380,0.00003433,0.00003372,0.00003412,580398.00000000,1002,30.0,0.0
2018-04-10 23:00:00,0.00003412,0.00003444,0.00003397,0.00003436,165912.00000000,352,16.0,0.0
2018-04-11 00:00:00,0.00003442,0.00003450,0.00003426,0.00003446,162945.00000000,239,16.0,0.0
