username,date,retweets,favorites,text
nem_oden,2018-05-31 12:00,8,30,"# vuejs を使ったら、XEMReceiver的なアプリが簡単にできたぞい。 XEM請求用のQRコード作成までできた。 あとは ・PWA化 ・見栄えを良くする ・取引所からXEMのレートを取得する（今はXEMBookさんのサイトから取得してる） をやればスマホアプリとして完成しそう。 # っぽいpic.twitter.com/7aQUNczHgH"
nem_raaa,2018-05-31 06:49,2,34,"ホイッ！本日閉店です！ お買い上げ誠にありがとうございました 広げよう！決済の輪！ # XEM専 # NEM決済 $ XEM pic.twitter.com/HzrTDs0t4s"
YuKimura45z,2018-05-31 03:08,13,52,"xemの価格上がるにはnemのスマコン用途増やすのがダントツで1番はやいとおもってる"
TrendStream,2018-05-30 23:51,8,53,"どのチャートみても全くいいとこないね。オール下り坂。 今やXEM失ったCCは正常営業再開に際してどんだけ現物買い戻すんかな # NEM"
design_bard,2018-05-30 22:30,5,15,"「ブロックチェーン技術の革新は、将来のグローバル企業の成功にとって不可欠。NEMのプラットフォームを構築し、オーストラリアの新たな成長機会を育成することに興奮している」とNEM財団代表のKristof氏。 8月中旬まで、XEM払いすると購入金額の10％割引を受けることができるとのこと。 # NEM # XEM"
design_bard,2018-05-30 22:02,17,33,"` # TravelbyBit はブリスベン国際空港にある小売店を正式に（中略）デジタル通貨を受け入れることが可能になりました` ”Bitcoin、Litecoin、Dash 、Ethereum、Bitcoin Cash、およびXEM。” およびXEM！！！！！ # NEM # XEM https://cryptocurrencyaus.com/2018/05/30/travelbybit-launches-digital-currency-ready-retail-stores-at-brisbane-airport/ …"
scrpgil,2018-05-30 16:02,11,25,"昨日公開したhttp://nem.sh に破壊的変更を加えて引数を設定できるようにした。動画は引数でXEMを渡すとQRコードを生成するシェル。あと一回NISから取得したメッセージはキャッシュに残すように変更。 https://github.com/scrpgil/nem.sh # NEM pic.twitter.com/3OO3kfCTUu"
design_bard,2018-05-30 13:00,6,16,"# Travelbybit だけでも96件あるやん # nemmap は85件だから、Travelbybitがnem対応したら（今日から対応スタートだっけ？）オーストラリアの方が # NEM（ # XEM）決済店舗多くなる？これってすごくいい傾向なのでは？（日本だけじゃなく世界でnem・XEMが使われるという意味で） https://twitter.com/design_bard/status/1001763582961315841 …"
cryptopayfun,2018-05-30 08:44,15,40,"先日5月26日に開催された「nemcafe」のイベントレポートを掲載しました！写真多めの記事です(^o^) https://cryptopay.fun/nemcafe.html # nemcafe # nem # xem # クリプトペイ # 仮想通貨決済 # 福岡"
HealAroma,2018-05-30 06:30,5,14,"# nemcafe で好評(•ө•)♡だったスニーカーを出品しました。 # NEMber の公式スニーカーになるかも？ # スニーカー # Sneaker # お洒落 # かっこいい BCNbrandスニーカー https://www.nemche.com/item/Ec8t61gtG4o2lWnw8dgw … # nem # xem # nemche @ nemche_teamから"
NEMofficial,2018-05-30 00:10,31,108,"Hello NEMbers, help us to get $ XEM listed at CryptalDash! Please vote for NEM! https://www.cryptaldash.com/new-coin-listing?ref=cnVlbAY29pbjI3OTE3NUBjcnlwdGFsZGFzaC5jb20bWluZG8&medium=telegram …"
tothemoon31,2018-05-29 07:21,14,26,"例えば、空港からホテルへの移動(ピックアップ)の代金をNEMで支払うことができます。 画像はスマホで表示した決済画面です。壕ドルでの金額、必要なXEMの数量、日本円換算額等を一画面で見られます。 pic.twitter.com/a2jBLq8smz"
drm_sho,2018-05-28 15:27,15,25,"どなたか、こんなアイコン作ってもらえませんか？ 自分にはセンスないです(´・ω・`)ションボリ https://prtimes.jp/main/html/rd/p/000000001.000034420.html … # 仮想通貨 # 暗号通貨 # ニュース # 岐阜 # 東白川村 # NEM # XEM # Monacoin # MONApic.twitter.com/lpEOXJfz6e"
markprice_dev,2018-05-27 23:49,24,76,"Hosting the first Hollywood, CA NEM blockchain meetup. June 6th @7 PM https://www.meetup.com/NEM-Hollywood/events/rjqwspyxjbjb/ … @ NEMofficial @ Inside_NEM Launching Your Own Catapult Blockchain # blockchain # NEM $ XEM"
CryptoInvest18,2018-05-27 17:34,93,141,"Coin of the week? 7 days to vote! # electra # eca # tron # trx # verge # xvg # digibyte # dgb # nem # xem # altcoins # miota # iota # stellar # slm # cardano # ada # litecoin # ltc # binance # bnb # DigiByte # dgb # ethereum # eth # crypto # cryptocurrency # bitcoin # btc # monero # dash # ico"
punto2003debu,2018-05-27 02:47,4,23,"昨日、富の再分配ガチャ！！ ゴールドラッシュやった( ´ ▽ ` ) # nemcafe # nem # xem pic.twitter.com/Cdu4A6WiBb"
