date,open,high,low,close,volume,number of trades,Ripple XRP,sentiment
2018-04-01 00:00:00,0.00007230,0.00007230,0.00007185,0.00007197,1678730.00000000,1506,69.0,0.057519904559378235
2018-04-01 01:00:00,0.00007200,0.00007222,0.00007180,0.00007208,976568.00000000,1216,62.0,0.1
2018-04-01 02:00:00,0.00007200,0.00007227,0.00007183,0.00007202,1399089.00000000,1115,62.0,0.24583333333333332
2018-04-01 03:00:00,0.00007200,0.00007216,0.00007165,0.00007180,1251794.00000000,1099,75.0,0.07993827160493827
2018-04-01 04:00:00,0.00007179,0.00007220,0.00007178,0.00007198,1567057.00000000,974,71.0,0.21666666666666667
2018-04-01 05:00:00,0.00007199,0.00007214,0.00007179,0.00007195,760907.00000000,808,51.0,0.0
2018-04-01 06:00:00,0.00007192,0.00007225,0.00007191,0.00007202,1111516.00000000,1197,45.0,0.0
2018-04-01 07:00:00,0.00007201,0.00007224,0.00007187,0.00007199,1649936.00000000,1511,61.0,0.04553571428571429
2018-04-01 08:00:00,0.00007205,0.00007205,0.00007140,0.00007183,1763682.00000000,1916,38.0,-0.1
2018-04-01 09:00:00,0.00007183,0.00007190,0.00007110,0.00007120,1812163.00000000,2154,53.0,0.0
2018-04-01 10:00:00,0.00007125,0.00007150,0.00007113,0.00007139,1742677.00000000,1543,41.0,0.0
2018-04-01 11:00:00,0.00007144,0.00007165,0.00007112,0.00007114,1595972.00000000,1413,45.0,0.0
2018-04-01 12:00:00,0.00007114,0.00007126,0.00007106,0.00007115,1626394.00000000,1323,54.0,0.25
2018-04-01 13:00:00,0.00007120,0.00007136,0.00007079,0.00007081,2240168.00000000,2764,67.0,0.0884469696969697
2018-04-01 14:00:00,0.00007086,0.00007132,0.00007042,0.00007119,2439611.00000000,3345,65.0,0.05757575757575756
2018-04-01 15:00:00,0.00007125,0.00007177,0.00007096,0.00007097,1579155.00000000,2155,60.0,0.06180555555555555
2018-04-01 16:00:00,0.00007108,0.00007152,0.00007050,0.00007122,2841294.00000000,3401,69.0,0.1673611111111111
2018-04-01 17:00:00,0.00007122,0.00007132,0.00007034,0.00007073,2273610.00000000,1737,51.0,0.0
2018-04-01 18:00:00,0.00007074,0.00007096,0.00007035,0.00007045,2200915.00000000,1294,60.0,0.0
2018-04-01 19:00:00,0.00007046,0.00007075,0.00007032,0.00007075,3350413.00000000,1536,75.0,0.4375
2018-04-01 20:00:00,0.00007074,0.00007110,0.00007061,0.00007100,1610207.00000000,1520,73.0,0.0
2018-04-01 21:00:00,0.00007100,0.00007146,0.00007075,0.00007101,1515500.00000000,1416,83.0,0.0
2018-04-01 22:00:00,0.00007101,0.00007135,0.00007050,0.00007056,724111.00000000,1187,85.0,0.0
2018-04-01 23:00:00,0.00007056,0.00007066,0.00007016,0.00007018,1676637.00000000,1401,91.0,0.0
2018-04-02 00:00:00,0.00007019,0.00007032,0.00006903,0.00006941,3397237.00000000,2950,74.0,0.0
2018-04-02 01:00:00,0.00006940,0.00006962,0.00006930,0.00006943,1540677.00000000,1459,81.0,0.0
2018-04-02 02:00:00,0.00006947,0.00006954,0.00006931,0.00006934,2163181.00000000,1110,79.0,0.0
2018-04-02 03:00:00,0.00006941,0.00006973,0.00006920,0.00006942,1195569.00000000,1488,80.0,0.0
2018-04-02 04:00:00,0.00006946,0.00006968,0.00006934,0.00006959,1474336.00000000,1436,85.0,0.03409090909090909
2018-04-02 05:00:00,0.00006959,0.00006980,0.00006948,0.00006961,1363185.00000000,1182,70.0,0.0
2018-04-02 06:00:00,0.00006963,0.00006984,0.00006900,0.00006953,2131622.00000000,2229,65.0,0.0
2018-04-02 07:00:00,0.00006952,0.00006962,0.00006906,0.00006930,2019394.00000000,2045,54.0,0.0
2018-04-02 08:00:00,0.00006930,0.00006940,0.00006882,0.00006919,2065669.00000000,2019,58.0,0.0
2018-04-02 09:00:00,0.00006919,0.00006988,0.00006913,0.00006956,2081087.00000000,1826,61.0,0.0
2018-04-02 10:00:00,0.00006957,0.00007100,0.00006931,0.00007033,2854100.00000000,2805,51.0,0.125
2018-04-02 11:00:00,0.00007033,0.00007098,0.00007016,0.00007040,1758719.00000000,2141,69.0,0.0
2018-04-02 12:00:00,0.00007039,0.00007054,0.00006983,0.00007014,1850970.00000000,1545,68.0,0.37
2018-04-02 13:00:00,0.00007014,0.00007043,0.00007000,0.00007010,2237611.00000000,1357,60.0,0.14530303030303032
2018-04-02 14:00:00,0.00007010,0.00007027,0.00006986,0.00007025,1901469.00000000,1708,63.0,0.2449074074074074
2018-04-02 15:00:00,0.00007024,0.00007027,0.00006964,0.00006975,2083606.00000000,2024,67.0,0.19999999999999998
2018-04-02 16:00:00,0.00006975,0.00006992,0.00006956,0.00006975,1111917.00000000,1704,72.0,0.0
2018-04-02 17:00:00,0.00006974,0.00006987,0.00006942,0.00006965,1815620.00000000,1563,67.0,0.0
2018-04-02 18:00:00,0.00006963,0.00007005,0.00006942,0.00007004,1913409.00000000,1865,61.0,0.0
2018-04-02 19:00:00,0.00007004,0.00007014,0.00006965,0.00006974,1285868.00000000,1401,71.0,0.0
2018-04-02 20:00:00,0.00006974,0.00007016,0.00006967,0.00006980,2520688.00000000,1747,72.0,0.0
2018-04-02 21:00:00,0.00006981,0.00006994,0.00006960,0.00006978,1241565.00000000,1062,85.0,0.0
