date,open,high,low,close,volume,number of trades,ZCoin XZC,sentiment
2018-04-01 00:00:00,0.00421200,0.00422100,0.00414300,0.00416900,400.12000000,76,0.0,0.0
2018-04-01 01:00:00,0.00417100,0.00423400,0.00412700,0.00419100,516.67000000,144,0.0,0.0
2018-04-01 02:00:00,0.00418900,0.00430000,0.00416800,0.00424300,264.63000000,108,0.0,0.0
2018-04-01 03:00:00,0.00424400,0.00430900,0.00424400,0.00429100,295.18000000,102,0.0,0.0
2018-04-01 04:00:00,0.00429100,0.00430700,0.00420100,0.00429900,106.58000000,45,0.0,0.0
2018-04-01 05:00:00,0.00426900,0.00426900,0.00420100,0.00422900,222.80000000,62,0.0,0.0
2018-04-01 06:00:00,0.00423600,0.00434900,0.00422900,0.00425000,585.38000000,151,0.0,0.0
2018-04-01 07:00:00,0.00426700,0.00429900,0.00425000,0.00426500,199.03000000,75,8.0,0.0
2018-04-01 08:00:00,0.00426500,0.00426500,0.00422600,0.00423900,104.13000000,40,8.0,0.0
2018-04-01 09:00:00,0.00422800,0.00425500,0.00419600,0.00423000,141.68000000,59,0.0,0.0
2018-04-01 10:00:00,0.00421200,0.00422000,0.00414900,0.00415100,433.92000000,93,0.0,0.0
2018-04-01 11:00:00,0.00416700,0.00416700,0.00414800,0.00416000,223.59000000,64,0.0,0.0
2018-04-01 12:00:00,0.00415100,0.00416900,0.00412800,0.00412800,177.46000000,55,0.0,0.2333333333333333
2018-04-01 13:00:00,0.00414600,0.00430000,0.00409700,0.00417500,1522.19000000,535,0.0,0.0
2018-04-01 14:00:00,0.00418500,0.00421300,0.00414900,0.00421000,262.97000000,117,0.0,0.0
2018-04-01 15:00:00,0.00421000,0.00422100,0.00413800,0.00416700,274.76000000,100,0.0,0.0
2018-04-01 16:00:00,0.00421400,0.00438000,0.00414200,0.00415700,1101.66000000,405,6.0,0.0
2018-04-01 17:00:00,0.00415000,0.00425000,0.00413800,0.00415100,129.18000000,66,0.0,0.0
2018-04-01 18:00:00,0.00413900,0.00416100,0.00412800,0.00412800,105.27000000,56,0.0,0.25
2018-04-01 19:00:00,0.00412800,0.00416400,0.00410300,0.00416100,212.73000000,62,0.0,0.0
2018-04-01 20:00:00,0.00416100,0.00434300,0.00414900,0.00428800,648.67000000,250,0.0,0.0
2018-04-01 21:00:00,0.00427400,0.00434900,0.00421600,0.00429300,830.97000000,304,0.0,0.24714285714285716
2018-04-01 22:00:00,0.00428300,0.00432700,0.00421300,0.00424800,421.62000000,113,0.0,0.0
2018-04-01 23:00:00,0.00425500,0.00429500,0.00422400,0.00429300,1010.92000000,124,0.0,0.0
2018-04-02 00:00:00,0.00425300,0.00429400,0.00421600,0.00421700,269.94000000,76,0.0,0.0
2018-04-02 01:00:00,0.00421900,0.00428600,0.00410200,0.00417400,1695.85000000,251,0.0,0.0
2018-04-02 02:00:00,0.00417400,0.00417400,0.00404000,0.00412300,1331.09000000,321,0.0,0.0
2018-04-02 03:00:00,0.00412300,0.00415700,0.00412300,0.00415700,421.17000000,77,0.0,0.0
