username,date,retweets,favorites,text
zcoinofficial,2018-05-30 08:08,39,125,"Zcoin $ XZC partners with @ Changelly_team to simplify getting and exchanging Zcoin along with existing integrations with other wallets. We expect to be on their platform in the coming weeks. https://zcoin.io/zcoin-partners-with-changelly-to-simplify-getting-and-exchanging-zcoin/ …pic.twitter.com/yEPDT6tEMV"
zcoinofficial,2018-05-30 01:46,52,143,"Zcoin $ XZC is proud to have a working version of MTPv1.2 on the testnet! https://zcoin.io/mtp-launched-on-zcoin-testnet/ … # pow # mtp # decentralisationpic.twitter.com/miJREnF2PP"
zcoinofficial,2018-05-29 11:22,29,76,"To all Blockshow Europe 2018 @ BlockShowcom attendees in Berlin, Zcoin @ zcoinofficial $ XZC and @ LiskHQ are co-sponsoring the afterparty at E4 Event location, Marlene-Dietrich-Platz 4, 10785 Berlin at 8.00 PM tonight. Don't forget to bring your conference ticket and badge!pic.twitter.com/44RM6zUr9g"
The_Blocknet,2018-05-28 16:02,36,86,"Day20|Coin28 - # Zcoin brings # mintspendrepeat to any cross-blockchain # dApp with new # Blocknet integration! @ zcoinofficial can enable foundational # privacy to cross-chain ecosystems https://blocknet.co/coins  + Trade $ XZC on new # BlockDX # DecentralizedExchange # dApp # coinadaypic.twitter.com/nxBRsDQA3h"
RNR_0,2018-05-21 11:21,4,24,"Both Zcoin masternodes are updated to version 0.13.6.2 masternode guide: https://medium.com/@romanornr/setting-up-a-zcoin-masternode-znode-79a95e217e7e … upgrade guide: https://medium.com/@romanornr/zcoin-v0-13-5-5-french-drop-hard-fork-upgrade-guide-fe2e95d82ee1 … $ XZC"
RNR_0,2018-05-18 21:58,5,34,"Had a few minutes of spare time so I just updated my Zcoin masternode guide to v0.13.6.1: https://medium.com/@romanornr/setting-up-a-zcoin-masternode-znode-79a95e217e7e … and my Zcoin hardfork upgrade guide to v0.13.6.1: https://medium.com/@romanornr/zcoin-v0-13-5-5-french-drop-hard-fork-upgrade-guide-fe2e95d82ee1 … $ XZC"
zcoinofficial,2018-05-17 00:44,38,126,"Zcoin $ XZC interviewed on @ Nasdaq # TradeTalks # privacy # decentralizationhttps://twitter.com/Nasdaq/status/996791170016710656 …"
zcoinofficial,2018-05-16 11:37,30,105,"New release Zcoin $ XZC 13.6.1 out with security and bug fixes. Please update your wallets and Znodes before block 89300 or roughly 28 May. Thank you! https://zcoin.io/get-zcoin/"
zcoinofficial,2018-05-16 06:35,22,76,"We had an amazing time at our first # Consensus2018. Met so many amazing people! Special thanks to Ryan from @ zednodeofficial our US ambassador who represented us and made this all possible. # zcoin $ XZC pic.twitter.com/ZsXBH5I66e"
moonmining26,2018-05-05 09:01,0,0,"Top/Flop Coin : Min/Max 7 day : $ EOS (EOS) -0.09% / $ DGB (DigiByte) 9.66% Min/Max 24 hour : $ STEEM (Steem) -0.0% / $ STRAT (Stratis) 8.63% Min/Max 7 day : $ MIOTA (IOTA) -0.01% / $ XZC (ZCoin) 2.32%"
